FSU_0004 FSU_0439
Fisuc_0149 Fisuc_0150
Fisuc_0150 Fisuc_0152
Fisuc_0150 Fisuc_0151
Fisuc_0150 Fisuc_0149
Fisuc_0151 Fisuc_0152
Fisuc_0151 Fisuc_0150
Fisuc_0151 Fisuc_0149
Fisuc_0152 Fisuc_0151
Fisuc_0152 Fisuc_0150
Fisuc_0152 Fisuc_0149
Fisuc_0155 Fisuc_3113
Fisuc_0155 Fisuc_0143
Fisuc_0155 Fisuc_1165
Fisuc_0159 Fisuc_2954
Fisuc_0165 Fisuc_1055
Fisuc_0165 Fisuc_0172
Fisuc_0165 Fisuc_1668
Fisuc_0165 Fisuc_0170
Fisuc_0165 Fisuc_1056
Fisuc_0170 Fisuc_0165
Fisuc_0172 Fisuc_0165
Fisuc_0173 Fisuc_1072
Fisuc_0173 Fisuc_2349
Fisuc_0173 Fisuc_1080
Fisuc_0173 Fisuc_1095
Fisuc_0173 Fisuc_1091
Fisuc_0173 Fisuc_0494
Fisuc_0173 Fisuc_0623
Fisuc_0176 Fisuc_0180
Fisuc_0176 Fisuc_0179
Fisuc_0176 Fisuc_0138
Fisuc_0179 Fisuc_0180
Fisuc_0179 Fisuc_0176
Fisuc_0180 Fisuc_0176
Fisuc_0180 Fisuc_0179
Fisuc_0181 FSU_3234
Fisuc_0181 Fisuc_0675
Fisuc_0190 Fisuc_3050
Fisuc_0193 FSU_0705
Fisuc_0203 Fisuc_2777
Fisuc_0203 Fisuc_0020
Fisuc_0211 Fisuc_1873
Fisuc_0211 Fisuc_2854
Fisuc_0234 Fisuc_0568
Fisuc_0234 Fisuc_0566
Fisuc_0245 Fisuc_0620
Fisuc_0245 FSU_0223
Fisuc_0245 Fisuc_2204
Fisuc_0255 Fisuc_2060
Fisuc_0255 Fisuc_2938
Fisuc_0255 Fisuc_0835
Fisuc_0255 Fisuc_2937
Fisuc_0256 Fisuc_1847
Fisuc_0313 Fisuc_2715
Fisuc_0313 FSU_0787
Fisuc_0313 Fisuc_2714
Fisuc_0339 FSU_0223
Fisuc_0339 Fisuc_2204
Fisuc_0360 Fisuc_2964
Fisuc_0364 Fisuc_2913
Fisuc_0381 Fisuc_1595
Fisuc_0381 Fisuc_0768
Fisuc_0381 Fisuc_0102
Fisuc_0381 FSU_2356
Fisuc_0381 Fisuc_2111
Fisuc_0381 Fisuc_2376
Fisuc_0383 Fisuc_2429
Fisuc_0391 Fisuc_2615
Fisuc_0391 Fisuc_2761
Fisuc_0400 FSU_0417
Fisuc_0400 Fisuc_1535
Fisuc_0403 Fisuc_2984
Fisuc_0403 Fisuc_2491
Fisuc_0422 Fisuc_0494
Fisuc_0422 Fisuc_1080
Fisuc_0422 Fisuc_0623
Fisuc_0422 Fisuc_1072
Fisuc_0422 Fisuc_2349
Fisuc_0422 Fisuc_1095
Fisuc_0422 Fisuc_1091
Fisuc_0430 Fisuc_0017
Fisuc_0438 Fisuc_0585
Fisuc_0456 Fisuc_2431
Fisuc_0466 Fisuc_1649
Fisuc_0466 FSU_0506
Fisuc_0490 FSU_0729
Fisuc_0490 Fisuc_1748
Fisuc_0491 Fisuc_1501
Fisuc_0494 Fisuc_0422
Fisuc_0494 Fisuc_0173
Fisuc_0494 Fisuc_0143
Fisuc_0556 Fisuc_1872
Fisuc_0556 Fisuc_3090
Fisuc_0565 Fisuc_0625
Fisuc_0565 Fisuc_2366
Fisuc_0565 FSU_0705
Fisuc_0566 Fisuc_0234
Fisuc_0568 Fisuc_0234
Fisuc_0568 Fisuc_0569
Fisuc_0568 Fisuc_0053
Fisuc_0569 Fisuc_2366
Fisuc_0569 Fisuc_0568
Fisuc_0576 Fisuc_1165
Fisuc_0581 Fisuc_2349
Fisuc_0581 Fisuc_2660
Fisuc_0581 Fisuc_2392
Fisuc_0585 Fisuc_0438
Fisuc_0620 Fisuc_0636
Fisuc_0620 Fisuc_2060
Fisuc_0620 Fisuc_2937
Fisuc_0620 Fisuc_0245
Fisuc_0620 Fisuc_2938
Fisuc_0620 Fisuc_0835
Fisuc_0621 Fisuc_2954
Fisuc_0623 Fisuc_1079
Fisuc_0623 Fisuc_0422
Fisuc_0623 Fisuc_0173
Fisuc_0623 Fisuc_1975
Fisuc_0623 FSU_1754
Fisuc_0623 Fisuc_0143
Fisuc_0625 Fisuc_0565
Fisuc_0625 FSU_0764
Fisuc_0627 Fisuc_1748
Fisuc_0627 FSU_0729
Fisuc_0632 Fisuc_2528
Fisuc_0632 Fisuc_2241
Fisuc_0636 Fisuc_3017
Fisuc_0636 Fisuc_0620
Fisuc_0671 FSU_2136
Fisuc_0671 Fisuc_2730
Fisuc_0671 Fisuc_1452
Fisuc_0675 Fisuc_0181
Fisuc_0685 Fisuc_1483
Fisuc_0685 Fisuc_2267
Fisuc_0691 Fisuc_2366
Fisuc_0707 Fisuc_1872
Fisuc_0715 Fisuc_0050
Fisuc_0715 Fisuc_1910
Fisuc_0721 Fisuc_2349
Fisuc_0729 FSU_1167
Fisuc_0734 Fisuc_2365
Fisuc_0734 Fisuc_3043
Fisuc_0737 FSU_3109
Fisuc_0737 FSU_3019
Fisuc_0737 Fisuc_2866
Fisuc_0768 Fisuc_0381
Fisuc_0768 Fisuc_1261
Fisuc_0774 Fisuc_1567
Fisuc_0774 FSU_0773
Fisuc_0774 Fisuc_1204
Fisuc_0774 Fisuc_1377
Fisuc_0777 Fisuc_0778
Fisuc_0777 Fisuc_2320
Fisuc_0778 Fisuc_0779
Fisuc_0778 Fisuc_0777
Fisuc_0779 Fisuc_0778
Fisuc_0835 Fisuc_0620
Fisuc_0835 Fisuc_0255
Fisuc_0859 Fisuc_2097
Fisuc_0859 Fisuc_0860
Fisuc_0860 Fisuc_2097
Fisuc_0860 Fisuc_0859
Fisuc_0860 Fisuc_1932
Fisuc_0873 Fisuc_1567
Fisuc_0873 Fisuc_1204
Fisuc_0919 Fisuc_2431
Fisuc_0919 Fisuc_2179
Fisuc_0961 FSU_0643
Fisuc_0961 Fisuc_2695
Fisuc_0961 Fisuc_2681
Fisuc_0961 Fisuc_0979
Fisuc_0979 Fisuc_0961
Fisuc_0979 Fisuc_0997
Fisuc_0997 Fisuc_0979
Fisuc_0997 FSU_0643
Fisuc_1044 Fisuc_3101
Fisuc_1044 Fisuc_2337
Fisuc_1044 Fisuc_1325
Fisuc_1055 Fisuc_0165
Fisuc_1056 Fisuc_0165
Fisuc_1071 Fisuc_3113
Fisuc_1071 Fisuc_1165
Fisuc_1071 Fisuc_0143
Fisuc_1072 Fisuc_0422
Fisuc_1072 Fisuc_0143
Fisuc_1072 Fisuc_0173
Fisuc_1079 Fisuc_1095
Fisuc_1079 Fisuc_1091
Fisuc_1079 Fisuc_1080
Fisuc_1079 Fisuc_0623
Fisuc_1080 Fisuc_1079
Fisuc_1080 Fisuc_0422
Fisuc_1080 Fisuc_0173
Fisuc_1080 Fisuc_1975
Fisuc_1080 FSU_1754
Fisuc_1080 Fisuc_0143
Fisuc_1091 Fisuc_1079
Fisuc_1091 Fisuc_0422
Fisuc_1091 Fisuc_0173
Fisuc_1091 FSU_1754
Fisuc_1091 Fisuc_1975
Fisuc_1091 Fisuc_0143
Fisuc_1095 FSU_1754
Fisuc_1095 Fisuc_1975
Fisuc_1095 Fisuc_1079
Fisuc_1095 Fisuc_0422
Fisuc_1095 Fisuc_0173
Fisuc_1095 Fisuc_0143
Fisuc_1120 FSU_1347
Fisuc_1120 Fisuc_1817
Fisuc_1120 Fisuc_1818
Fisuc_1126 Fisuc_1165
Fisuc_1126 Fisuc_3113
Fisuc_1126 Fisuc_0143
Fisuc_1143 Fisuc_3051
Fisuc_1143 Fisuc_1144
Fisuc_1144 Fisuc_1143
Fisuc_1165 Fisuc_0155
Fisuc_1165 Fisuc_0576
Fisuc_1165 Fisuc_1126
Fisuc_1165 Fisuc_1071
Fisuc_1204 Fisuc_0873
Fisuc_1204 FSU_0773
Fisuc_1204 Fisuc_0774
Fisuc_1226 Fisuc_1227
Fisuc_1227 Fisuc_1226
Fisuc_1261 Fisuc_2111
Fisuc_1261 Fisuc_2376
Fisuc_1261 FSU_2356
Fisuc_1261 Fisuc_1595
Fisuc_1261 Fisuc_0768
Fisuc_1325 Fisuc_1495
Fisuc_1325 FSU_0296
Fisuc_1325 Fisuc_1044
Fisuc_1353 Fisuc_1452
Fisuc_1374 Fisuc_0116
Fisuc_1374 FSU_1086
Fisuc_1374 Fisuc_2964
Fisuc_1377 Fisuc_0774
Fisuc_1452 Fisuc_0671
Fisuc_1452 Fisuc_1353
Fisuc_1458 Fisuc_2036
Fisuc_1458 Fisuc_3100
Fisuc_1458 Fisuc_3101
Fisuc_1462 Fisuc_2491
Fisuc_1462 Fisuc_2511
Fisuc_1472 Fisuc_1873
Fisuc_1472 Fisuc_3090
Fisuc_1483 Fisuc_0685
Fisuc_1484 Fisuc_0137
Fisuc_1484 Fisuc_0138
Fisuc_1484 Fisuc_2558
Fisuc_1484 Fisuc_1620
Fisuc_1484 Fisuc_2560
Fisuc_1495 FSU_0296
Fisuc_1495 Fisuc_1325
Fisuc_1501 Fisuc_0491
Fisuc_1501 FSU_3274
Fisuc_1504 Fisuc_2204
Fisuc_1515 FSU_0369
Fisuc_1515 Fisuc_2875
Fisuc_1535 Fisuc_0400
Fisuc_1537 Fisuc_0002
Fisuc_1567 Fisuc_0873
Fisuc_1567 Fisuc_0774
Fisuc_1573 Fisuc_2245
Fisuc_1573 Fisuc_2244
Fisuc_1595 Fisuc_0381
Fisuc_1595 Fisuc_1261
Fisuc_1620 Fisuc_2244
Fisuc_1620 Fisuc_1484
Fisuc_1627 Fisuc_2872
Fisuc_1627 Fisuc_2854
Fisuc_1649 Fisuc_1847
Fisuc_1649 Fisuc_0466
Fisuc_1665 Fisuc_0143
Fisuc_1668 Fisuc_0165
Fisuc_1686 Fisuc_1687
Fisuc_1687 Fisuc_1686
Fisuc_1703 Fisuc_1705
Fisuc_1703 Fisuc_1704
Fisuc_1704 Fisuc_1705
Fisuc_1704 Fisuc_1703
Fisuc_1705 Fisuc_1703
Fisuc_1705 Fisuc_1704
Fisuc_1748 Fisuc_0490
Fisuc_1748 Fisuc_0627
Fisuc_1748 FSU_0729
Fisuc_1751 FSU_0764
Fisuc_1816 FSU_1347
Fisuc_1816 Fisuc_1817
Fisuc_1816 Fisuc_1818
Fisuc_1817 Fisuc_1120
Fisuc_1817 Fisuc_1816
Fisuc_1818 Fisuc_1816
Fisuc_1818 Fisuc_1120
Fisuc_1819 FSU_0439
Fisuc_1822 Fisuc_2491
Fisuc_1847 Fisuc_2491
Fisuc_1847 Fisuc_0256
Fisuc_1847 Fisuc_1649
Fisuc_1852 Fisuc_2322
Fisuc_1852 FSU_0064
Fisuc_1852 Fisuc_3014
Fisuc_1872 Fisuc_0556
Fisuc_1872 FSU_3274
Fisuc_1872 Fisuc_0707
Fisuc_1872 Fisuc_0051
Fisuc_1873 Fisuc_1472
Fisuc_1873 Fisuc_0211
Fisuc_1909 Fisuc_1910
Fisuc_1909 Fisuc_0050
Fisuc_1910 Fisuc_0715
Fisuc_1910 Fisuc_1909
Fisuc_1932 Fisuc_0860
Fisuc_1932 Fisuc_2097
Fisuc_1975 Fisuc_1095
Fisuc_1975 Fisuc_1091
Fisuc_1975 Fisuc_1080
Fisuc_1975 Fisuc_0623
Fisuc_2036 Fisuc_3101
Fisuc_2036 FSU_1080
Fisuc_2036 Fisuc_1458
Fisuc_2060 Fisuc_0255
Fisuc_2060 Fisuc_0620
Fisuc_2076 FSU_3115
Fisuc_2083 Fisuc_2913
Fisuc_2097 FSU_0773
Fisuc_2097 Fisuc_0859
Fisuc_2097 Fisuc_0860
Fisuc_2097 Fisuc_1932
Fisuc_2111 Fisuc_0381
Fisuc_2111 Fisuc_1261
Fisuc_2173 Fisuc_2761
Fisuc_2173 Fisuc_2255
Fisuc_2179 Fisuc_0919
Fisuc_2204 Fisuc_0339
Fisuc_2204 Fisuc_0245
Fisuc_2204 Fisuc_1504
Fisuc_2241 Fisuc_0632
Fisuc_2241 Fisuc_3051
Fisuc_2244 Fisuc_2245
Fisuc_2244 Fisuc_1620
Fisuc_2244 Fisuc_2560
Fisuc_2244 Fisuc_1573
Fisuc_2245 Fisuc_1573
Fisuc_2245 Fisuc_2244
Fisuc_2253 Fisuc_2964
Fisuc_2253 Fisuc_2349
Fisuc_2253 Fisuc_3113
Fisuc_2255 FSU_0439
Fisuc_2255 Fisuc_2173
Fisuc_2267 FSU_0363
Fisuc_2267 Fisuc_0685
Fisuc_2279 Fisuc_2528
Fisuc_2279 Fisuc_2280
Fisuc_2280 Fisuc_2564
Fisuc_2280 Fisuc_2758
Fisuc_2280 Fisuc_2279
Fisuc_2299 Fisuc_2735
Fisuc_2320 Fisuc_0777
Fisuc_2322 Fisuc_1852
Fisuc_2322 Fisuc_3066
Fisuc_2337 Fisuc_1044
Fisuc_2347 Fisuc_2491
Fisuc_2349 Fisuc_0721
Fisuc_2349 Fisuc_0422
Fisuc_2349 Fisuc_0173
Fisuc_2349 Fisuc_2482
Fisuc_2349 Fisuc_0581
Fisuc_2349 Fisuc_2253
Fisuc_2358 Fisuc_0067
Fisuc_2358 FSU_0787
Fisuc_2358 Fisuc_0068
Fisuc_2365 Fisuc_0734
Fisuc_2366 Fisuc_0565
Fisuc_2366 Fisuc_0691
Fisuc_2366 Fisuc_0569
Fisuc_2366 Fisuc_3116
Fisuc_2368 Fisuc_2891
Fisuc_2376 Fisuc_1261
Fisuc_2376 Fisuc_0381
Fisuc_2392 Fisuc_0581
Fisuc_2429 Fisuc_0383
Fisuc_2429 Fisuc_2777
Fisuc_2431 Fisuc_0919
Fisuc_2431 Fisuc_0456
Fisuc_2442 FSU_3006
Fisuc_2452 Fisuc_2984
Fisuc_2452 Fisuc_2872
Fisuc_2482 Fisuc_2349
Fisuc_2491 Fisuc_1847
Fisuc_2491 Fisuc_0403
Fisuc_2491 Fisuc_1462
Fisuc_2491 Fisuc_2347
Fisuc_2491 Fisuc_0007
Fisuc_2491 Fisuc_0090
Fisuc_2491 Fisuc_1822
Fisuc_2491 Fisuc_2640
Fisuc_2503 Fisuc_2505
Fisuc_2503 Fisuc_2504
Fisuc_2504 Fisuc_2503
Fisuc_2504 Fisuc_2505
Fisuc_2505 Fisuc_2503
Fisuc_2505 Fisuc_2504
Fisuc_2511 Fisuc_1462
Fisuc_2511 Fisuc_0007
Fisuc_2511 Fisuc_0020
Fisuc_2528 Fisuc_2279
Fisuc_2528 Fisuc_2564
Fisuc_2528 Fisuc_0632
Fisuc_2537 Fisuc_2913
Fisuc_2558 Fisuc_2559
Fisuc_2558 Fisuc_1484
Fisuc_2559 Fisuc_2558
Fisuc_2560 Fisuc_2244
Fisuc_2560 Fisuc_1484
Fisuc_2564 Fisuc_2528
Fisuc_2564 Fisuc_2280
Fisuc_2615 Fisuc_0116
Fisuc_2615 Fisuc_0391
Fisuc_2615 FSU_1086
Fisuc_2640 Fisuc_2838
Fisuc_2640 Fisuc_2841
Fisuc_2640 Fisuc_2491
Fisuc_2640 Fisuc_2840
Fisuc_2640 Fisuc_2842
Fisuc_2640 Fisuc_2835
Fisuc_2640 Fisuc_2837
Fisuc_2640 Fisuc_2839
Fisuc_2640 Fisuc_2854
Fisuc_2644 Fisuc_0067
Fisuc_2644 Fisuc_0068
Fisuc_2660 Fisuc_0102
Fisuc_2660 Fisuc_0581
Fisuc_2681 Fisuc_0961
Fisuc_2695 Fisuc_0961
Fisuc_2714 Fisuc_0313
Fisuc_2715 Fisuc_0313
Fisuc_2730 Fisuc_0671
Fisuc_2733 FSU_3307
Fisuc_2735 Fisuc_2737
Fisuc_2735 Fisuc_2299
Fisuc_2737 FSU_3307
Fisuc_2737 Fisuc_2735
Fisuc_2757 Fisuc_0067
Fisuc_2757 FSU_0787
Fisuc_2757 Fisuc_0068
Fisuc_2758 Fisuc_2280
Fisuc_2761 Fisuc_2173
Fisuc_2761 Fisuc_0391
Fisuc_2772 Fisuc_2773
Fisuc_2773 Fisuc_2772
Fisuc_2777 Fisuc_0203
Fisuc_2777 Fisuc_2429
Fisuc_2835 Fisuc_2640
Fisuc_2835 Fisuc_0090
Fisuc_2837 Fisuc_2640
Fisuc_2837 Fisuc_0090
Fisuc_2838 Fisuc_0090
Fisuc_2838 Fisuc_2640
Fisuc_2839 Fisuc_0090
Fisuc_2839 Fisuc_2640
Fisuc_2840 Fisuc_0090
Fisuc_2840 Fisuc_2640
Fisuc_2841 Fisuc_2640
Fisuc_2841 Fisuc_0090
Fisuc_2842 Fisuc_2640
Fisuc_2842 Fisuc_0090
Fisuc_2854 Fisuc_0211
Fisuc_2854 Fisuc_2640
Fisuc_2854 Fisuc_2872
Fisuc_2854 Fisuc_1627
Fisuc_2866 Fisuc_0737
Fisuc_2872 Fisuc_1627
Fisuc_2872 Fisuc_2452
Fisuc_2872 Fisuc_2854
Fisuc_2875 FSU_0773
Fisuc_2875 Fisuc_1515
Fisuc_2891 Fisuc_0102
Fisuc_2891 Fisuc_2368
Fisuc_2913 Fisuc_0017
Fisuc_2913 Fisuc_0364
Fisuc_2913 Fisuc_2537
Fisuc_2913 Fisuc_2083
Fisuc_2937 Fisuc_0620
Fisuc_2937 Fisuc_0255
Fisuc_2938 Fisuc_0255
Fisuc_2938 Fisuc_0620
Fisuc_2954 Fisuc_0159
Fisuc_2954 Fisuc_0621
Fisuc_2954 FSU_0223
Fisuc_2955 Fisuc_2956
Fisuc_2956 Fisuc_2955
Fisuc_2961 FSU_0226
Fisuc_2964 Fisuc_2253
Fisuc_2964 Fisuc_0360
Fisuc_2964 Fisuc_1374
Fisuc_2984 Fisuc_0403
Fisuc_2984 Fisuc_2452
Fisuc_3014 Fisuc_1852
Fisuc_3017 Fisuc_0636
Fisuc_3035 Fisuc_3036
Fisuc_3036 Fisuc_3035
Fisuc_3043 Fisuc_0734
Fisuc_3050 Fisuc_0190
Fisuc_3051 Fisuc_2241
Fisuc_3051 Fisuc_1143
Fisuc_3066 Fisuc_2322
Fisuc_3090 Fisuc_1472
Fisuc_3090 Fisuc_0556
Fisuc_3090 FSU_3274
Fisuc_3100 Fisuc_1458
Fisuc_3100 Fisuc_3101
Fisuc_3100 FSU_0296
Fisuc_3101 Fisuc_1458
Fisuc_3101 Fisuc_1044
Fisuc_3101 Fisuc_2036
Fisuc_3101 Fisuc_3100
Fisuc_3113 Fisuc_1071
Fisuc_3113 Fisuc_2253
Fisuc_3113 Fisuc_1126
Fisuc_3113 Fisuc_0155
Fisuc_3116 Fisuc_2366
Fisuc_3116 FSU_0705
