SADFL11_1016 SADFL11_3739
SADFL11_1910 SADFL11_2111
SADFL11_1910 SADFL11_3613
SADFL11_1910 SADFL11_1062
SADFL11_1910 SADFL11_4138
SADFL11_1910 SADFL11_2212
SADFL11_1910 SADFL11_5167
SADFL11_1910 SADFL11_3882
SADFL11_1910 SADFL11_2753
SADFL11_1910 SADFL11_4585
SADFL11_1910 SADFL11_670
SADFL11_1910 SADFL11_1586
SADFL11_1911 SADFL11_1041
SADFL11_1914 SADFL11_3955
SADFL11_193 SADFL11_1586
SADFL11_193 SADFL11_5306
SADFL11_193 SADFL11_3001
SADFL11_193 SADFL11_3921
SADFL11_193 SADFL11_181
SADFL11_193 SADFL11_3416
SADFL11_193 SADFL11_2031
SADFL11_193 SADFL11_3613
SADFL11_193 SADFL11_4138
SADFL11_193 SADFL11_2212
SADFL11_193 SADFL11_5167
SADFL11_193 SADFL11_3882
SADFL11_193 SADFL11_2753
SADFL11_193 SADFL11_1062
SADFL11_193 SADFL11_4585
SADFL11_1932 SADFL11_4654
SADFL11_1948 SADFL11_5112
SADFL11_1972 SADFL11_3891
SADFL11_1972 SADFL11_2748
SADFL11_1972 SADFL11_4824
SADFL11_1975 SADFL11_4767
SADFL11_1975 SADFL11_1367
SADFL11_1982 SADFL11_1304
SADFL11_1996 SADFL11_710
SADFL11_2003 SADFL11_4016
SADFL11_2008 SADFL11_4727
SADFL11_2008 SADFL11_3665
SADFL11_2008 SADFL11_4771
SADFL11_2008 SADFL11_3414
SADFL11_2008 SADFL11_4965
SADFL11_2008 SADFL11_1126
SADFL11_2017 SADFL11_4432
SADFL11_2022 SADFL11_5120
SADFL11_2023 SADFL11_2168
SADFL11_2027 SADFL11_5290
SADFL11_2030 SADFL11_3815
SADFL11_2031 SADFL11_3782
SADFL11_2031 SADFL11_3323
SADFL11_2031 SADFL11_2697
SADFL11_2031 SADFL11_255
SADFL11_2031 SADFL11_483
SADFL11_2031 SADFL11_1910
SADFL11_2031 SADFL11_1284
SADFL11_2031 SADFL11_3747
SADFL11_2031 SADFL11_906
SADFL11_2031 SADFL11_1542
SADFL11_2031 SADFL11_725
SADFL11_2031 SADFL11_193
SADFL11_2031 SADFL11_1071
SADFL11_2031 SADFL11_1644
SADFL11_2050 SADFL11_4432
SADFL11_2051 SADFL11_2807
SADFL11_2058 SADFL11_2566
SADFL11_2062 SADFL11_3502
SADFL11_2062 SADFL11_271
SADFL11_2062 SADFL11_2697
SADFL11_2062 SADFL11_5236
SADFL11_2064 SADFL11_1363
SADFL11_2074 SADFL11_4036
SADFL11_2074 SADFL11_4872
SADFL11_2074 SADFL11_3228
SADFL11_2082 SADFL11_4775
SADFL11_2082 SADFL11_254
SADFL11_2082 SADFL11_4413
SADFL11_2082 SADFL11_4546
SADFL11_2084 SADFL11_3267
SADFL11_2087 SADFL11_491
SADFL11_2088 SADFL11_3510
SADFL11_2096 SADFL11_3038
SADFL11_210 SADFL11_2566
SADFL11_2111 SADFL11_483
SADFL11_2111 SADFL11_5172
SADFL11_2111 SADFL11_3323
SADFL11_2111 SADFL11_906
SADFL11_2111 SADFL11_255
SADFL11_2111 SADFL11_1192
SADFL11_2111 SADFL11_1071
SADFL11_2111 SADFL11_3782
SADFL11_2111 SADFL11_1910
SADFL11_2111 SADFL11_1284
SADFL11_2119 SADFL11_4244
SADFL11_2119 SADFL11_5097
SADFL11_2121 SADFL11_705
SADFL11_2121 SADFL11_3355
SADFL11_2168 SADFL11_1852
SADFL11_2168 SADFL11_4947
SADFL11_2168 SADFL11_722
SADFL11_2168 SADFL11_3136
SADFL11_2168 SADFL11_1893
SADFL11_2168 SADFL11_4925
SADFL11_2168 SADFL11_2023
SADFL11_2168 SADFL11_494
SADFL11_2173 SADFL11_1788
SADFL11_2173 SADFL11_3204
SADFL11_2180 SADFL11_1599
SADFL11_2183 SADFL11_1259
SADFL11_2197 SADFL11_1399
SADFL11_2201 SADFL11_710
SADFL11_2212 SADFL11_1071
SADFL11_2212 SADFL11_906
SADFL11_2212 SADFL11_3747
SADFL11_2212 SADFL11_3323
SADFL11_2212 SADFL11_725
SADFL11_2212 SADFL11_1910
SADFL11_2212 SADFL11_3782
SADFL11_2212 SADFL11_1284
SADFL11_2212 SADFL11_193
SADFL11_2212 SADFL11_483
SADFL11_2212 SADFL11_255
SADFL11_2212 SADFL11_1542
SADFL11_2212 SADFL11_1644
SADFL11_2219 SADFL11_683
SADFL11_2219 SADFL11_3817
SADFL11_2219 SADFL11_801
SADFL11_2224 SADFL11_4546
SADFL11_2229 SADFL11_1199
SADFL11_2231 SADFL11_3176
SADFL11_2234 SADFL11_5290
SADFL11_2239 SADFL11_4883
SADFL11_2239 SADFL11_1084
SADFL11_2239 SADFL11_4049
SADFL11_2239 SADFL11_518
SADFL11_2247 SADFL11_289
SADFL11_2252 SADFL11_935
SADFL11_2267 SADFL11_2787
SADFL11_2271 SADFL11_5290
SADFL11_2274 SADFL11_1152
SADFL11_2274 SADFL11_3887
SADFL11_2274 SADFL11_5290
SADFL11_2274 SADFL11_4418
SADFL11_2277 SADFL11_4546
SADFL11_2282 SADFL11_1111
SADFL11_2282 SADFL11_4188
SADFL11_2283 SADFL11_3109
SADFL11_229 SADFL11_2544
SADFL11_229 SADFL11_3339
SADFL11_229 SADFL11_3542
SADFL11_229 SADFL11_741
SADFL11_229 SADFL11_4535
SADFL11_229 SADFL11_3273
SADFL11_2295 SADFL11_951
SADFL11_2307 SADFL11_3228
SADFL11_2308 SADFL11_3058
SADFL11_2308 SADFL11_720
SADFL11_232 SADFL11_2352
SADFL11_232 SADFL11_2667
SADFL11_232 SADFL11_5333
SADFL11_232 SADFL11_2999
SADFL11_2322 SADFL11_4432
SADFL11_2330 SADFL11_5290
SADFL11_234 SADFL11_1432
SADFL11_234 SADFL11_3577
SADFL11_235 SADFL11_3109
SADFL11_2352 SADFL11_3434
SADFL11_2352 SADFL11_4767
SADFL11_2352 SADFL11_232
SADFL11_2357 SADFL11_2689
SADFL11_2368 SADFL11_4955
SADFL11_2376 SADFL11_562
SADFL11_2376 SADFL11_4733
SADFL11_2396 SADFL11_606
SADFL11_2396 SADFL11_3110
SADFL11_2398 SADFL11_2448
SADFL11_2417 SADFL11_3621
SADFL11_2417 SADFL11_1432
SADFL11_2422 SADFL11_4097
SADFL11_2433 SADFL11_5097
SADFL11_2435 SADFL11_2474
SADFL11_2435 SADFL11_2932
SADFL11_2435 SADFL11_3262
SADFL11_2438 SADFL11_4432
SADFL11_2447 SADFL11_5267
SADFL11_2447 SADFL11_2828
SADFL11_2448 SADFL11_2398
SADFL11_2450 SADFL11_3775
SADFL11_2456 SADFL11_404
SADFL11_2456 SADFL11_3479
SADFL11_2456 SADFL11_1275
SADFL11_2456 SADFL11_4902
SADFL11_2463 SADFL11_5313
SADFL11_2467 SADFL11_1432
SADFL11_2467 SADFL11_3577
SADFL11_2474 SADFL11_2932
SADFL11_2474 SADFL11_2435
SADFL11_2474 SADFL11_3262
SADFL11_2486 SADFL11_5067
SADFL11_2486 SADFL11_4483
SADFL11_2517 SADFL11_3338
SADFL11_2519 SADFL11_350
SADFL11_2521 SADFL11_3966
SADFL11_2531 SADFL11_467
SADFL11_2531 SADFL11_1046
SADFL11_2531 SADFL11_2865
SADFL11_254 SADFL11_331
SADFL11_254 SADFL11_1332
SADFL11_254 SADFL11_4546
SADFL11_254 SADFL11_1289
SADFL11_254 SADFL11_5290
SADFL11_254 SADFL11_1166
SADFL11_254 SADFL11_2082
SADFL11_2541 SADFL11_3390
SADFL11_2541 SADFL11_3411
SADFL11_2543 SADFL11_2687
SADFL11_2544 SADFL11_1571
SADFL11_2544 SADFL11_4134
SADFL11_2544 SADFL11_229
SADFL11_2544 SADFL11_2866
SADFL11_2544 SADFL11_2697
SADFL11_2544 SADFL11_3302
SADFL11_2544 SADFL11_3389
SADFL11_2544 SADFL11_3117
SADFL11_2548 SADFL11_673
SADFL11_255 SADFL11_2111
SADFL11_255 SADFL11_2031
SADFL11_255 SADFL11_3613
SADFL11_255 SADFL11_4138
SADFL11_255 SADFL11_2212
SADFL11_255 SADFL11_5167
SADFL11_255 SADFL11_3882
SADFL11_255 SADFL11_2753
SADFL11_255 SADFL11_1062
SADFL11_255 SADFL11_4585
SADFL11_255 SADFL11_670
SADFL11_255 SADFL11_1586
SADFL11_255 SADFL11_5306
SADFL11_255 SADFL11_3001
SADFL11_255 SADFL11_3921
SADFL11_255 SADFL11_181
SADFL11_255 SADFL11_3416
SADFL11_2550 SADFL11_1211
SADFL11_2550 SADFL11_3841
SADFL11_2550 SADFL11_2735
SADFL11_2566 SADFL11_970
SADFL11_2566 SADFL11_1555
SADFL11_2566 SADFL11_210
SADFL11_2566 SADFL11_4956
SADFL11_2566 SADFL11_1231
SADFL11_2566 SADFL11_4504
SADFL11_2566 SADFL11_923
SADFL11_2566 SADFL11_2971
SADFL11_2566 SADFL11_1690
SADFL11_2566 SADFL11_1587
SADFL11_2566 SADFL11_2873
SADFL11_2566 SADFL11_2058
SADFL11_2566 SADFL11_3975
SADFL11_2566 SADFL11_3182
SADFL11_2566 SADFL11_5269
SADFL11_2566 SADFL11_3822
SADFL11_2566 SADFL11_5297
SADFL11_2566 SADFL11_3653
SADFL11_2591 SADFL11_3073
SADFL11_2591 SADFL11_5274
SADFL11_2597 SADFL11_3874
SADFL11_2600 SADFL11_705
SADFL11_2600 SADFL11_5005
SADFL11_2614 SADFL11_3176
SADFL11_2625 SADFL11_2731
SADFL11_2628 SADFL11_1886
SADFL11_2628 SADFL11_4587
SADFL11_2629 SADFL11_5044
SADFL11_2629 SADFL11_2751
SADFL11_2629 SADFL11_3160
SADFL11_2629 SADFL11_4215
SADFL11_2638 SADFL11_4727
SADFL11_2638 SADFL11_3665
SADFL11_2638 SADFL11_4771
SADFL11_2638 SADFL11_1126
SADFL11_2638 SADFL11_3414
SADFL11_2638 SADFL11_4965
SADFL11_2641 SADFL11_5274
SADFL11_2641 SADFL11_626
SADFL11_2642 SADFL11_1809
SADFL11_2667 SADFL11_2697
SADFL11_2667 SADFL11_1875
SADFL11_2667 SADFL11_232
SADFL11_2667 SADFL11_3642
SADFL11_2667 SADFL11_3434
SADFL11_2677 SADFL11_3510
SADFL11_2680 SADFL11_5171
SADFL11_2680 SADFL11_1743
SADFL11_2680 SADFL11_2770
SADFL11_2687 SADFL11_2543
SADFL11_2689 SADFL11_2357
SADFL11_2689 SADFL11_563
SADFL11_2689 SADFL11_4551
SADFL11_2689 SADFL11_5038
SADFL11_2689 SADFL11_3324
SADFL11_2689 SADFL11_3833
SADFL11_2697 SADFL11_2062
SADFL11_2697 SADFL11_4134
SADFL11_2697 SADFL11_5003
SADFL11_2697 SADFL11_1180
SADFL11_2697 SADFL11_3117
SADFL11_2697 SADFL11_961
SADFL11_2697 SADFL11_4066
SADFL11_2697 SADFL11_912
SADFL11_2697 SADFL11_4448
SADFL11_2697 SADFL11_2667
SADFL11_2697 SADFL11_2031
SADFL11_2697 SADFL11_5333
SADFL11_2697 SADFL11_3908
SADFL11_2697 SADFL11_1875
SADFL11_2697 SADFL11_728
SADFL11_2697 SADFL11_3746
SADFL11_2697 SADFL11_4270
SADFL11_2697 SADFL11_2544
SADFL11_2697 SADFL11_2999
SADFL11_2697 SADFL11_4361
SADFL11_2697 SADFL11_3302
SADFL11_2697 SADFL11_4017
SADFL11_2697 SADFL11_4974
SADFL11_2697 SADFL11_4813
SADFL11_2705 SADFL11_5112
SADFL11_271 SADFL11_4813
SADFL11_271 SADFL11_5246
SADFL11_271 SADFL11_4361
SADFL11_271 SADFL11_2062
SADFL11_271 SADFL11_4270
SADFL11_2711 SADFL11_3575
SADFL11_2716 SADFL11_3584
SADFL11_2720 SADFL11_3516
SADFL11_2724 SADFL11_3702
SADFL11_2731 SADFL11_2625
SADFL11_2735 SADFL11_3267
SADFL11_2735 SADFL11_2550
SADFL11_2748 SADFL11_4824
SADFL11_2748 SADFL11_1972
SADFL11_2748 SADFL11_3891
SADFL11_275 SADFL11_3137
SADFL11_275 SADFL11_4234
SADFL11_275 SADFL11_4946
SADFL11_2751 SADFL11_3041
SADFL11_2751 SADFL11_752
SADFL11_2751 SADFL11_5044
SADFL11_2751 SADFL11_3255
SADFL11_2751 SADFL11_4834
SADFL11_2751 SADFL11_2629
SADFL11_2751 SADFL11_3160
SADFL11_2751 SADFL11_4215
SADFL11_2753 SADFL11_1644
SADFL11_2753 SADFL11_1542
SADFL11_2753 SADFL11_3323
SADFL11_2753 SADFL11_725
SADFL11_2753 SADFL11_1910
SADFL11_2753 SADFL11_1071
SADFL11_2753 SADFL11_3782
SADFL11_2753 SADFL11_1284
SADFL11_2753 SADFL11_483
SADFL11_2753 SADFL11_193
SADFL11_2753 SADFL11_255
SADFL11_2753 SADFL11_3747
SADFL11_2753 SADFL11_906
SADFL11_2762 SADFL11_929
SADFL11_2762 SADFL11_935
SADFL11_2770 SADFL11_5171
SADFL11_2770 SADFL11_1722
SADFL11_2770 SADFL11_2680
SADFL11_2783 SADFL11_750
SADFL11_2785 SADFL11_924
SADFL11_2787 SADFL11_2267
SADFL11_2791 SADFL11_2946
SADFL11_2807 SADFL11_3746
SADFL11_2807 SADFL11_4448
SADFL11_2807 SADFL11_4546
SADFL11_2807 SADFL11_2051
SADFL11_2808 SADFL11_4738
SADFL11_2808 SADFL11_3678
SADFL11_281 SADFL11_4952
SADFL11_281 SADFL11_3184
SADFL11_2828 SADFL11_2447
SADFL11_2834 SADFL11_3431
SADFL11_2834 SADFL11_4636
SADFL11_2841 SADFL11_4758
SADFL11_2841 SADFL11_292
SADFL11_2841 SADFL11_370
SADFL11_2864 SADFL11_647
SADFL11_2864 SADFL11_4847
SADFL11_2865 SADFL11_2531
SADFL11_2865 SADFL11_1650
SADFL11_2866 SADFL11_3542
SADFL11_2866 SADFL11_2544
SADFL11_2866 SADFL11_741
SADFL11_2866 SADFL11_3273
SADFL11_2866 SADFL11_3339
SADFL11_2866 SADFL11_4535
SADFL11_2873 SADFL11_999
SADFL11_2873 SADFL11_2566
SADFL11_2883 SADFL11_3350
SADFL11_289 SADFL11_2247
SADFL11_2897 SADFL11_4727
SADFL11_2897 SADFL11_3955
SADFL11_2909 SADFL11_5327
SADFL11_2909 SADFL11_5151
SADFL11_2919 SADFL11_4082
SADFL11_2919 SADFL11_3148
SADFL11_2919 SADFL11_1211
SADFL11_292 SADFL11_4758
SADFL11_292 SADFL11_370
SADFL11_292 SADFL11_2841
SADFL11_2932 SADFL11_2474
SADFL11_2932 SADFL11_2435
SADFL11_2932 SADFL11_3262
SADFL11_2945 SADFL11_750
SADFL11_2946 SADFL11_2791
SADFL11_2971 SADFL11_2566
SADFL11_2978 SADFL11_579
SADFL11_299 SADFL11_1804
SADFL11_2996 SADFL11_1165
SADFL11_2996 SADFL11_4506
SADFL11_2996 SADFL11_4574
SADFL11_2999 SADFL11_1875
SADFL11_2999 SADFL11_3434
SADFL11_2999 SADFL11_232
SADFL11_2999 SADFL11_3642
SADFL11_2999 SADFL11_4136
SADFL11_2999 SADFL11_4957
SADFL11_2999 SADFL11_2697
SADFL11_3000 SADFL11_3165
SADFL11_3000 SADFL11_3549
SADFL11_3000 SADFL11_5208
SADFL11_3000 SADFL11_3776
SADFL11_3000 SADFL11_3930
SADFL11_3001 SADFL11_1542
SADFL11_3001 SADFL11_725
SADFL11_3001 SADFL11_193
SADFL11_3001 SADFL11_255
SADFL11_3001 SADFL11_1910
SADFL11_3001 SADFL11_1284
SADFL11_3001 SADFL11_3747
