MLOC_15571.1 MLOC_60493.1
MLOC_53258.1 MLOC_73050.2
MLOC_53258.1 MLOC_53469.2
MLOC_53258.1 MLOC_66074.2
MLOC_53258.1 MLOC_40094.1
MLOC_53258.1 MLOC_74483.1
MLOC_53258.1 MLOC_20487.1
MLOC_53258.1 MLOC_17002.1
MLOC_53469.2 MLOC_6738.1
MLOC_53469.2 MLOC_9415.1
MLOC_53469.2 MLOC_53258.1
MLOC_53469.2 MLOC_81416.1
MLOC_53469.2 MLOC_41484.1
MLOC_53469.2 MLOC_20487.1
MLOC_53469.2 MLOC_73050.2
MLOC_53469.2 MLOC_66074.2
MLOC_53469.2 MLOC_17002.1
MLOC_53469.2 MLOC_40094.1
MLOC_53469.2 MLOC_74483.1
MLOC_5515.4 MLOC_38328.7
MLOC_56051.1 MLOC_56052.1
MLOC_56051.1 MLOC_945.1
MLOC_56052.1 MLOC_945.1
MLOC_56052.1 MLOC_56051.1
MLOC_56911.1 MLOC_62908.1
MLOC_56911.1 MLOC_38730.1
MLOC_57981.1 MLOC_19488.1
MLOC_59475.1 MLOC_44602.1
MLOC_59546.1 MLOC_24862.1
MLOC_59546.1 MLOC_50248.2
MLOC_59546.1 MLOC_40997.1
MLOC_59546.1 MLOC_9080.1
MLOC_59546.1 MLOC_61085.1
MLOC_60342.1 MLOC_37052.1
MLOC_60342.1 MLOC_34223.1
MLOC_60342.1 MLOC_82113.1
MLOC_60342.1 MLOC_9691.1
MLOC_60342.1 MLOC_63096.1
MLOC_60342.1 MLOC_34266.1
MLOC_60342.1 MLOC_17002.1
MLOC_60342.1 MLOC_2133.1
MLOC_60342.1 MLOC_20487.1
MLOC_60342.1 MLOC_9279.1
MLOC_60493.1 MLOC_15571.1
MLOC_61085.1 MLOC_24862.1
MLOC_61085.1 MLOC_50248.2
MLOC_61085.1 MLOC_40997.1
MLOC_61085.1 MLOC_9080.1
MLOC_61085.1 MLOC_59546.1
MLOC_61342.1 MLOC_64689.1
MLOC_61342.1 MLOC_52379.1
MLOC_62908.1 MLOC_56911.1
MLOC_62908.1 MLOC_38730.1
MLOC_63096.1 MLOC_37052.1
MLOC_63096.1 MLOC_34266.1
MLOC_63096.1 MLOC_34223.1
MLOC_63096.1 MLOC_82113.1
MLOC_63096.1 MLOC_9691.1
MLOC_63096.1 MLOC_60342.1
MLOC_63096.1 MLOC_17002.1
MLOC_63096.1 MLOC_2133.1
MLOC_63096.1 MLOC_20487.1
MLOC_63096.1 MLOC_9279.1
MLOC_64198.1 MLOC_64689.1
MLOC_64689.1 MLOC_21122.6
MLOC_64689.1 MLOC_64198.1
MLOC_64689.1 MLOC_52379.1
MLOC_64689.1 MLOC_61342.1
MLOC_66074.2 MLOC_53258.1
MLOC_66074.2 MLOC_6738.1
MLOC_66074.2 MLOC_41484.1
MLOC_66074.2 MLOC_17002.1
MLOC_66074.2 MLOC_20487.1
MLOC_66074.2 MLOC_9415.1
MLOC_66074.2 MLOC_81416.1
MLOC_66074.2 MLOC_73050.2
MLOC_66074.2 MLOC_53469.2
MLOC_66074.2 MLOC_40094.1
MLOC_66074.2 MLOC_74483.1
MLOC_6738.1 MLOC_9415.1
MLOC_6738.1 MLOC_53258.1
MLOC_6738.1 MLOC_66074.2
MLOC_6738.1 MLOC_81416.1
MLOC_6738.1 MLOC_41484.1
MLOC_6738.1 MLOC_73050.2
MLOC_6738.1 MLOC_53469.2
MLOC_6738.1 MLOC_40094.1
MLOC_6738.1 MLOC_20487.1
MLOC_6738.1 MLOC_74483.1
MLOC_6738.1 MLOC_17002.1
MLOC_67727.1 MLOC_68803.1
MLOC_68435.1 MLOC_74996.1
MLOC_68803.1 MLOC_67727.1
MLOC_73050.2 MLOC_9415.1
MLOC_73050.2 MLOC_53258.1
MLOC_73050.2 MLOC_41484.1
MLOC_73050.2 MLOC_6738.1
MLOC_73050.2 MLOC_81416.1
MLOC_73050.2 MLOC_53469.2
MLOC_73050.2 MLOC_66074.2
MLOC_73050.2 MLOC_40094.1
MLOC_73050.2 MLOC_74483.1
MLOC_73050.2 MLOC_17002.1
MLOC_73050.2 MLOC_20487.1
MLOC_74483.1 MLOC_81416.1
MLOC_74483.1 MLOC_53469.2
MLOC_74483.1 MLOC_73050.2
MLOC_74483.1 MLOC_66074.2
MLOC_74483.1 MLOC_40094.1
MLOC_74483.1 MLOC_17002.1
MLOC_74483.1 MLOC_20487.1
MLOC_74483.1 MLOC_41484.1
MLOC_74483.1 MLOC_6738.1
MLOC_74483.1 MLOC_9415.1
MLOC_74483.1 MLOC_53258.1
MLOC_74996.1 MLOC_68435.1
MLOC_81416.1 MLOC_66074.2
MLOC_81416.1 MLOC_6738.1
MLOC_81416.1 MLOC_53258.1
MLOC_81416.1 MLOC_41484.1
MLOC_81416.1 MLOC_17002.1
MLOC_81416.1 MLOC_20487.1
MLOC_81416.1 MLOC_40094.1
MLOC_81416.1 MLOC_9415.1
MLOC_81416.1 MLOC_73050.2
MLOC_81416.1 MLOC_53469.2
MLOC_81416.1 MLOC_74483.1
MLOC_82113.1 MLOC_17002.1
MLOC_82113.1 MLOC_63096.1
MLOC_82113.1 MLOC_9691.1
MLOC_82113.1 MLOC_60342.1
MLOC_82113.1 MLOC_2133.1
MLOC_82113.1 MLOC_20487.1
MLOC_82113.1 MLOC_34266.1
MLOC_82113.1 MLOC_37052.1
MLOC_82113.1 MLOC_34223.1
MLOC_82113.1 MLOC_9279.1
MLOC_9080.1 MLOC_59546.1
MLOC_9080.1 MLOC_50248.2
MLOC_9080.1 MLOC_40997.1
MLOC_9080.1 MLOC_61085.1
MLOC_9080.1 MLOC_24862.1
MLOC_9279.1 MLOC_34266.1
MLOC_9279.1 MLOC_2133.1
MLOC_9279.1 MLOC_63096.1
MLOC_9279.1 MLOC_37052.1
MLOC_9279.1 MLOC_82113.1
MLOC_9279.1 MLOC_60342.1
MLOC_9279.1 MLOC_20487.1
MLOC_9279.1 MLOC_17002.1
MLOC_9279.1 MLOC_9691.1
MLOC_9279.1 MLOC_34223.1
MLOC_9415.1 MLOC_66074.2
MLOC_9415.1 MLOC_40094.1
MLOC_9415.1 MLOC_53258.1
MLOC_9415.1 MLOC_74483.1
MLOC_9415.1 MLOC_6738.1
MLOC_9415.1 MLOC_53469.2
MLOC_9415.1 MLOC_41484.1
MLOC_9415.1 MLOC_81416.1
MLOC_9415.1 MLOC_17002.1
MLOC_9415.1 MLOC_20487.1
MLOC_9415.1 MLOC_73050.2
MLOC_945.1 MLOC_56052.1
MLOC_945.1 MLOC_56051.1
MLOC_9691.1 MLOC_34266.1
MLOC_9691.1 MLOC_82113.1
MLOC_9691.1 MLOC_2133.1
MLOC_9691.1 MLOC_17002.1
MLOC_9691.1 MLOC_60342.1
MLOC_9691.1 MLOC_20487.1
MLOC_9691.1 MLOC_63096.1
MLOC_9691.1 MLOC_34223.1
MLOC_9691.1 MLOC_37052.1
MLOC_9691.1 MLOC_9279.1
