Cseg_0007 Cseg_2256
Cseg_0080 Cseg_2383
Cseg_0080 Cseg_2915
Cseg_0080 Cseg_4126
Cseg_0080 Cseg_3344
Cseg_0080 Cseg_1873
Cseg_0080 Cseg_4116
Cseg_0080 Cseg_2952
Cseg_0080 Cseg_1376
Cseg_0081 Cseg_1657
Cseg_0081 Cseg_2866
Cseg_0081 Cseg_2273
Cseg_0081 Cseg_4253
Cseg_0081 Cseg_0857
Cseg_0081 Cseg_4251
Cseg_0081 Cseg_1282
Cseg_0081 Cseg_1222
Cseg_0081 Cseg_2667
Cseg_0081 Cseg_1283
Cseg_0081 Cseg_0335
Cseg_0081 Cseg_1294
Cseg_0081 Cseg_2590
Cseg_0081 Cseg_1431
Cseg_0084 Cseg_4147
Cseg_0084 Cseg_4131
Cseg_0084 Cseg_3881
Cseg_0084 Cseg_0251
Cseg_0084 Cseg_2257
Cseg_0084 Cseg_1184
Cseg_0084 Cseg_2192
Cseg_0084 Cseg_0338
Cseg_0084 Cseg_0274
Cseg_0084 Cseg_4132
Cseg_0084 Cseg_3801
Cseg_0084 Cseg_2668
Cseg_0084 Cseg_4091
Cseg_0084 Cseg_0411
Cseg_0084 Cseg_0816
Cseg_0084 Cseg_0336
Cseg_0084 Cseg_1971
Cseg_0084 Cseg_3805
Cseg_0084 Cseg_1459
Cseg_0084 Cseg_0823
Cseg_0084 Cseg_2058
Cseg_0084 Cseg_0335
Cseg_0084 Cseg_4092
Cseg_0084 Cseg_0872
Cseg_0084 Cseg_0581
Cseg_0084 Cseg_0337
Cseg_0084 Cseg_3163
Cseg_0084 Cseg_2057
Cseg_0084 Cseg_2193
Cseg_0087 Cseg_2754
Cseg_0087 Cseg_0088
Cseg_0087 Cseg_0500
Cseg_0087 Cseg_0502
Cseg_0087 Cseg_1575
Cseg_0087 Cseg_3479
Cseg_0087 Cseg_4126
Cseg_0088 Cseg_2754
Cseg_0088 Cseg_0502
Cseg_0088 Cseg_0087
Cseg_0099 Cseg_4106
Cseg_0099 Cseg_1556
Cseg_0099 Cseg_1831
Cseg_0099 Cseg_0603
Cseg_0099 Cseg_1549
Cseg_0099 Cseg_3316
Cseg_0099 Cseg_0973
Cseg_0099 Cseg_1553
Cseg_0099 Cseg_2629
Cseg_0099 Cseg_2952
Cseg_0104 Cseg_2921
Cseg_0104 Cseg_4076
Cseg_0104 Cseg_2649
Cseg_0104 Cseg_1431
Cseg_0106 Cseg_0893
Cseg_0106 Cseg_4157
Cseg_0113 Cseg_0114
Cseg_0113 Cseg_3143
Cseg_0113 Cseg_3144
Cseg_0113 Cseg_2953
Cseg_0113 Cseg_3742
Cseg_0114 Cseg_0113
Cseg_0114 Cseg_0816
Cseg_0114 Cseg_4091
Cseg_0114 Cseg_3144
Cseg_0114 Cseg_0823
Cseg_0114 Cseg_0477
Cseg_0114 Cseg_3742
Cseg_0114 Cseg_2257
Cseg_0114 Cseg_3881
Cseg_0114 Cseg_4103
Cseg_0114 Cseg_2318
Cseg_0114 Cseg_0947
Cseg_0114 Cseg_0965
Cseg_0114 Cseg_3143
Cseg_0114 Cseg_4092
Cseg_0114 Cseg_3932
Cseg_0114 Cseg_2799
Cseg_0126 Cseg_1394
Cseg_0126 Cseg_3549
Cseg_0126 Cseg_0644
Cseg_0126 Cseg_0894
Cseg_0126 Cseg_2774
Cseg_0126 Cseg_2946
Cseg_0126 Cseg_0130
Cseg_0126 Cseg_2564
Cseg_0126 Cseg_0857
Cseg_0126 Cseg_0947
Cseg_0126 Cseg_2862
Cseg_0126 Cseg_3423
Cseg_0126 Cseg_1459
Cseg_0126 Cseg_0965
Cseg_0130 Cseg_0327
Cseg_0130 Cseg_0126
Cseg_0130 Cseg_2862
Cseg_0130 Cseg_1951
Cseg_0130 Cseg_4157
Cseg_0131 Cseg_1968
Cseg_0131 Cseg_1462
Cseg_0131 Cseg_3958
Cseg_0131 Cseg_1767
Cseg_0131 Cseg_3024
Cseg_0131 Cseg_4147
Cseg_0131 Cseg_4132
Cseg_0131 Cseg_4119
Cseg_0131 Cseg_1380
Cseg_0131 Cseg_1321
Cseg_0131 Cseg_2255
Cseg_0131 Cseg_0371
Cseg_0131 Cseg_3088
Cseg_0131 Cseg_0392
Cseg_0131 Cseg_4131
Cseg_0131 Cseg_1322
Cseg_0131 Cseg_1309
Cseg_0131 Cseg_1074
Cseg_0131 Cseg_4066
Cseg_0131 Cseg_3959
Cseg_0131 Cseg_2739
Cseg_0131 Cseg_0849
Cseg_0131 Cseg_1967
Cseg_0131 Cseg_3393
Cseg_0131 Cseg_2193
Cseg_0131 Cseg_1949
Cseg_0132 Cseg_2686
Cseg_0132 Cseg_3876
Cseg_0136 Cseg_3747
Cseg_0136 Cseg_3750
Cseg_0136 Cseg_0427
Cseg_0136 Cseg_3214
Cseg_0136 Cseg_0434
Cseg_0136 Cseg_0432
Cseg_0136 Cseg_3602
Cseg_0136 Cseg_4031
Cseg_0136 Cseg_0428
Cseg_0136 Cseg_3751
Cseg_0136 Cseg_3519
Cseg_0136 Cseg_0426
Cseg_0136 Cseg_4030
Cseg_0136 Cseg_3215
Cseg_0136 Cseg_3753
Cseg_0136 Cseg_3749
Cseg_0136 Cseg_3748
Cseg_0136 Cseg_0433
Cseg_0136 Cseg_3752
Cseg_0140 Cseg_2187
Cseg_0140 Cseg_2186
Cseg_0141 Cseg_1657
Cseg_0141 Cseg_1050
Cseg_0141 Cseg_2187
Cseg_0141 Cseg_0855
Cseg_0141 Cseg_1605
Cseg_0141 Cseg_0852
Cseg_0141 Cseg_0142
Cseg_0141 Cseg_4124
Cseg_0141 Cseg_1328
Cseg_0142 Cseg_0855
Cseg_0142 Cseg_1605
Cseg_0142 Cseg_0852
Cseg_0142 Cseg_0141
Cseg_0142 Cseg_1050
Cseg_0142 Cseg_2187
Cseg_0142 Cseg_1657
Cseg_0142 Cseg_1328
Cseg_0142 Cseg_4124
Cseg_0143 Cseg_1462
Cseg_0143 Cseg_4264
Cseg_0143 Cseg_2529
Cseg_0143 Cseg_0226
Cseg_0143 Cseg_2930
Cseg_0143 Cseg_4132
Cseg_0143 Cseg_2255
Cseg_0143 Cseg_3807
Cseg_0143 Cseg_1669
Cseg_0143 Cseg_3584
Cseg_0143 Cseg_1969
Cseg_0143 Cseg_2174
Cseg_0143 Cseg_4066
Cseg_0143 Cseg_0392
Cseg_0143 Cseg_4131
Cseg_0143 Cseg_3806
Cseg_0143 Cseg_0849
Cseg_0143 Cseg_2304
Cseg_0143 Cseg_1914
Cseg_0143 Cseg_0389
Cseg_0143 Cseg_3393
Cseg_0143 Cseg_3486
Cseg_0143 Cseg_2173
Cseg_0143 Cseg_0072
Cseg_0143 Cseg_2193
Cseg_0144 Cseg_0695
Cseg_0144 Cseg_1294
Cseg_0144 Cseg_1657
Cseg_0149 Cseg_1143
Cseg_0149 Cseg_0150
Cseg_0149 Cseg_1144
Cseg_0150 Cseg_2953
Cseg_0150 Cseg_3739
Cseg_0150 Cseg_0149
Cseg_0150 Cseg_1422
Cseg_0155 Cseg_3604
Cseg_0155 Cseg_1309
Cseg_0155 Cseg_4264
Cseg_0155 Cseg_3730
Cseg_0155 Cseg_3728
Cseg_0155 Cseg_2862
Cseg_0155 Cseg_1459
Cseg_0155 Cseg_3605
Cseg_0155 Cseg_3807
Cseg_0155 Cseg_4054
Cseg_0155 Cseg_0157
Cseg_0155 Cseg_3727
Cseg_0155 Cseg_0156
Cseg_0155 Cseg_3806
Cseg_0155 Cseg_0814
Cseg_0155 Cseg_1158
Cseg_0155 Cseg_0158
Cseg_0156 Cseg_0814
Cseg_0156 Cseg_4054
Cseg_0156 Cseg_3806
Cseg_0156 Cseg_0157
Cseg_0156 Cseg_4264
Cseg_0156 Cseg_1459
Cseg_0156 Cseg_1309
Cseg_0156 Cseg_0155
Cseg_0156 Cseg_1158
Cseg_0156 Cseg_3807
Cseg_0156 Cseg_2862
Cseg_0156 Cseg_0158
Cseg_0157 Cseg_0155
Cseg_0157 Cseg_3807
Cseg_0157 Cseg_4054
Cseg_0157 Cseg_3727
Cseg_0157 Cseg_1309
Cseg_0157 Cseg_3604
Cseg_0157 Cseg_4264
Cseg_0157 Cseg_3730
Cseg_0157 Cseg_3728
Cseg_0157 Cseg_2862
Cseg_0157 Cseg_1459
Cseg_0157 Cseg_3605
Cseg_0157 Cseg_0156
Cseg_0157 Cseg_3806
Cseg_0157 Cseg_1158
Cseg_0157 Cseg_0814
Cseg_0157 Cseg_0158
Cseg_0158 Cseg_1158
Cseg_0158 Cseg_0814
Cseg_0158 Cseg_3604
Cseg_0158 Cseg_4264
Cseg_0158 Cseg_3728
Cseg_0158 Cseg_3730
Cseg_0158 Cseg_2862
Cseg_0158 Cseg_1459
Cseg_0158 Cseg_3605
Cseg_0158 Cseg_0155
Cseg_0158 Cseg_3807
Cseg_0158 Cseg_4054
Cseg_0158 Cseg_0157
Cseg_0158 Cseg_3727
Cseg_0158 Cseg_1309
Cseg_0158 Cseg_3806
Cseg_0158 Cseg_0156
Cseg_0159 Cseg_3012
Cseg_0162 Cseg_2628
Cseg_0162 Cseg_2223
Cseg_0170 Cseg_3572
Cseg_0170 Cseg_2799
Cseg_0170 Cseg_2915
Cseg_0170 Cseg_0477
Cseg_0170 Cseg_4103
Cseg_0172 Cseg_0173
Cseg_0173 Cseg_0172
Cseg_0181 Cseg_3133
Cseg_0181 Cseg_2953
Cseg_0181 Cseg_2198
Cseg_0191 Cseg_2596
Cseg_0193 Cseg_3725
Cseg_0193 Cseg_3724
Cseg_0193 Cseg_0194
Cseg_0194 Cseg_0193
Cseg_0194 Cseg_3725
Cseg_0194 Cseg_3724
Cseg_0197 Cseg_1680
Cseg_0199 Cseg_1140
Cseg_0199 Cseg_2165
Cseg_0199 Cseg_3941
Cseg_0199 Cseg_0646
Cseg_0202 Cseg_1957
Cseg_0217 Cseg_1810
Cseg_0217 Cseg_1282
Cseg_0217 Cseg_1283
Cseg_0217 Cseg_1905
Cseg_0217 Cseg_0855
Cseg_0217 Cseg_2889
Cseg_0217 Cseg_2919
Cseg_0217 Cseg_0330
Cseg_0217 Cseg_0449
Cseg_0217 Cseg_2468
Cseg_0217 Cseg_4112
Cseg_0217 Cseg_1907
Cseg_0217 Cseg_1683
Cseg_0217 Cseg_4113
Cseg_0217 Cseg_4124
Cseg_0218 Cseg_2647
Cseg_0218 Cseg_3368
Cseg_0221 Cseg_2686
Cseg_0221 Cseg_3902
Cseg_0221 Cseg_1683
Cseg_0221 Cseg_0894
Cseg_0223 Cseg_1420
Cseg_0223 Cseg_2490
Cseg_0223 Cseg_2888
Cseg_0223 Cseg_4220
Cseg_0223 Cseg_3890
Cseg_0223 Cseg_2214
Cseg_0223 Cseg_2122
Cseg_0223 Cseg_2966
Cseg_0223 Cseg_2277
Cseg_0223 Cseg_4237
Cseg_0223 Cseg_1380
Cseg_0223 Cseg_2287
Cseg_0224 Cseg_4030
Cseg_0224 Cseg_3753
Cseg_0224 Cseg_3750
Cseg_0224 Cseg_3747
Cseg_0224 Cseg_3214
Cseg_0224 Cseg_3749
Cseg_0224 Cseg_0434
Cseg_0224 Cseg_0432
Cseg_0224 Cseg_3602
Cseg_0224 Cseg_3215
Cseg_0224 Cseg_4031
Cseg_0224 Cseg_0428
Cseg_0224 Cseg_3748
Cseg_0224 Cseg_0427
Cseg_0224 Cseg_0433
Cseg_0224 Cseg_3751
Cseg_0224 Cseg_3752
Cseg_0224 Cseg_3519
Cseg_0224 Cseg_0426
Cseg_0226 Cseg_3393
Cseg_0226 Cseg_2930
Cseg_0226 Cseg_4132
Cseg_0226 Cseg_3946
Cseg_0226 Cseg_3668
Cseg_0226 Cseg_3486
Cseg_0226 Cseg_2173
Cseg_0226 Cseg_2255
Cseg_0226 Cseg_3945
Cseg_0226 Cseg_0072
Cseg_0226 Cseg_2193
Cseg_0226 Cseg_0074
Cseg_0226 Cseg_2350
Cseg_0226 Cseg_3584
Cseg_0226 Cseg_3807
Cseg_0226 Cseg_0393
Cseg_0226 Cseg_1969
Cseg_0226 Cseg_2174
Cseg_0226 Cseg_0392
Cseg_0226 Cseg_4066
Cseg_0226 Cseg_4131
Cseg_0226 Cseg_2349
Cseg_0226 Cseg_3804
Cseg_0226 Cseg_0532
Cseg_0226 Cseg_0771
Cseg_0226 Cseg_1462
Cseg_0226 Cseg_0143
Cseg_0226 Cseg_2529
Cseg_0226 Cseg_4264
Cseg_0226 Cseg_3107
Cseg_0226 Cseg_3806
Cseg_0226 Cseg_1914
Cseg_0226 Cseg_0849
Cseg_0226 Cseg_0389
Cseg_0234 Cseg_0239
Cseg_0234 Cseg_0344
Cseg_0234 Cseg_0026
Cseg_0234 Cseg_0236
Cseg_0234 Cseg_0342
Cseg_0234 Cseg_0343
Cseg_0234 Cseg_0235
Cseg_0234 Cseg_0237
Cseg_0234 Cseg_1663
Cseg_0234 Cseg_0345
Cseg_0234 Cseg_1512
Cseg_0235 Cseg_0237
Cseg_0235 Cseg_0239
Cseg_0235 Cseg_0344
Cseg_0235 Cseg_1663
Cseg_0235 Cseg_0345
Cseg_0235 Cseg_1512
Cseg_0235 Cseg_0342
Cseg_0235 Cseg_0026
Cseg_0235 Cseg_0236
Cseg_0235 Cseg_0343
Cseg_0235 Cseg_0234
Cseg_0236 Cseg_0234
Cseg_0236 Cseg_0235
Cseg_0236 Cseg_0237
Cseg_0236 Cseg_1663
Cseg_0236 Cseg_0345
Cseg_0236 Cseg_1512
Cseg_0236 Cseg_0344
Cseg_0236 Cseg_0239
Cseg_0236 Cseg_0026
Cseg_0236 Cseg_0342
Cseg_0236 Cseg_0343
Cseg_0237 Cseg_0234
Cseg_0237 Cseg_0235
Cseg_0237 Cseg_1663
Cseg_0237 Cseg_1512
Cseg_0237 Cseg_0345
Cseg_0237 Cseg_0344
Cseg_0237 Cseg_0239
Cseg_0237 Cseg_0026
Cseg_0237 Cseg_0236
Cseg_0237 Cseg_0342
Cseg_0237 Cseg_0343
Cseg_0239 Cseg_0234
Cseg_0239 Cseg_0026
Cseg_0239 Cseg_0344
Cseg_0239 Cseg_0236
Cseg_0239 Cseg_0342
Cseg_0239 Cseg_0343
Cseg_0239 Cseg_0235
Cseg_0239 Cseg_0237
Cseg_0239 Cseg_1663
Cseg_0239 Cseg_0345
Cseg_0250 Cseg_3705
Cseg_0250 Cseg_0618
Cseg_0250 Cseg_2663
Cseg_0250 Cseg_3704
Cseg_0250 Cseg_4105
Cseg_0250 Cseg_0620
Cseg_0250 Cseg_3424
Cseg_0250 Cseg_0619
Cseg_0250 Cseg_2383
Cseg_0250 Cseg_3891
Cseg_0250 Cseg_3344
Cseg_0250 Cseg_1431
Cseg_0251 Cseg_2257
Cseg_0251 Cseg_3881
Cseg_0251 Cseg_0084
Cseg_0251 Cseg_4092
Cseg_0251 Cseg_3842
Cseg_0251 Cseg_0816
Cseg_0251 Cseg_4091
Cseg_0251 Cseg_0823
Cseg_0263 Cseg_0631
Cseg_0263 Cseg_3843
Cseg_0263 Cseg_1307
Cseg_0264 Cseg_0581
Cseg_0264 Cseg_1720
Cseg_0264 Cseg_0982
Cseg_0264 Cseg_0759
Cseg_0264 Cseg_4065
Cseg_0264 Cseg_2668
Cseg_0264 Cseg_4045
Cseg_0264 Cseg_0813
Cseg_0264 Cseg_2346
Cseg_0264 Cseg_2140
Cseg_0274 Cseg_4112
Cseg_0274 Cseg_4091
Cseg_0274 Cseg_2468
Cseg_0274 Cseg_0816
Cseg_0274 Cseg_0411
Cseg_0274 Cseg_0084
Cseg_0274 Cseg_1905
Cseg_0274 Cseg_2288
Cseg_0274 Cseg_1459
Cseg_0274 Cseg_3433
Cseg_0274 Cseg_0823
Cseg_0274 Cseg_1258
Cseg_0274 Cseg_2257
Cseg_0274 Cseg_4092
Cseg_0274 Cseg_0565
Cseg_0274 Cseg_3881
Cseg_0274 Cseg_3163
Cseg_0274 Cseg_1907
Cseg_0274 Cseg_4017
Cseg_0274 Cseg_3449
Cseg_0283 Cseg_1883
Cseg_0283 Cseg_0537
Cseg_0283 Cseg_2282
Cseg_0283 Cseg_0284
Cseg_0283 Cseg_1885
Cseg_0283 Cseg_1886
Cseg_0283 Cseg_0288
Cseg_0283 Cseg_1884
Cseg_0283 Cseg_2281
Cseg_0284 Cseg_1883
Cseg_0284 Cseg_0537
Cseg_0284 Cseg_2282
Cseg_0284 Cseg_1885
Cseg_0284 Cseg_0288
Cseg_0284 Cseg_1886
Cseg_0284 Cseg_0283
Cseg_0284 Cseg_1884
Cseg_0284 Cseg_2281
Cseg_0285 Cseg_4226
Cseg_0288 Cseg_1885
Cseg_0288 Cseg_1884
Cseg_0288 Cseg_1883
Cseg_0288 Cseg_0537
Cseg_0288 Cseg_2282
Cseg_0288 Cseg_0283
Cseg_0288 Cseg_2281
Cseg_0288 Cseg_1886
Cseg_0288 Cseg_0284
Cseg_0294 Cseg_2141
Cseg_0299 Cseg_1117
Cseg_0299 Cseg_2345
Cseg_0299 Cseg_3353
Cseg_0299 Cseg_3787
Cseg_0299 Cseg_3645
Cseg_0299 Cseg_4266
Cseg_0299 Cseg_1964
Cseg_0299 Cseg_2819
Cseg_0299 Cseg_3073
Cseg_0299 Cseg_1652
Cseg_0299 Cseg_0375
Cseg_0299 Cseg_3348
Cseg_0299 Cseg_2142
Cseg_0309 Cseg_0532
Cseg_0309 Cseg_2349
Cseg_0309 Cseg_3945
Cseg_0309 Cseg_3946
Cseg_0309 Cseg_2350
Cseg_0317 Cseg_0411
Cseg_0317 Cseg_2951
Cseg_0317 Cseg_1970
Cseg_0317 Cseg_4017
Cseg_0318 Cseg_2199
Cseg_0318 Cseg_2827
Cseg_0318 Cseg_2058
Cseg_0318 Cseg_4169
Cseg_0318 Cseg_2633
Cseg_0318 Cseg_1975
Cseg_0318 Cseg_4168
Cseg_0318 Cseg_2301
Cseg_0318 Cseg_2057
Cseg_0318 Cseg_4170
Cseg_0327 Cseg_0130
Cseg_0327 Cseg_1951
Cseg_0327 Cseg_4157
Cseg_0330 Cseg_0852
Cseg_0330 Cseg_1282
Cseg_0330 Cseg_1050
Cseg_0330 Cseg_1283
Cseg_0330 Cseg_1683
Cseg_0330 Cseg_1905
Cseg_0330 Cseg_0217
Cseg_0330 Cseg_1810
Cseg_0330 Cseg_0565
Cseg_0330 Cseg_2889
Cseg_0330 Cseg_3449
Cseg_0331 Cseg_0902
Cseg_0331 Cseg_1361
Cseg_0334 Cseg_3750
Cseg_0334 Cseg_3747
Cseg_0334 Cseg_4030
Cseg_0334 Cseg_3214
Cseg_0334 Cseg_0432
Cseg_0334 Cseg_3749
Cseg_0334 Cseg_0434
Cseg_0334 Cseg_3753
Cseg_0334 Cseg_4031
Cseg_0334 Cseg_3215
Cseg_0334 Cseg_3602
Cseg_0334 Cseg_3748
Cseg_0334 Cseg_0427
Cseg_0334 Cseg_0428
Cseg_0334 Cseg_0433
Cseg_0334 Cseg_3751
Cseg_0334 Cseg_3752
Cseg_0334 Cseg_3519
Cseg_0334 Cseg_0426
Cseg_0335 Cseg_1283
Cseg_0335 Cseg_0084
Cseg_0335 Cseg_2667
Cseg_0335 Cseg_4092
Cseg_0335 Cseg_1282
Cseg_0335 Cseg_0337
Cseg_0335 Cseg_2273
Cseg_0335 Cseg_1280
Cseg_0335 Cseg_0338
Cseg_0335 Cseg_2257
Cseg_0335 Cseg_3881
Cseg_0335 Cseg_4119
Cseg_0335 Cseg_0081
Cseg_0335 Cseg_1971
Cseg_0335 Cseg_1294
Cseg_0335 Cseg_0336
Cseg_0335 Cseg_0816
Cseg_0335 Cseg_3801
Cseg_0335 Cseg_4091
Cseg_0335 Cseg_1657
Cseg_0335 Cseg_0823
Cseg_0335 Cseg_3878
Cseg_0336 Cseg_4092
Cseg_0336 Cseg_0335
Cseg_0336 Cseg_0337
Cseg_0336 Cseg_0823
Cseg_0336 Cseg_1657
Cseg_0336 Cseg_0816
Cseg_0336 Cseg_4091
Cseg_0336 Cseg_3801
Cseg_0336 Cseg_1971
Cseg_0336 Cseg_0338
Cseg_0336 Cseg_2257
Cseg_0336 Cseg_3881
Cseg_0336 Cseg_0084
Cseg_0337 Cseg_3881
Cseg_0337 Cseg_0338
Cseg_0337 Cseg_2257
Cseg_0337 Cseg_1655
Cseg_0337 Cseg_0084
Cseg_0337 Cseg_0816
Cseg_0337 Cseg_0336
Cseg_0337 Cseg_4091
Cseg_0337 Cseg_3801
Cseg_0337 Cseg_1657
Cseg_0337 Cseg_0823
Cseg_0337 Cseg_1971
Cseg_0337 Cseg_1091
Cseg_0337 Cseg_0866
Cseg_0337 Cseg_4092
Cseg_0337 Cseg_0335
Cseg_0338 Cseg_2257
Cseg_0338 Cseg_3881
Cseg_0338 Cseg_0084
Cseg_0338 Cseg_1655
Cseg_0338 Cseg_0335
Cseg_0338 Cseg_4092
Cseg_0338 Cseg_0337
Cseg_0338 Cseg_0816
Cseg_0338 Cseg_0866
Cseg_0338 Cseg_1657
Cseg_0338 Cseg_3801
Cseg_0338 Cseg_4091
Cseg_0338 Cseg_0823
Cseg_0338 Cseg_0336
Cseg_0338 Cseg_1971
Cseg_0338 Cseg_1091
Cseg_0342 Cseg_1663
Cseg_0342 Cseg_0343
Cseg_0342 Cseg_0236
Cseg_0342 Cseg_0234
Cseg_0342 Cseg_0235
Cseg_0342 Cseg_0344
Cseg_0342 Cseg_0345
Cseg_0342 Cseg_0237
Cseg_0342 Cseg_0026
Cseg_0342 Cseg_0239
Cseg_0343 Cseg_0236
Cseg_0343 Cseg_0239
Cseg_0343 Cseg_0234
Cseg_0343 Cseg_0344
Cseg_0343 Cseg_0235
Cseg_0343 Cseg_0026
Cseg_0343 Cseg_0342
Cseg_0343 Cseg_0237
Cseg_0343 Cseg_1663
Cseg_0343 Cseg_0345
Cseg_0344 Cseg_1663
Cseg_0344 Cseg_0343
