SeryN2_010100000015 SeryN2_010100014574
SeryN2_010100000075 SeryN2_010100034405
SeryN2_010100000075 SeryN2_010100022362
SeryN2_010100000075 SeryN2_010100009144
SeryN2_010100000075 SeryN2_010100034465
SeryN2_010100000075 SeryN2_010100016998
SeryN2_010100000075 SeryN2_010100007787
SeryN2_010100000075 SeryN2_010100021912
SeryN2_010100000075 SeryN2_010100036620
SeryN2_010100000075 SeryN2_010100008924
SeryN2_010100000075 SeryN2_010100034395
SeryN2_010100000075 SeryN2_010100010762
SeryN2_010100000075 SeryN2_010100034445
SeryN2_010100000075 SeryN2_010100012067
SeryN2_010100000075 SeryN2_010100003437
SeryN2_010100000075 SeryN2_010100029048
SeryN2_010100000075 SeryN2_010100036445
SeryN2_010100000075 SeryN2_010100019898
SeryN2_010100000075 SeryN2_010100008330
SeryN2_010100000075 SeryN2_010100028983
SeryN2_010100000075 SeryN2_010100000110
SeryN2_010100000075 SeryN2_010100006487
SeryN2_010100000075 SeryN2_010100015400
SeryN2_010100000075 SeryN2_010100005602
SeryN2_010100000075 SeryN2_010100012952
SeryN2_010100000075 SeryN2_010100026566
SeryN2_010100000075 SeryN2_010100022802
SeryN2_010100000075 SeryN2_010100029453
SeryN2_010100000075 SeryN2_010100022462
SeryN2_010100000075 SeryN2_010100006522
SeryN2_010100000075 SeryN2_010100034420
SeryN2_010100000075 SeryN2_010100031824
SeryN2_010100000075 SeryN2_010100022642
SeryN2_010100000075 SeryN2_010100018151
SeryN2_010100000075 SeryN2_010100034430
SeryN2_010100000075 SeryN2_010100034120
SeryN2_010100000075 SeryN2_010100014004
SeryN2_010100000075 SeryN2_010100015355
SeryN2_010100000075 SeryN2_010100000670
SeryN2_010100000085 SeryN2_010100019778
SeryN2_010100000085 SeryN2_010100018126
SeryN2_010100000085 SeryN2_010100029198
SeryN2_010100000085 SeryN2_010100018136
SeryN2_010100000085 SeryN2_010100000090
SeryN2_010100000085 SeryN2_010100021367
SeryN2_010100000085 SeryN2_010100012817
SeryN2_010100000085 SeryN2_010100029913
SeryN2_010100000085 SeryN2_010100028913
SeryN2_010100000085 SeryN2_010100012687
SeryN2_010100000085 SeryN2_010100005062
SeryN2_010100000085 SeryN2_010100028181
SeryN2_010100000085 SeryN2_010100020013
SeryN2_010100000085 SeryN2_010100029203
SeryN2_010100000085 SeryN2_010100028186
SeryN2_010100000085 SeryN2_010100018141
SeryN2_010100000085 SeryN2_010100001979
SeryN2_010100000085 SeryN2_010100001884
SeryN2_010100000085 SeryN2_010100020633
SeryN2_010100000085 SeryN2_010100034915
SeryN2_010100000085 SeryN2_010100018766
SeryN2_010100000085 SeryN2_010100018131
SeryN2_010100000085 SeryN2_010100016140
SeryN2_010100000085 SeryN2_010100012082
SeryN2_010100000085 SeryN2_010100033915
SeryN2_010100000085 SeryN2_010100000095
SeryN2_010100000085 SeryN2_010100029208
SeryN2_010100000085 SeryN2_010100012812
SeryN2_010100000085 SeryN2_010100033885
SeryN2_010100000085 SeryN2_010100012822
SeryN2_010100000085 SeryN2_010100009635
SeryN2_010100000085 SeryN2_010100001492
SeryN2_010100000090 SeryN2_010100012082
SeryN2_010100000090 SeryN2_010100016140
SeryN2_010100000090 SeryN2_010100018136
SeryN2_010100000090 SeryN2_010100012817
SeryN2_010100000090 SeryN2_010100028913
SeryN2_010100000090 SeryN2_010100012687
SeryN2_010100000090 SeryN2_010100029203
SeryN2_010100000090 SeryN2_010100028186
SeryN2_010100000090 SeryN2_010100001979
SeryN2_010100000090 SeryN2_010100001884
SeryN2_010100000090 SeryN2_010100020633
SeryN2_010100000090 SeryN2_010100034915
SeryN2_010100000090 SeryN2_010100018766
SeryN2_010100000090 SeryN2_010100018131
SeryN2_010100000090 SeryN2_010100033915
SeryN2_010100000090 SeryN2_010100021367
SeryN2_010100000090 SeryN2_010100009635
SeryN2_010100000090 SeryN2_010100012822
SeryN2_010100000090 SeryN2_010100029198
SeryN2_010100000090 SeryN2_010100001492
SeryN2_010100000090 SeryN2_010100019778
SeryN2_010100000090 SeryN2_010100018126
SeryN2_010100000090 SeryN2_010100029913
SeryN2_010100000090 SeryN2_010100000085
SeryN2_010100000090 SeryN2_010100020013
SeryN2_010100000090 SeryN2_010100005062
SeryN2_010100000090 SeryN2_010100028181
SeryN2_010100000090 SeryN2_010100018141
SeryN2_010100000090 SeryN2_010100000095
SeryN2_010100000090 SeryN2_010100029208
SeryN2_010100000090 SeryN2_010100033885
SeryN2_010100000090 SeryN2_010100012812
SeryN2_010100000095 SeryN2_010100018131
SeryN2_010100000095 SeryN2_010100016140
SeryN2_010100000095 SeryN2_010100012082
SeryN2_010100000095 SeryN2_010100033915
SeryN2_010100000095 SeryN2_010100009635
SeryN2_010100000095 SeryN2_010100012822
SeryN2_010100000095 SeryN2_010100001492
SeryN2_010100000095 SeryN2_010100029198
SeryN2_010100000095 SeryN2_010100000090
SeryN2_010100000095 SeryN2_010100019778
SeryN2_010100000095 SeryN2_010100018126
SeryN2_010100000095 SeryN2_010100029913
SeryN2_010100000095 SeryN2_010100000085
SeryN2_010100000095 SeryN2_010100021367
SeryN2_010100000095 SeryN2_010100028181
SeryN2_010100000095 SeryN2_010100005062
SeryN2_010100000095 SeryN2_010100020013
SeryN2_010100000095 SeryN2_010100018141
SeryN2_010100000095 SeryN2_010100033885
SeryN2_010100000095 SeryN2_010100029208
SeryN2_010100000095 SeryN2_010100012812
SeryN2_010100000095 SeryN2_010100018136
SeryN2_010100000095 SeryN2_010100012817
SeryN2_010100000095 SeryN2_010100028913
SeryN2_010100000095 SeryN2_010100012687
SeryN2_010100000095 SeryN2_010100018766
SeryN2_010100000095 SeryN2_010100034915
SeryN2_010100000095 SeryN2_010100029203
SeryN2_010100000095 SeryN2_010100001884
SeryN2_010100000095 SeryN2_010100020633
SeryN2_010100000095 SeryN2_010100001979
SeryN2_010100000095 SeryN2_010100028186
SeryN2_010100000100 SeryN2_010100000140
SeryN2_010100000100 SeryN2_010100034905
SeryN2_010100000100 SeryN2_010100015655
SeryN2_010100000100 SeryN2_010100014554
SeryN2_010100000100 SeryN2_010100018971
SeryN2_010100000100 SeryN2_010100019236
SeryN2_010100000100 SeryN2_010100003502
SeryN2_010100000100 SeryN2_010100033425
SeryN2_010100000110 SeryN2_010100029048
SeryN2_010100000110 SeryN2_010100011232
SeryN2_010100000110 SeryN2_010100026921
SeryN2_010100000110 SeryN2_010100005602
SeryN2_010100000110 SeryN2_010100036635
SeryN2_010100000110 SeryN2_010100022802
SeryN2_010100000110 SeryN2_010100022642
SeryN2_010100000110 SeryN2_010100016998
SeryN2_010100000110 SeryN2_010100036620
SeryN2_010100000110 SeryN2_010100015405
SeryN2_010100000110 SeryN2_010100012062
SeryN2_010100000110 SeryN2_010100034420
SeryN2_010100000110 SeryN2_010100033720
SeryN2_010100000110 SeryN2_010100015855
SeryN2_010100000110 SeryN2_010100021957
SeryN2_010100000110 SeryN2_010100006487
SeryN2_010100000110 SeryN2_010100006522
SeryN2_010100000110 SeryN2_010100017003
SeryN2_010100000110 SeryN2_010100023999
SeryN2_010100000110 SeryN2_010100019898
SeryN2_010100000110 SeryN2_010100001267
SeryN2_010100000110 SeryN2_010100031824
SeryN2_010100000110 SeryN2_010100024759
SeryN2_010100000110 SeryN2_010100029453
SeryN2_010100000110 SeryN2_010100019473
SeryN2_010100000110 SeryN2_010100034430
SeryN2_010100000110 SeryN2_010100014004
SeryN2_010100000110 SeryN2_010100037225
SeryN2_010100000110 SeryN2_010100008924
SeryN2_010100000110 SeryN2_010100012067
SeryN2_010100000110 SeryN2_010100026951
SeryN2_010100000110 SeryN2_010100000075
SeryN2_010100000140 SeryN2_010100011717
SeryN2_010100000140 SeryN2_010100000100
SeryN2_010100000155 SeryN2_010100018341
SeryN2_010100000155 SeryN2_010100021642
SeryN2_010100000165 SeryN2_010100034405
SeryN2_010100000165 SeryN2_010100017555
SeryN2_010100000165 SeryN2_010100000180
SeryN2_010100000165 SeryN2_010100030283
SeryN2_010100000165 SeryN2_010100000185
SeryN2_010100000165 SeryN2_010100000170
SeryN2_010100000165 SeryN2_010100000175
SeryN2_010100000165 SeryN2_010100000195
SeryN2_010100000170 SeryN2_010100017555
SeryN2_010100000170 SeryN2_010100030283
SeryN2_010100000170 SeryN2_010100000165
SeryN2_010100000170 SeryN2_010100000180
SeryN2_010100000170 SeryN2_010100000175
SeryN2_010100000170 SeryN2_010100000195
SeryN2_010100000170 SeryN2_010100000185
SeryN2_010100000170 SeryN2_010100034405
SeryN2_010100000175 SeryN2_010100000170
SeryN2_010100000175 SeryN2_010100017555
SeryN2_010100000175 SeryN2_010100030283
SeryN2_010100000175 SeryN2_010100000185
SeryN2_010100000175 SeryN2_010100000180
SeryN2_010100000175 SeryN2_010100000195
SeryN2_010100000175 SeryN2_010100000165
SeryN2_010100000175 SeryN2_010100034405
SeryN2_010100000180 SeryN2_010100030283
SeryN2_010100000180 SeryN2_010100000185
SeryN2_010100000180 SeryN2_010100000170
SeryN2_010100000180 SeryN2_010100017555
SeryN2_010100000180 SeryN2_010100000195
SeryN2_010100000180 SeryN2_010100000165
SeryN2_010100000180 SeryN2_010100000175
SeryN2_010100000180 SeryN2_010100034405
SeryN2_010100000185 SeryN2_010100030283
SeryN2_010100000185 SeryN2_010100000170
SeryN2_010100000185 SeryN2_010100017555
SeryN2_010100000185 SeryN2_010100000195
SeryN2_010100000185 SeryN2_010100000180
SeryN2_010100000185 SeryN2_010100000165
SeryN2_010100000185 SeryN2_010100000175
SeryN2_010100000185 SeryN2_010100034405
SeryN2_010100000190 SeryN2_010100013192
SeryN2_010100000190 SeryN2_010100022462
SeryN2_010100000190 SeryN2_010100034150
SeryN2_010100000190 SeryN2_010100018201
SeryN2_010100000190 SeryN2_010100011232
SeryN2_010100000190 SeryN2_010100026921
SeryN2_010100000190 SeryN2_010100006122
SeryN2_010100000190 SeryN2_010100030918
SeryN2_010100000190 SeryN2_010100018436
SeryN2_010100000190 SeryN2_010100029048
SeryN2_010100000190 SeryN2_010100032453
SeryN2_010100000190 SeryN2_010100028873
SeryN2_010100000190 SeryN2_010100022712
SeryN2_010100000190 SeryN2_010100022737
SeryN2_010100000190 SeryN2_010100015405
SeryN2_010100000190 SeryN2_010100036620
SeryN2_010100000190 SeryN2_010100022362
SeryN2_010100000190 SeryN2_010100000695
SeryN2_010100000190 SeryN2_010100030283
SeryN2_010100000190 SeryN2_010100000890
SeryN2_010100000190 SeryN2_010100012947
SeryN2_010100000190 SeryN2_010100026541
SeryN2_010100000190 SeryN2_010100015860
SeryN2_010100000190 SeryN2_010100034930
SeryN2_010100000190 SeryN2_010100001332
SeryN2_010100000190 SeryN2_010100000075
SeryN2_010100000190 SeryN2_010100014379
SeryN2_010100000190 SeryN2_010100000395
SeryN2_010100000190 SeryN2_010100034420
SeryN2_010100000190 SeryN2_010100032198
SeryN2_010100000190 SeryN2_010100020443
SeryN2_010100000190 SeryN2_010100019673
SeryN2_010100000190 SeryN2_010100035660
SeryN2_010100000190 SeryN2_010100021912
SeryN2_010100000190 SeryN2_010100009144
SeryN2_010100000190 SeryN2_010100026951
SeryN2_010100000190 SeryN2_010100009795
SeryN2_010100000190 SeryN2_010100036940
SeryN2_010100000190 SeryN2_010100014614
SeryN2_010100000190 SeryN2_010100015240
SeryN2_010100000190 SeryN2_010100033620
SeryN2_010100000190 SeryN2_010100018151
SeryN2_010100000190 SeryN2_010100000670
SeryN2_010100000190 SeryN2_010100016998
SeryN2_010100000190 SeryN2_010100000550
SeryN2_010100000190 SeryN2_010100025401
SeryN2_010100000190 SeryN2_010100024759
SeryN2_010100000190 SeryN2_010100017926
SeryN2_010100000190 SeryN2_010100001352
SeryN2_010100000190 SeryN2_010100017003
SeryN2_010100000190 SeryN2_010100003202
SeryN2_010100000190 SeryN2_010100023999
SeryN2_010100000190 SeryN2_010100010702
SeryN2_010100000190 SeryN2_010100027456
SeryN2_010100000190 SeryN2_010100006032
SeryN2_010100000190 SeryN2_010100030513
SeryN2_010100000190 SeryN2_010100019898
SeryN2_010100000190 SeryN2_010100005622
SeryN2_010100000190 SeryN2_010100030923
SeryN2_010100000190 SeryN2_010100002079
SeryN2_010100000190 SeryN2_010100034725
SeryN2_010100000190 SeryN2_010100032213
SeryN2_010100000190 SeryN2_010100021952
SeryN2_010100000190 SeryN2_010100000320
SeryN2_010100000190 SeryN2_010100023088
SeryN2_010100000190 SeryN2_010100026271
SeryN2_010100000190 SeryN2_010100017008
SeryN2_010100000190 SeryN2_010100028648
SeryN2_010100000190 SeryN2_010100003437
SeryN2_010100000190 SeryN2_010100013187
SeryN2_010100000190 SeryN2_010100012957
SeryN2_010100000190 SeryN2_010100022702
SeryN2_010100000190 SeryN2_010100010787
SeryN2_010100000190 SeryN2_010100012072
SeryN2_010100000190 SeryN2_010100032203
SeryN2_010100000190 SeryN2_010100002109
SeryN2_010100000190 SeryN2_010100023012
SeryN2_010100000190 SeryN2_010100026321
SeryN2_010100000190 SeryN2_010100020653
SeryN2_010100000190 SeryN2_010100029038
SeryN2_010100000190 SeryN2_010100021947
SeryN2_010100000190 SeryN2_010100019473
SeryN2_010100000190 SeryN2_010100026791
SeryN2_010100000190 SeryN2_010100019146
SeryN2_010100000190 SeryN2_010100029033
SeryN2_010100000190 SeryN2_010100034405
SeryN2_010100000190 SeryN2_010100034445
SeryN2_010100000190 SeryN2_010100012952
SeryN2_010100000190 SeryN2_010100028643
SeryN2_010100000190 SeryN2_010100034430
SeryN2_010100000190 SeryN2_010100013999
SeryN2_010100000190 SeryN2_010100031220
SeryN2_010100000190 SeryN2_010100000070
SeryN2_010100000195 SeryN2_010100000165
SeryN2_010100000195 SeryN2_010100026886
SeryN2_010100000195 SeryN2_010100017555
SeryN2_010100000195 SeryN2_010100000170
SeryN2_010100000195 SeryN2_010100029408
SeryN2_010100000195 SeryN2_010100000185
SeryN2_010100000195 SeryN2_010100000175
SeryN2_010100000195 SeryN2_010100000180
SeryN2_010100000195 SeryN2_010100029413
SeryN2_010100000195 SeryN2_010100035555
SeryN2_010100000210 SeryN2_010100007177
SeryN2_010100000210 SeryN2_010100003267
SeryN2_010100000210 SeryN2_010100007172
SeryN2_010100000210 SeryN2_010100008087
SeryN2_010100000210 SeryN2_010100013864
SeryN2_010100000210 SeryN2_010100035095
SeryN2_010100000210 SeryN2_010100001147
SeryN2_010100000210 SeryN2_010100023298
SeryN2_010100000210 SeryN2_010100003277
SeryN2_010100000210 SeryN2_010100026636
SeryN2_010100000210 SeryN2_010100010837
SeryN2_010100000260 SeryN2_010100023403
SeryN2_010100000260 SeryN2_010100023393
SeryN2_010100000260 SeryN2_010100000265
SeryN2_010100000260 SeryN2_010100023398
SeryN2_010100000260 SeryN2_010100000270
SeryN2_010100000260 SeryN2_010100027201
SeryN2_010100000260 SeryN2_010100000280
SeryN2_010100000265 SeryN2_010100027201
SeryN2_010100000265 SeryN2_010100000280
SeryN2_010100000265 SeryN2_010100023403
SeryN2_010100000265 SeryN2_010100000260
SeryN2_010100000265 SeryN2_010100023398
SeryN2_010100000265 SeryN2_010100000270
SeryN2_010100000270 SeryN2_010100023403
SeryN2_010100000270 SeryN2_010100023393
SeryN2_010100000270 SeryN2_010100000265
SeryN2_010100000270 SeryN2_010100014679
SeryN2_010100000270 SeryN2_010100000260
SeryN2_010100000270 SeryN2_010100023398
SeryN2_010100000270 SeryN2_010100035205
SeryN2_010100000270 SeryN2_010100000280
SeryN2_010100000280 SeryN2_010100023403
SeryN2_010100000280 SeryN2_010100023393
SeryN2_010100000280 SeryN2_010100000265
SeryN2_010100000280 SeryN2_010100000260
SeryN2_010100000280 SeryN2_010100023398
SeryN2_010100000280 SeryN2_010100000270
SeryN2_010100000280 SeryN2_010100027201
SeryN2_010100000320 SeryN2_010100008924
SeryN2_010100000320 SeryN2_010100012067
SeryN2_010100000320 SeryN2_010100022642
SeryN2_010100000320 SeryN2_010100020058
SeryN2_010100000320 SeryN2_010100022417
SeryN2_010100000320 SeryN2_010100012062
SeryN2_010100000320 SeryN2_010100019513
SeryN2_010100000320 SeryN2_010100030098
SeryN2_010100000320 SeryN2_010100006522
SeryN2_010100000320 SeryN2_010100017403
SeryN2_010100000320 SeryN2_010100020658
SeryN2_010100000320 SeryN2_010100025194
SeryN2_010100000320 SeryN2_010100035650
SeryN2_010100000320 SeryN2_010100000190
SeryN2_010100000320 SeryN2_010100001654
SeryN2_010100000320 SeryN2_010100033720
SeryN2_010100000335 SeryN2_010100026886
SeryN2_010100000335 SeryN2_010100029408
SeryN2_010100000335 SeryN2_010100018186
SeryN2_010100000335 SeryN2_010100028166
SeryN2_010100000335 SeryN2_010100018191
SeryN2_010100000335 SeryN2_010100000340
SeryN2_010100000335 SeryN2_010100028171
SeryN2_010100000335 SeryN2_010100029413
SeryN2_010100000340 SeryN2_010100018191
SeryN2_010100000340 SeryN2_010100028171
SeryN2_010100000340 SeryN2_010100026886
SeryN2_010100000340 SeryN2_010100029408
SeryN2_010100000340 SeryN2_010100028166
SeryN2_010100000340 SeryN2_010100018186
SeryN2_010100000340 SeryN2_010100029413
SeryN2_010100000340 SeryN2_010100000335
SeryN2_010100000345 SeryN2_010100000350
SeryN2_010100000345 SeryN2_010100008695
SeryN2_010100000345 SeryN2_010100018051
SeryN2_010100000345 SeryN2_010100000355
SeryN2_010100000350 SeryN2_010100008695
SeryN2_010100000350 SeryN2_010100018051
SeryN2_010100000350 SeryN2_010100000345
SeryN2_010100000350 SeryN2_010100000355
SeryN2_010100000355 SeryN2_010100032038
SeryN2_010100000355 SeryN2_010100000345
SeryN2_010100000355 SeryN2_010100000365
SeryN2_010100000355 SeryN2_010100030868
SeryN2_010100000355 SeryN2_010100000350
SeryN2_010100000360 SeryN2_010100032038
SeryN2_010100000360 SeryN2_010100000365
SeryN2_010100000360 SeryN2_010100030868
SeryN2_010100000360 SeryN2_010100002997
SeryN2_010100000365 SeryN2_010100000360
SeryN2_010100000365 SeryN2_010100032038
SeryN2_010100000365 SeryN2_010100002997
SeryN2_010100000365 SeryN2_010100000355
SeryN2_010100000395 SeryN2_010100013192
SeryN2_010100000395 SeryN2_010100013757
SeryN2_010100000395 SeryN2_010100022357
SeryN2_010100000395 SeryN2_010100000700
SeryN2_010100000395 SeryN2_010100026916
SeryN2_010100000395 SeryN2_010100006122
SeryN2_010100000395 SeryN2_010100026566
SeryN2_010100000395 SeryN2_010100018151
SeryN2_010100000395 SeryN2_010100034120
SeryN2_010100000395 SeryN2_010100026791
SeryN2_010100000395 SeryN2_010100015355
SeryN2_010100000395 SeryN2_010100000670
SeryN2_010100000395 SeryN2_010100021947
SeryN2_010100000395 SeryN2_010100015405
SeryN2_010100000395 SeryN2_010100014134
SeryN2_010100000395 SeryN2_010100032213
SeryN2_010100000395 SeryN2_010100018036
SeryN2_010100000395 SeryN2_010100033050
SeryN2_010100000395 SeryN2_010100034445
SeryN2_010100000395 SeryN2_010100022362
SeryN2_010100000395 SeryN2_010100034405
SeryN2_010100000395 SeryN2_010100007787
SeryN2_010100000395 SeryN2_010100032453
SeryN2_010100000395 SeryN2_010100030283
SeryN2_010100000395 SeryN2_010100028983
SeryN2_010100000395 SeryN2_010100022997
SeryN2_010100000395 SeryN2_010100003437
SeryN2_010100000395 SeryN2_010100025401
SeryN2_010100000395 SeryN2_010100000530
SeryN2_010100000395 SeryN2_010100022462
SeryN2_010100000395 SeryN2_010100012952
SeryN2_010100000395 SeryN2_010100000190
SeryN2_010100000395 SeryN2_010100019728
SeryN2_010100000395 SeryN2_010100022702
SeryN2_010100000395 SeryN2_010100007272
SeryN2_010100000395 SeryN2_010100010787
SeryN2_010100000395 SeryN2_010100021912
SeryN2_010100000395 SeryN2_010100009144
SeryN2_010100000395 SeryN2_010100034395
SeryN2_010100000445 SeryN2_010100006152
SeryN2_010100000445 SeryN2_010100009449
SeryN2_010100000445 SeryN2_010100011107
SeryN2_010100000445 SeryN2_010100011112
SeryN2_010100000445 SeryN2_010100005932
SeryN2_010100000445 SeryN2_010100010217
SeryN2_010100000445 SeryN2_010100000595
SeryN2_010100000445 SeryN2_010100009379
SeryN2_010100000445 SeryN2_010100012482
SeryN2_010100000445 SeryN2_010100011202
SeryN2_010100000445 SeryN2_010100009384
SeryN2_010100000445 SeryN2_010100009454
SeryN2_010100000495 SeryN2_010100035190
SeryN2_010100000495 SeryN2_010100031280
SeryN2_010100000495 SeryN2_010100000500
SeryN2_010100000495 SeryN2_010100036535
SeryN2_010100000495 SeryN2_010100036540
SeryN2_010100000495 SeryN2_010100031275
SeryN2_010100000495 SeryN2_010100031270
SeryN2_010100000500 SeryN2_010100031280
SeryN2_010100000500 SeryN2_010100035190
SeryN2_010100000500 SeryN2_010100036535
SeryN2_010100000500 SeryN2_010100000495
SeryN2_010100000500 SeryN2_010100031275
SeryN2_010100000500 SeryN2_010100036540
SeryN2_010100000500 SeryN2_010100031270
SeryN2_010100000530 SeryN2_010100030558
SeryN2_010100000530 SeryN2_010100029033
SeryN2_010100000530 SeryN2_010100034430
SeryN2_010100000530 SeryN2_010100031220
SeryN2_010100000530 SeryN2_010100013999
SeryN2_010100000530 SeryN2_010100000070
SeryN2_010100000530 SeryN2_010100018201
SeryN2_010100000530 SeryN2_010100026921
SeryN2_010100000530 SeryN2_010100030918
SeryN2_010100000530 SeryN2_010100029048
SeryN2_010100000530 SeryN2_010100007272
SeryN2_010100000530 SeryN2_010100036620
SeryN2_010100000530 SeryN2_010100008825
SeryN2_010100000530 SeryN2_010100012947
SeryN2_010100000530 SeryN2_010100033120
SeryN2_010100000530 SeryN2_010100015860
SeryN2_010100000530 SeryN2_010100014379
SeryN2_010100000530 SeryN2_010100000395
SeryN2_010100000530 SeryN2_010100026541
SeryN2_010100000530 SeryN2_010100034420
SeryN2_010100000530 SeryN2_010100033965
SeryN2_010100000530 SeryN2_010100000075
SeryN2_010100000530 SeryN2_010100026951
SeryN2_010100000530 SeryN2_010100009795
SeryN2_010100000530 SeryN2_010100014614
SeryN2_010100000530 SeryN2_010100000550
SeryN2_010100000530 SeryN2_010100000875
SeryN2_010100000530 SeryN2_010100028983
SeryN2_010100000530 SeryN2_010100017003
SeryN2_010100000530 SeryN2_010100001352
SeryN2_010100000530 SeryN2_010100023999
SeryN2_010100000530 SeryN2_010100027456
SeryN2_010100000530 SeryN2_010100010702
SeryN2_010100000530 SeryN2_010100000700
SeryN2_010100000530 SeryN2_010100011097
SeryN2_010100000530 SeryN2_010100006032
SeryN2_010100000530 SeryN2_010100007787
SeryN2_010100000530 SeryN2_010100021952
SeryN2_010100000530 SeryN2_010100018036
SeryN2_010100000530 SeryN2_010100017926
SeryN2_010100000530 SeryN2_010100013187
SeryN2_010100000530 SeryN2_010100013757
SeryN2_010100000530 SeryN2_010100029038
SeryN2_010100000530 SeryN2_010100019473
SeryN2_010100000550 SeryN2_010100007272
SeryN2_010100000550 SeryN2_010100000670
SeryN2_010100000550 SeryN2_010100032213
SeryN2_010100000550 SeryN2_010100012952
SeryN2_010100000550 SeryN2_010100032453
SeryN2_010100000550 SeryN2_010100013757
SeryN2_010100000550 SeryN2_010100030283
SeryN2_010100000550 SeryN2_010100022997
SeryN2_010100000550 SeryN2_010100013192
SeryN2_010100000550 SeryN2_010100022357
SeryN2_010100000550 SeryN2_010100025401
SeryN2_010100000550 SeryN2_010100000700
SeryN2_010100000550 SeryN2_010100026916
SeryN2_010100000550 SeryN2_010100028983
SeryN2_010100000550 SeryN2_010100003437
SeryN2_010100000550 SeryN2_010100006122
SeryN2_010100000550 SeryN2_010100026566
SeryN2_010100000550 SeryN2_010100019728
SeryN2_010100000550 SeryN2_010100014134
SeryN2_010100000550 SeryN2_010100015355
SeryN2_010100000550 SeryN2_010100018151
SeryN2_010100000550 SeryN2_010100022462
