ALO_00045 ALO_14412
ALO_01414 ALO_09864
ALO_01414 ALO_07908
ALO_01414 ALO_06378
ALO_01414 ALO_05645
ALO_01414 ALO_21424
ALO_01444 ALO_04081
ALO_01539 ALO_17366
ALO_01649 ALO_09294
ALO_01709 ALO_10399
ALO_01709 ALO_04578
ALO_01709 ALO_02656
ALO_01744 ALO_14567
ALO_01744 ALO_02666
ALO_01744 ALO_21042
ALO_01744 ALO_07423
ALO_01744 ALO_19777
ALO_01919 ALO_00420
ALO_01919 ALO_18857
ALO_01919 ALO_18837
ALO_01919 ALO_18255
ALO_01919 ALO_07173
ALO_01919 ALO_15197
ALO_02191 ALO_15977
ALO_02191 ALO_07243
ALO_02356 ALO_04743
ALO_02406 ALO_02426
ALO_02411 ALO_08600
ALO_02416 ALO_00680
ALO_02416 ALO_06398
ALO_02416 ALO_08600
ALO_02416 ALO_02426
ALO_02426 ALO_02416
ALO_02426 ALO_02406
ALO_02516 ALO_16582
ALO_02516 ALO_21696
ALO_02521 ALO_16582
ALO_02521 ALO_21696
ALO_02521 ALO_02526
ALO_02526 ALO_08285
ALO_02526 ALO_02541
ALO_02526 ALO_02531
ALO_02526 ALO_02521
ALO_02531 ALO_02526
ALO_02531 ALO_02536
ALO_02536 ALO_02541
ALO_02536 ALO_02531
ALO_02536 ALO_02546
ALO_02541 ALO_02526
ALO_02541 ALO_02536
ALO_02546 ALO_02536
ALO_02576 ALO_19717
ALO_02576 ALO_02926
ALO_02651 ALO_04286
ALO_02656 ALO_21806
ALO_02656 ALO_06783
ALO_02656 ALO_01709
ALO_02666 ALO_09369
ALO_02666 ALO_01744
ALO_02881 ALO_03801
ALO_02881 ALO_17686
ALO_02911 ALO_19392
ALO_02911 ALO_20617
ALO_02911 ALO_10609
ALO_02926 ALO_02576
ALO_02926 ALO_19717
ALO_02956 ALO_17686
ALO_02956 ALO_03801
ALO_02981 ALO_02991
ALO_02991 ALO_02981
ALO_03016 ALO_21314
ALO_03016 ALO_17231
ALO_03091 ALO_08590
ALO_03091 ALO_09474
ALO_03096 ALO_08590
ALO_03096 ALO_09474
ALO_03101 ALO_08590
ALO_03206 ALO_13159
ALO_03206 ALO_17296
ALO_03206 ALO_14442
ALO_03244 ALO_01190
ALO_03301 ALO_07263
ALO_03301 ALO_21856
ALO_03301 ALO_21861
ALO_03301 ALO_07268
ALO_03311 ALO_21856
ALO_03311 ALO_21861
ALO_03311 ALO_07268
ALO_03311 ALO_07263
ALO_03331 ALO_18857
ALO_03331 ALO_18837
ALO_03331 ALO_03341
ALO_03341 ALO_18822
ALO_03341 ALO_09484
ALO_03341 ALO_03331
ALO_03361 ALO_13174
ALO_03361 ALO_11734
ALO_03361 ALO_14777
ALO_03366 ALO_15982
ALO_03366 ALO_03371
ALO_03366 ALO_13025
ALO_03371 ALO_15982
ALO_03371 ALO_03366
ALO_03371 ALO_00110
ALO_03371 ALO_01359
ALO_03371 ALO_03376
ALO_03376 ALO_01369
ALO_03376 ALO_00115
ALO_03376 ALO_01354
ALO_03376 ALO_03371
ALO_03376 ALO_13080
ALO_03376 ALO_13025
ALO_03376 ALO_01085
ALO_03376 ALO_01080
ALO_03376 ALO_13159
ALO_03376 ALO_03391
ALO_03381 ALO_03396
ALO_03381 ALO_03391
ALO_03386 ALO_03396
ALO_03386 ALO_03391
ALO_03391 ALO_03376
ALO_03391 ALO_03381
ALO_03391 ALO_00110
ALO_03391 ALO_13804
ALO_03391 ALO_01359
ALO_03391 ALO_03386
ALO_03396 ALO_13804
ALO_03396 ALO_03386
ALO_03396 ALO_03381
ALO_03401 ALO_17686
ALO_03401 ALO_03801
ALO_03506 ALO_09959
ALO_03506 ALO_09969
ALO_03506 ALO_09939
ALO_03506 ALO_09949
ALO_03506 ALO_09964
ALO_03506 ALO_09974
ALO_03506 ALO_01190
ALO_03506 ALO_09954
ALO_03776 ALO_17686
ALO_03776 ALO_03801
ALO_03801 ALO_05815
ALO_03801 ALO_13639
ALO_03801 ALO_14422
ALO_03801 ALO_07653
ALO_03801 ALO_20382
ALO_03801 ALO_02956
ALO_03801 ALO_02881
ALO_03801 ALO_04383
ALO_03801 ALO_15327
ALO_03801 ALO_09619
ALO_03801 ALO_20952
ALO_03801 ALO_05805
ALO_03801 ALO_07623
ALO_03801 ALO_03776
ALO_03801 ALO_07973
ALO_03801 ALO_09469
ALO_03801 ALO_04316
ALO_03801 ALO_16951
ALO_03801 ALO_03401
ALO_03801 ALO_20127
ALO_03821 ALO_11024
ALO_03821 ALO_11039
ALO_03821 ALO_03826
ALO_03821 ALO_11034
ALO_03821 ALO_11029
ALO_03826 ALO_11024
ALO_03826 ALO_03821
ALO_03826 ALO_11039
ALO_03826 ALO_11034
ALO_03826 ALO_11029
ALO_03926 ALO_21861
ALO_03926 ALO_07263
ALO_03926 ALO_07268
ALO_03926 ALO_21856
ALO_03941 ALO_07268
ALO_03941 ALO_21861
ALO_03941 ALO_21856
ALO_03941 ALO_07263
ALO_04066 ALO_17231
ALO_04081 ALO_01444
ALO_04081 ALO_14857
ALO_04081 ALO_16417
ALO_04081 ALO_16826
ALO_04081 ALO_11394
ALO_04081 ALO_20497
ALO_04096 ALO_16432
ALO_04186 ALO_08068
ALO_04186 ALO_13075
ALO_04226 ALO_01115
ALO_04286 ALO_02651
ALO_04316 ALO_03801
ALO_04316 ALO_17686
ALO_04383 ALO_03801
ALO_04383 ALO_17686
ALO_04403 ALO_20117
ALO_04403 ALO_20102
ALO_04403 ALO_20137
ALO_04403 ALO_20112
ALO_04578 ALO_21806
ALO_04578 ALO_06783
ALO_04578 ALO_01709
ALO_04618 ALO_04623
ALO_04618 ALO_21294
ALO_04623 ALO_17026
ALO_04623 ALO_16502
ALO_04623 ALO_04618
ALO_04628 ALO_16502
ALO_04743 ALO_02356
ALO_04818 ALO_10774
ALO_04903 ALO_10959
ALO_04903 ALO_18857
ALO_04903 ALO_00840
ALO_04903 ALO_18837
ALO_04908 ALO_04913
ALO_04908 ALO_00840
ALO_04908 ALO_10959
ALO_04908 ALO_04923
ALO_04913 ALO_08108
ALO_04913 ALO_18802
ALO_04913 ALO_04908
ALO_04923 ALO_08108
ALO_04923 ALO_04908
ALO_05063 ALO_05088
ALO_05083 ALO_05088
ALO_05088 ALO_05083
ALO_05088 ALO_05063
ALO_05153 ALO_09294
ALO_05218 ALO_08917
ALO_05218 ALO_06878
ALO_05218 ALO_19832
ALO_05218 ALO_14547
ALO_05253 ALO_12975
ALO_05253 ALO_12980
ALO_05478 ALO_21626
ALO_05478 ALO_15807
ALO_05478 ALO_10434
ALO_05478 ALO_07373
ALO_05483 ALO_10914
ALO_05483 ALO_20007
ALO_05483 ALO_07583
ALO_05538 ALO_14272
ALO_05543 ALO_01070
ALO_05543 ALO_01165
ALO_05543 ALO_14512
ALO_05543 ALO_09854
ALO_05645 ALO_01414
ALO_05645 ALO_06378
ALO_05645 ALO_17136
ALO_05645 ALO_00535
ALO_05790 ALO_11704
ALO_05805 ALO_03801
ALO_05805 ALO_17686
ALO_05815 ALO_03801
ALO_05815 ALO_17686
ALO_05900 ALO_14622
ALO_05900 ALO_08897
ALO_06000 ALO_12975
ALO_06000 ALO_12980
ALO_06000 ALO_13882
ALO_06000 ALO_21359
ALO_06000 ALO_11434
ALO_06000 ALO_09609
ALO_06000 ALO_11304
ALO_06000 ALO_11309
ALO_06015 ALO_06040
ALO_06040 ALO_06015
ALO_06155 ALO_11704
ALO_06160 ALO_11704
ALO_06308 ALO_00680
ALO_06308 ALO_06398
ALO_06358 ALO_20662
ALO_06358 ALO_20857
ALO_06378 ALO_01414
ALO_06378 ALO_07908
ALO_06378 ALO_05645
ALO_06378 ALO_21424
ALO_06378 ALO_09874
ALO_06378 ALO_17136
ALO_06378 ALO_09864
ALO_06383 ALO_20662
ALO_06383 ALO_20857
ALO_06398 ALO_06308
ALO_06398 ALO_02416
ALO_06613 ALO_06838
ALO_06613 ALO_06828
ALO_06613 ALO_06783
ALO_06613 ALO_08360
ALO_06613 ALO_06833
ALO_06783 ALO_10399
ALO_06783 ALO_20402
ALO_06783 ALO_09444
ALO_06783 ALO_04578
ALO_06783 ALO_06613
ALO_06783 ALO_02656
ALO_06783 ALO_13154
ALO_06783 ALO_09374
ALO_06783 ALO_13444
ALO_06783 ALO_13474
ALO_06783 ALO_11869
ALO_06783 ALO_13449
ALO_06788 ALO_20872
ALO_06828 ALO_09444
ALO_06828 ALO_06613
ALO_06833 ALO_09444
ALO_06833 ALO_06613
ALO_06838 ALO_09444
ALO_06838 ALO_06613
ALO_06873 ALO_20882
ALO_06878 ALO_08695
ALO_06878 ALO_01165
ALO_06878 ALO_05218
ALO_06878 ALO_07588
ALO_07173 ALO_15197
ALO_07173 ALO_18255
ALO_07173 ALO_00420
ALO_07173 ALO_11204
ALO_07173 ALO_08263
ALO_07173 ALO_18857
ALO_07173 ALO_18837
ALO_07173 ALO_01919
ALO_07178 ALO_12990
ALO_07203 ALO_01165
ALO_07243 ALO_02191
ALO_07263 ALO_12965
ALO_07263 ALO_12970
ALO_07263 ALO_21409
ALO_07263 ALO_00265
ALO_07263 ALO_21324
ALO_07263 ALO_03311
ALO_07263 ALO_03926
ALO_07263 ALO_12960
ALO_07263 ALO_03301
ALO_07263 ALO_08630
ALO_07263 ALO_03941
ALO_07263 ALO_17311
ALO_07263 ALO_07888
ALO_07268 ALO_12960
ALO_07268 ALO_00265
ALO_07268 ALO_03926
ALO_07268 ALO_03311
ALO_07268 ALO_21324
ALO_07268 ALO_17311
ALO_07268 ALO_07888
ALO_07268 ALO_08630
ALO_07268 ALO_03941
ALO_07268 ALO_03301
ALO_07268 ALO_12965
ALO_07268 ALO_12970
ALO_07268 ALO_21409
ALO_07338 ALO_16532
ALO_07348 ALO_07583
ALO_07373 ALO_05478
ALO_07423 ALO_01744
ALO_07423 ALO_09369
ALO_07423 ALO_16532
ALO_07458 ALO_07473
ALO_07468 ALO_07473
ALO_07473 ALO_07458
ALO_07473 ALO_07468
ALO_07508 ALO_13514
ALO_07583 ALO_07348
ALO_07583 ALO_21047
ALO_07583 ALO_05483
ALO_07588 ALO_08917
ALO_07588 ALO_19832
ALO_07588 ALO_06878
ALO_07588 ALO_14547
ALO_07623 ALO_03801
ALO_07623 ALO_17686
ALO_07653 ALO_03801
ALO_07653 ALO_17686
ALO_07693 ALO_11704
ALO_07738 ALO_09294
ALO_07838 ALO_07843
ALO_07843 ALO_08390
ALO_07843 ALO_07838
ALO_07843 ALO_16062
ALO_07843 ALO_08380
ALO_07888 ALO_21861
ALO_07888 ALO_07263
ALO_07888 ALO_07268
ALO_07888 ALO_21856
ALO_07908 ALO_00535
ALO_07908 ALO_17136
ALO_07908 ALO_01414
ALO_07908 ALO_06378
ALO_07973 ALO_17686
ALO_07973 ALO_03801
ALO_08048 ALO_08053
ALO_08053 ALO_08048
ALO_08068 ALO_04186
ALO_08068 ALO_09614
ALO_08068 ALO_08345
ALO_08108 ALO_10959
ALO_08108 ALO_04923
ALO_08108 ALO_00840
ALO_08108 ALO_04913
ALO_08263 ALO_15197
ALO_08263 ALO_00420
ALO_08263 ALO_18857
ALO_08263 ALO_18837
ALO_08263 ALO_18255
ALO_08263 ALO_07173
ALO_08285 ALO_16582
ALO_08285 ALO_21696
ALO_08285 ALO_02526
ALO_08345 ALO_08068
ALO_08355 ALO_11314
ALO_08360 ALO_09444
ALO_08360 ALO_13474
ALO_08360 ALO_20402
ALO_08360 ALO_11869
ALO_08360 ALO_06613
ALO_08360 ALO_13449
ALO_08360 ALO_09374
ALO_08360 ALO_13444
ALO_08380 ALO_07843
ALO_08390 ALO_07843
ALO_08590 ALO_03101
ALO_08590 ALO_03096
ALO_08590 ALO_03091
ALO_08600 ALO_02416
ALO_08600 ALO_02411
ALO_08630 ALO_21861
ALO_08630 ALO_07263
ALO_08630 ALO_21856
ALO_08630 ALO_07268
ALO_08645 ALO_13474
ALO_08645 ALO_13444
ALO_08645 ALO_13449
ALO_08695 ALO_19832
ALO_08695 ALO_06878
ALO_08695 ALO_14547
ALO_08750 ALO_13514
ALO_08897 ALO_01205
ALO_08897 ALO_12049
ALO_08897 ALO_17376
ALO_08897 ALO_10364
ALO_08897 ALO_12144
ALO_08897 ALO_05900
ALO_08917 ALO_13992
ALO_08917 ALO_05218
ALO_08917 ALO_07588
ALO_09274 ALO_18380
ALO_09294 ALO_01649
ALO_09294 ALO_05153
ALO_09294 ALO_07738
ALO_09359 ALO_20662
ALO_09359 ALO_20857
ALO_09369 ALO_14567
ALO_09369 ALO_21042
ALO_09369 ALO_02666
ALO_09369 ALO_07423
ALO_09369 ALO_19777
ALO_09374 ALO_08360
ALO_09374 ALO_06783
ALO_09444 ALO_06838
ALO_09444 ALO_06828
ALO_09444 ALO_08360
ALO_09444 ALO_06783
ALO_09444 ALO_06833
ALO_09469 ALO_17686
ALO_09469 ALO_03801
ALO_09474 ALO_03096
ALO_09474 ALO_03091
ALO_09484 ALO_03341
ALO_09489 ALO_14782
ALO_09609 ALO_06000
ALO_09609 ALO_14827
ALO_09609 ALO_11574
ALO_09614 ALO_08068
ALO_09619 ALO_03801
ALO_09619 ALO_17686
ALO_09839 ALO_12990
ALO_09854 ALO_05543
ALO_09854 ALO_14247
ALO_09854 ALO_16267
ALO_09864 ALO_01414
ALO_09864 ALO_06378
ALO_09864 ALO_17136
ALO_09864 ALO_00535
ALO_09874 ALO_17136
ALO_09874 ALO_01414
ALO_09874 ALO_06378
ALO_09939 ALO_03506
ALO_09949 ALO_03506
ALO_09954 ALO_03506
ALO_09959 ALO_03506
ALO_09964 ALO_03506
ALO_09969 ALO_03506
ALO_09974 ALO_03506
ALO_09984 ALO_21254
ALO_10269 ALO_01065
ALO_10364 ALO_14622
ALO_10364 ALO_08897
ALO_10399 ALO_21806
ALO_10399 ALO_01709
ALO_10399 ALO_06783
ALO_10434 ALO_05478
ALO_10519 ALO_18822
ALO_10554 ALO_16831
ALO_10554 ALO_10559
ALO_10559 ALO_18857
ALO_10559 ALO_18837
ALO_10559 ALO_10554
ALO_10564 ALO_17601
ALO_10564 ALO_11439
ALO_10564 ALO_11589
ALO_10564 ALO_11574
ALO_10564 ALO_11594
ALO_10609 ALO_20622
ALO_10609 ALO_17496
ALO_10609 ALO_19392
ALO_10609 ALO_02911
ALO_10609 ALO_20782
ALO_10769 ALO_10774
ALO_10774 ALO_04818
ALO_10774 ALO_10769
ALO_10844 ALO_20007
ALO_10844 ALO_10914
ALO_10914 ALO_05483
ALO_10914 ALO_00380
ALO_10914 ALO_10844
ALO_10914 ALO_20002
ALO_10959 ALO_08108
ALO_10959 ALO_18857
ALO_10959 ALO_18832
ALO_10959 ALO_18827
ALO_10959 ALO_17201
ALO_10959 ALO_20447
ALO_10959 ALO_04908
ALO_10959 ALO_00560
ALO_10959 ALO_04903
ALO_10959 ALO_18837
ALO_10959 ALO_21736
ALO_10959 ALO_00845
ALO_10959 ALO_00555
ALO_10959 ALO_00565
ALO_11024 ALO_11029
ALO_11024 ALO_03821
ALO_11024 ALO_03826
ALO_11024 ALO_11034
ALO_11029 ALO_11024
ALO_11029 ALO_03821
ALO_11029 ALO_03826
ALO_11029 ALO_11039
ALO_11029 ALO_11034
ALO_11034 ALO_03821
ALO_11034 ALO_11024
ALO_11034 ALO_11039
ALO_11034 ALO_03826
ALO_11034 ALO_11029
ALO_11039 ALO_03821
ALO_11039 ALO_13174
ALO_11039 ALO_11734
ALO_11039 ALO_03826
ALO_11039 ALO_11034
ALO_11039 ALO_11029
ALO_11039 ALO_14777
ALO_11204 ALO_15197
ALO_11204 ALO_00420
ALO_11204 ALO_18857
ALO_11204 ALO_18255
ALO_11204 ALO_07173
ALO_11204 ALO_18837
ALO_11304 ALO_21359
ALO_11304 ALO_11574
ALO_11304 ALO_12226
ALO_11304 ALO_06000
ALO_11304 ALO_14827
ALO_11304 ALO_11434
ALO_11309 ALO_12226
ALO_11309 ALO_06000
ALO_11309 ALO_11434
ALO_11309 ALO_14827
ALO_11309 ALO_11574
ALO_11309 ALO_21359
ALO_11314 ALO_08355
ALO_11394 ALO_04081
ALO_11434 ALO_06000
ALO_11434 ALO_13882
ALO_11434 ALO_11574
ALO_11434 ALO_11304
ALO_11434 ALO_11309
ALO_11434 ALO_13444
ALO_11434 ALO_14827
ALO_11434 ALO_13474
ALO_11434 ALO_13449
ALO_11439 ALO_20897
ALO_11439 ALO_11574
ALO_11439 ALO_10564
ALO_11439 ALO_11579
ALO_11439 ALO_14882
ALO_11574 ALO_11439
ALO_11574 ALO_11304
ALO_11574 ALO_13882
ALO_11574 ALO_21359
ALO_11574 ALO_11309
ALO_11574 ALO_11579
ALO_11574 ALO_20897
ALO_11574 ALO_09609
ALO_11574 ALO_11434
ALO_11574 ALO_10564
ALO_11574 ALO_17601
ALO_11579 ALO_11439
ALO_11579 ALO_11589
ALO_11579 ALO_11574
ALO_11579 ALO_11594
ALO_11579 ALO_17601
ALO_11584 ALO_18255
ALO_11584 ALO_11594
ALO_11584 ALO_15197
ALO_11584 ALO_00420
ALO_11589 ALO_11579
ALO_11589 ALO_20897
ALO_11589 ALO_11594
ALO_11589 ALO_10564
ALO_11594 ALO_15197
ALO_11594 ALO_00420
ALO_11594 ALO_11589
ALO_11594 ALO_11579
ALO_11594 ALO_18255
ALO_11594 ALO_20897
ALO_11594 ALO_10564
ALO_11594 ALO_11584
ALO_11704 ALO_05790
ALO_11704 ALO_07693
ALO_11704 ALO_06160
ALO_11704 ALO_06155
ALO_11709 ALO_11714
ALO_11714 ALO_11709
ALO_11734 ALO_11039
ALO_11734 ALO_03361
ALO_11734 ALO_17516
ALO_11734 ALO_14787
ALO_11864 ALO_11874
ALO_11864 ALO_00345
ALO_11869 ALO_12044
ALO_11869 ALO_08360
ALO_11869 ALO_06783
ALO_11874 ALO_12044
ALO_11874 ALO_11864
ALO_12044 ALO_11874
ALO_12044 ALO_11869
ALO_12049 ALO_14622
ALO_12049 ALO_17361
ALO_12049 ALO_20942
ALO_12049 ALO_08897
ALO_12144 ALO_14622
ALO_12144 ALO_08897
ALO_12226 ALO_13882
ALO_12226 ALO_11304
ALO_12226 ALO_11309
ALO_12960 ALO_07263
ALO_12960 ALO_21856
ALO_12960 ALO_21861
ALO_12960 ALO_07268
ALO_12965 ALO_07263
ALO_12965 ALO_21856
ALO_12965 ALO_21861
ALO_12965 ALO_07268
ALO_12970 ALO_21861
ALO_12970 ALO_07263
ALO_12970 ALO_07268
ALO_12970 ALO_21856
ALO_12975 ALO_06000
ALO_12975 ALO_05253
ALO_12975 ALO_14827
ALO_12980 ALO_06000
ALO_12980 ALO_05253
ALO_12980 ALO_14827
ALO_12990 ALO_09839
ALO_12990 ALO_07178
ALO_12990 ALO_14637
ALO_13025 ALO_03376
ALO_13025 ALO_00110
ALO_13025 ALO_13159
ALO_13025 ALO_03366
ALO_13025 ALO_01359
ALO_13075 ALO_04186
ALO_13080 ALO_03376
ALO_13080 ALO_00110
ALO_13080 ALO_01359
ALO_13154 ALO_06783
ALO_13154 ALO_21314
ALO_13159 ALO_00110
ALO_13159 ALO_03206
ALO_13159 ALO_01359
ALO_13159 ALO_13025
ALO_13159 ALO_03376
ALO_13174 ALO_17516
ALO_13174 ALO_14787
ALO_13174 ALO_11039
ALO_13174 ALO_03361
ALO_13444 ALO_06783
ALO_13444 ALO_08360
ALO_13444 ALO_08645
ALO_13444 ALO_21359
ALO_13444 ALO_11434
ALO_13449 ALO_06783
ALO_13449 ALO_08645
ALO_13449 ALO_08360
ALO_13449 ALO_21359
ALO_13449 ALO_11434
ALO_13474 ALO_06783
ALO_13474 ALO_08645
ALO_13474 ALO_08360
ALO_13474 ALO_11434
ALO_13474 ALO_21359
ALO_13514 ALO_08750
ALO_13514 ALO_07508
ALO_13514 ALO_01040
ALO_13514 ALO_00695
ALO_13559 ALO_16996
ALO_13559 ALO_18482
ALO_13559 ALO_18477
ALO_13639 ALO_03801
ALO_13639 ALO_17686
ALO_13804 ALO_03396
ALO_13804 ALO_03391
ALO_13882 ALO_11574
ALO_13882 ALO_21359
ALO_13882 ALO_12226
ALO_13882 ALO_06000
ALO_13882 ALO_14827
ALO_13882 ALO_11434
ALO_13992 ALO_14002
ALO_13992 ALO_08917
ALO_13997 ALO_14002
ALO_14002 ALO_13992
ALO_14002 ALO_13997
ALO_14177 ALO_20662
ALO_14177 ALO_20857
ALO_14247 ALO_01070
ALO_14247 ALO_01165
ALO_14247 ALO_14512
ALO_14247 ALO_09854
ALO_14272 ALO_05538
ALO_14412 ALO_00045
ALO_14422 ALO_03801
ALO_14422 ALO_17686
ALO_14442 ALO_03206
ALO_14512 ALO_14247
ALO_14512 ALO_16267
ALO_14512 ALO_05543
ALO_14547 ALO_05218
ALO_14547 ALO_08695
ALO_14547 ALO_01165
ALO_14547 ALO_07588
ALO_14567 ALO_09369
ALO_14567 ALO_01744
ALO_14622 ALO_01205
ALO_14622 ALO_12049
ALO_14622 ALO_17376
ALO_14622 ALO_12144
ALO_14622 ALO_10364
ALO_14622 ALO_05900
ALO_14637 ALO_12990
ALO_14647 ALO_14657
ALO_14657 ALO_14647
ALO_14777 ALO_14787
ALO_14777 ALO_11039
ALO_14777 ALO_03361
ALO_14777 ALO_17516
ALO_14782 ALO_16082
ALO_14782 ALO_14787
ALO_14782 ALO_09489
ALO_14787 ALO_13174
ALO_14787 ALO_11734
ALO_14787 ALO_14782
ALO_14787 ALO_14777
ALO_14827 ALO_12975
ALO_14827 ALO_12980
ALO_14827 ALO_11434
ALO_14827 ALO_13882
ALO_14827 ALO_21359
ALO_14827 ALO_09609
ALO_14827 ALO_11304
ALO_14827 ALO_11309
ALO_14857 ALO_04081
ALO_14882 ALO_11439
ALO_14882 ALO_17601
ALO_15117 ALO_19142
ALO_15117 ALO_19592
ALO_15117 ALO_19152
ALO_15117 ALO_19147
ALO_15117 ALO_15122
ALO_15117 ALO_19602
ALO_15117 ALO_19597
ALO_15122 ALO_15117
ALO_15122 ALO_19602
ALO_15122 ALO_19592
ALO_15122 ALO_19152
ALO_15122 ALO_19142
ALO_15122 ALO_19597
ALO_15122 ALO_19147
ALO_15192 ALO_21294
ALO_15197 ALO_11204
ALO_15197 ALO_08263
ALO_15197 ALO_01919
ALO_15197 ALO_07173
ALO_15197 ALO_11594
ALO_15197 ALO_11584
ALO_15327 ALO_03801
ALO_15327 ALO_17686
ALO_15352 ALO_15367
ALO_15367 ALO_20687
ALO_15367 ALO_15352
ALO_15367 ALO_20682
ALO_15642 ALO_15657
ALO_15642 ALO_15652
ALO_15652 ALO_15642
ALO_15657 ALO_15642
ALO_15662 ALO_15677
ALO_15667 ALO_15677
ALO_15677 ALO_15662
ALO_15677 ALO_15667
ALO_15687 ALO_15697
ALO_15697 ALO_15722
ALO_15697 ALO_15687
ALO_15697 ALO_19302
ALO_15722 ALO_15697
ALO_15807 ALO_05478
ALO_15977 ALO_02191
ALO_15982 ALO_03371
ALO_15982 ALO_03366
ALO_16062 ALO_07843
ALO_16082 ALO_14782
ALO_16267 ALO_14512
ALO_16267 ALO_09854
ALO_16347 ALO_20872
ALO_16377 ALO_20942
ALO_16417 ALO_04081
ALO_16427 ALO_18472
ALO_16432 ALO_04096
ALO_16462 ALO_18472
ALO_16502 ALO_04628
ALO_16502 ALO_04623
ALO_16517 ALO_00185
ALO_16532 ALO_07338
ALO_16532 ALO_20962
ALO_16532 ALO_07423
ALO_16582 ALO_02516
ALO_16582 ALO_08285
ALO_16582 ALO_02521
ALO_16826 ALO_04081
ALO_16831 ALO_10554
ALO_16851 ALO_18380
ALO_16951 ALO_03801
ALO_16951 ALO_17686
ALO_16996 ALO_18472
ALO_16996 ALO_13559
ALO_17026 ALO_04623
ALO_17136 ALO_21424
ALO_17136 ALO_07908
ALO_17136 ALO_01414
ALO_17136 ALO_06378
ALO_17136 ALO_05645
ALO_17136 ALO_09874
ALO_17136 ALO_09864
ALO_17201 ALO_10959
ALO_17201 ALO_18857
ALO_17201 ALO_00840
ALO_17201 ALO_18837
ALO_17231 ALO_04066
ALO_17231 ALO_21344
ALO_17231 ALO_03016
ALO_17231 ALO_19227
ALO_17296 ALO_03206
ALO_17311 ALO_21861
