CHU_0004 CHU_2823
CHU_0074 CHU_0274
CHU_0074 CHU_0610
CHU_0074 CHU_2817
CHU_0074 CHU_0073
CHU_0074 CHU_2639
CHU_0074 CHU_0075
CHU_0074 CHU_1434
CHU_0074 CHU_1433
CHU_0074 CHU_1816
CHU_0074 CHU_0685
CHU_0075 CHU_0995
CHU_0075 CHU_1627
CHU_0075 CHU_0207
CHU_0075 CHU_2704
CHU_0075 CHU_0074
CHU_0083 CHU_2698
CHU_0083 CHU_0932
CHU_0083 CHU_0115
CHU_0083 CHU_0109
CHU_0083 CHU_0086
CHU_0083 CHU_2245
CHU_0083 CHU_0488
CHU_0083 CHU_0577
CHU_0084 CHU_0058
CHU_0084 CHU_0073
CHU_0084 CHU_3278
CHU_0084 CHU_3834
CHU_0084 CHU_3134
CHU_0084 CHU_1793
CHU_0084 CHU_3062
CHU_0084 CHU_1007
CHU_0084 CHU_3080
CHU_0084 CHU_3721
CHU_0084 CHU_1701
CHU_0084 CHU_0784
CHU_0084 CHU_3607
CHU_0084 CHU_3693
CHU_0086 CHU_0451
CHU_0086 CHU_0932
CHU_0086 CHU_0488
CHU_0086 CHU_2698
CHU_0086 CHU_0577
CHU_0086 CHU_2215
CHU_0086 CHU_0115
CHU_0086 CHU_0083
CHU_0086 CHU_0452
CHU_0086 CHU_3648
CHU_0086 CHU_1786
CHU_0087 CHU_0674
CHU_0087 CHU_0461
CHU_0087 CHU_2192
CHU_0094 CHU_2101
CHU_0094 CHU_1347
CHU_0094 CHU_3657
CHU_0094 CHU_0009
CHU_0094 CHU_3648
CHU_0094 CHU_2002
CHU_0094 CHU_1537
CHU_0094 CHU_1400
CHU_0094 CHU_1233
CHU_0094 CHU_1549
CHU_0094 CHU_0491
CHU_0094 CHU_1680
CHU_0097 CHU_0462
CHU_0097 CHU_3548
CHU_0108 CHU_1579
CHU_0108 CHU_2836
CHU_0109 CHU_0488
CHU_0109 CHU_0083
CHU_0115 CHU_0083
CHU_0115 CHU_0086
CHU_0115 CHU_0488
CHU_0115 CHU_0577
CHU_0115 CHU_2698
CHU_0116 CHU_0934
CHU_0116 CHU_0932
CHU_0116 CHU_3483
CHU_0116 CHU_0196
CHU_0116 CHU_3648
CHU_0126 CHU_1667
CHU_0126 CHU_3734
CHU_0126 CHU_0240
CHU_0126 CHU_3733
CHU_0127 CHU_0765
CHU_0127 CHU_3289
CHU_0127 CHU_2745
CHU_0136 CHU_1812
CHU_0136 CHU_0274
CHU_0136 CHU_0073
CHU_0139 CHU_3721
CHU_0139 CHU_0073
CHU_0139 CHU_1312
CHU_0147 CHU_2648
CHU_0158 CHU_3698
CHU_0163 CHU_0684
CHU_0163 CHU_0576
CHU_0163 CHU_1442
CHU_0163 CHU_3633
CHU_0163 CHU_0784
CHU_0165 CHU_1574
CHU_0165 CHU_0202
CHU_0165 CHU_0774
CHU_0165 CHU_1918
CHU_0165 CHU_1144
CHU_0169 CHU_0774
CHU_0169 CHU_0492
CHU_0169 CHU_2636
CHU_0176 CHU_2739
CHU_0179 CHU_0181
CHU_0179 CHU_0180
CHU_0179 CHU_0068
CHU_0179 CHU_1243
CHU_0179 CHU_0336
CHU_0179 CHU_3108
CHU_0179 CHU_0337
CHU_0179 CHU_0183
CHU_0179 CHU_0184
CHU_0179 CHU_0182
CHU_0180 CHU_0336
CHU_0180 CHU_0179
CHU_0180 CHU_0181
CHU_0180 CHU_0184
CHU_0180 CHU_0183
CHU_0180 CHU_0182
CHU_0180 CHU_0068
CHU_0180 CHU_3108
CHU_0180 CHU_0337
CHU_0180 CHU_1243
CHU_0181 CHU_0068
CHU_0181 CHU_0180
CHU_0181 CHU_0179
CHU_0181 CHU_1243
CHU_0181 CHU_0336
CHU_0181 CHU_3108
CHU_0181 CHU_0337
CHU_0181 CHU_0184
CHU_0181 CHU_0183
CHU_0181 CHU_0182
CHU_0182 CHU_3108
CHU_0182 CHU_0181
CHU_0182 CHU_0180
CHU_0182 CHU_0179
CHU_0182 CHU_0068
CHU_0182 CHU_1243
CHU_0182 CHU_0336
CHU_0182 CHU_0337
CHU_0182 CHU_0184
CHU_0182 CHU_0183
CHU_0183 CHU_0336
CHU_0183 CHU_1243
CHU_0183 CHU_0337
CHU_0183 CHU_3108
CHU_0183 CHU_0182
CHU_0183 CHU_0181
CHU_0183 CHU_0068
CHU_0183 CHU_0184
CHU_0183 CHU_0180
CHU_0183 CHU_0179
CHU_0184 CHU_0179
CHU_0184 CHU_3108
CHU_0184 CHU_1243
CHU_0184 CHU_0336
CHU_0184 CHU_0182
CHU_0184 CHU_0181
CHU_0184 CHU_0068
CHU_0184 CHU_0337
CHU_0184 CHU_0183
CHU_0184 CHU_0180
CHU_0196 CHU_1701
CHU_0196 CHU_0934
CHU_0196 CHU_0116
CHU_0196 CHU_0932
CHU_0196 CHU_3483
CHU_0196 CHU_3309
CHU_0202 CHU_0165
CHU_0202 CHU_1918
CHU_0202 CHU_3739
CHU_0202 CHU_1144
CHU_0202 CHU_0354
CHU_0202 CHU_3490
CHU_0203 CHU_1322
CHU_0203 CHU_0931
CHU_0207 CHU_1433
CHU_0207 CHU_0685
CHU_0207 CHU_1816
CHU_0207 CHU_0075
CHU_0207 CHU_2639
CHU_0207 CHU_1434
CHU_0207 CHU_1268
CHU_0207 CHU_3296
CHU_0207 CHU_2166
CHU_0207 CHU_3746
CHU_0207 CHU_0610
CHU_0207 CHU_1812
CHU_0207 CHU_0274
CHU_0207 CHU_3633
CHU_0207 CHU_3183
CHU_0207 CHU_2817
CHU_0207 CHU_3297
CHU_0207 CHU_3744
CHU_0207 CHU_3320
CHU_0207 CHU_3236
CHU_0240 CHU_0126
CHU_0240 CHU_3733
CHU_0240 CHU_0241
CHU_0241 CHU_0246
CHU_0241 CHU_0240
CHU_0241 CHU_0242
CHU_0242 CHU_0932
CHU_0242 CHU_2521
CHU_0242 CHU_0246
CHU_0242 CHU_0241
CHU_0243 CHU_0244
CHU_0243 CHU_3643
CHU_0244 CHU_0243
CHU_0245 CHU_1323
CHU_0245 CHU_3485
CHU_0245 CHU_1324
CHU_0245 CHU_3381
CHU_0246 CHU_0241
CHU_0246 CHU_0242
CHU_0246 CHU_0932
CHU_0246 CHU_2521
CHU_0251 CHU_1661
CHU_0251 CHU_1894
CHU_0251 CHU_0472
CHU_0251 CHU_0301
CHU_0251 CHU_3060
CHU_0251 CHU_1895
CHU_0251 CHU_2987
CHU_0251 CHU_3277
CHU_0251 CHU_2529
CHU_0251 CHU_1341
CHU_0251 CHU_2229
CHU_0251 CHU_1992
CHU_0257 CHU_0637
CHU_0257 CHU_0684
CHU_0257 CHU_2637
CHU_0257 CHU_0957
CHU_0274 CHU_1812
CHU_0274 CHU_0207
CHU_0274 CHU_0074
CHU_0274 CHU_0610
CHU_0274 CHU_3320
CHU_0274 CHU_0073
CHU_0274 CHU_2639
CHU_0274 CHU_0136
CHU_0274 CHU_1434
CHU_0274 CHU_1433
CHU_0274 CHU_0684
CHU_0296 CHU_2612
CHU_0296 CHU_3310
CHU_0296 CHU_3495
CHU_0297 CHU_2232
CHU_0297 CHU_1598
CHU_0298 CHU_2589
CHU_0300 CHU_0998
CHU_0300 CHU_0059
CHU_0300 CHU_3484
CHU_0301 CHU_0472
CHU_0301 CHU_1661
CHU_0301 CHU_2250
CHU_0301 CHU_2680
CHU_0301 CHU_0998
CHU_0301 CHU_3060
CHU_0301 CHU_1756
CHU_0301 CHU_1894
CHU_0301 CHU_1875
CHU_0301 CHU_1895
CHU_0301 CHU_3731
CHU_0301 CHU_2987
CHU_0301 CHU_3277
CHU_0301 CHU_3718
CHU_0301 CHU_0251
CHU_0301 CHU_2529
CHU_0301 CHU_2229
CHU_0301 CHU_1341
CHU_0301 CHU_3133
CHU_0301 CHU_1400
CHU_0301 CHU_1992
CHU_0303 CHU_2855
CHU_0303 CHU_1041
CHU_0303 CHU_0526
CHU_0308 CHU_2409
CHU_0308 CHU_0801
CHU_0308 CHU_0959
CHU_0308 CHU_3836
CHU_0308 CHU_2290
CHU_0308 CHU_1581
CHU_0308 CHU_3810
CHU_0308 CHU_1345
CHU_0308 CHU_0998
CHU_0308 CHU_0803
CHU_0316 CHU_1432
CHU_0316 CHU_2390
CHU_0316 CHU_1704
CHU_0320 CHU_2855
CHU_0320 CHU_3285
CHU_0320 CHU_3664
CHU_0326 CHU_2710
CHU_0326 CHU_2276
CHU_0326 CHU_1757
CHU_0327 CHU_1085
CHU_0327 CHU_2123
CHU_0327 CHU_0390
CHU_0327 CHU_0969
CHU_0327 CHU_2110
CHU_0327 CHU_2863
CHU_0327 CHU_1037
CHU_0327 CHU_1397
CHU_0327 CHU_1896
CHU_0327 CHU_2115
CHU_0327 CHU_1624
CHU_0333 CHU_3373
CHU_0333 CHU_0936
CHU_0336 CHU_3108
CHU_0336 CHU_0182
CHU_0336 CHU_0181
CHU_0336 CHU_0068
CHU_0336 CHU_0337
CHU_0336 CHU_0184
CHU_0336 CHU_0183
CHU_0336 CHU_0180
CHU_0336 CHU_0179
CHU_0336 CHU_1243
CHU_0337 CHU_0336
CHU_0337 CHU_0180
CHU_0337 CHU_0182
CHU_0337 CHU_3108
CHU_0337 CHU_0181
CHU_0337 CHU_0184
CHU_0337 CHU_0068
CHU_0337 CHU_0179
CHU_0337 CHU_0183
CHU_0337 CHU_1243
CHU_0354 CHU_1574
CHU_0354 CHU_0202
CHU_0357 CHU_0769
CHU_0357 CHU_3236
CHU_0358 CHU_2828
CHU_0358 CHU_2581
CHU_0358 CHU_3236
CHU_0358 CHU_2690
CHU_0369 CHU_3290
CHU_0369 CHU_1758
CHU_0369 CHU_1808
CHU_0369 CHU_3291
CHU_0369 CHU_0717
CHU_0369 CHU_0719
CHU_0372 CHU_3055
CHU_0372 CHU_3009
CHU_0390 CHU_2469
CHU_0390 CHU_1397
CHU_0390 CHU_1896
CHU_0390 CHU_1275
CHU_0390 CHU_2115
CHU_0390 CHU_1624
CHU_0390 CHU_3281
CHU_0390 CHU_1623
CHU_0390 CHU_0327
CHU_0390 CHU_1085
CHU_0390 CHU_2863
CHU_0390 CHU_1517
CHU_0390 CHU_1622
CHU_0390 CHU_1755
CHU_0390 CHU_2123
CHU_0399 CHU_0801
CHU_0399 CHU_0959
CHU_0399 CHU_0803
CHU_0399 CHU_2409
CHU_0399 CHU_2290
CHU_0400 CHU_3394
CHU_0400 CHU_1581
CHU_0400 CHU_2602
CHU_0400 CHU_0901
CHU_0402 CHU_3633
CHU_0402 CHU_1542
CHU_0402 CHU_1289
CHU_0402 CHU_1753
CHU_0402 CHU_3360
CHU_0402 CHU_1297
CHU_0402 CHU_3310
CHU_0402 CHU_1433
CHU_0402 CHU_2917
CHU_0402 CHU_3309
CHU_0402 CHU_1570
CHU_0402 CHU_3049
CHU_0402 CHU_2397
CHU_0402 CHU_3078
CHU_0402 CHU_2824
CHU_0402 CHU_1434
CHU_0402 CHU_1569
CHU_0451 CHU_1786
CHU_0451 CHU_1400
CHU_0451 CHU_2390
CHU_0451 CHU_0599
CHU_0451 CHU_0086
CHU_0451 CHU_0577
CHU_0451 CHU_0452
CHU_0451 CHU_0068
CHU_0451 CHU_3648
CHU_0452 CHU_1786
CHU_0452 CHU_0599
CHU_0452 CHU_2390
CHU_0452 CHU_0451
CHU_0452 CHU_0577
CHU_0452 CHU_0068
CHU_0452 CHU_3648
CHU_0452 CHU_0086
CHU_0452 CHU_1400
CHU_0461 CHU_3311
CHU_0461 CHU_2276
CHU_0461 CHU_0674
CHU_0461 CHU_0087
CHU_0461 CHU_3411
CHU_0462 CHU_0097
CHU_0462 CHU_3548
CHU_0466 CHU_2863
CHU_0466 CHU_1397
CHU_0466 CHU_3189
CHU_0466 CHU_3011
CHU_0466 CHU_3672
CHU_0466 CHU_2115
CHU_0466 CHU_1071
CHU_0467 CHU_1660
CHU_0467 CHU_0472
CHU_0467 CHU_3838
CHU_0467 CHU_3484
CHU_0467 CHU_2896
CHU_0467 CHU_0998
CHU_0467 CHU_1600
CHU_0467 CHU_2773
CHU_0470 CHU_3273
CHU_0470 CHU_1164
CHU_0470 CHU_0750
CHU_0472 CHU_3277
CHU_0472 CHU_1600
CHU_0472 CHU_2250
CHU_0472 CHU_2773
CHU_0472 CHU_2680
CHU_0472 CHU_0998
CHU_0472 CHU_1661
CHU_0472 CHU_3060
CHU_0472 CHU_3838
CHU_0472 CHU_1756
CHU_0472 CHU_3731
CHU_0472 CHU_2987
CHU_0472 CHU_1894
CHU_0472 CHU_1895
CHU_0472 CHU_1875
CHU_0472 CHU_0301
CHU_0472 CHU_3718
CHU_0472 CHU_0251
CHU_0472 CHU_1660
CHU_0472 CHU_2529
CHU_0472 CHU_3133
CHU_0472 CHU_1341
CHU_0472 CHU_0467
CHU_0472 CHU_1992
CHU_0472 CHU_2896
CHU_0472 CHU_1400
CHU_0488 CHU_2698
CHU_0488 CHU_0086
CHU_0488 CHU_0932
CHU_0488 CHU_0115
CHU_0488 CHU_0083
CHU_0488 CHU_2245
CHU_0488 CHU_0109
CHU_0488 CHU_0577
CHU_0491 CHU_1233
CHU_0491 CHU_2101
CHU_0491 CHU_3657
CHU_0491 CHU_1347
CHU_0491 CHU_0009
CHU_0491 CHU_0094
CHU_0491 CHU_3648
CHU_0491 CHU_2002
CHU_0491 CHU_1400
CHU_0491 CHU_1537
CHU_0491 CHU_1549
CHU_0491 CHU_1680
CHU_0492 CHU_0646
CHU_0492 CHU_0169
CHU_0494 CHU_0850
CHU_0494 CHU_3393
CHU_0494 CHU_3391
CHU_0494 CHU_3843
CHU_0494 CHU_0900
CHU_0509 CHU_1382
CHU_0510 CHU_1381
CHU_0511 CHU_1380
CHU_0512 CHU_1379
CHU_0526 CHU_0303
CHU_0526 CHU_2855
CHU_0526 CHU_1041
CHU_0537 CHU_1146
CHU_0559 CHU_0635
CHU_0559 CHU_0560
CHU_0559 CHU_0636
CHU_0559 CHU_0561
CHU_0560 CHU_0635
CHU_0560 CHU_0561
CHU_0560 CHU_0636
CHU_0560 CHU_0559
CHU_0561 CHU_0635
CHU_0561 CHU_0560
CHU_0561 CHU_0636
CHU_0561 CHU_0559
CHU_0576 CHU_0784
CHU_0576 CHU_3633
CHU_0576 CHU_0163
CHU_0576 CHU_0684
CHU_0576 CHU_1442
CHU_0577 CHU_1786
CHU_0577 CHU_0932
CHU_0577 CHU_0451
CHU_0577 CHU_0115
CHU_0577 CHU_0488
CHU_0577 CHU_2698
CHU_0577 CHU_0083
CHU_0577 CHU_0452
CHU_0577 CHU_3648
CHU_0577 CHU_0086
CHU_0598 CHU_3729
CHU_0598 CHU_2417
CHU_0598 CHU_2424
CHU_0598 CHU_3408
CHU_0598 CHU_0932
CHU_0598 CHU_2526
CHU_0599 CHU_2390
CHU_0599 CHU_0932
CHU_0599 CHU_0451
CHU_0599 CHU_0934
CHU_0599 CHU_2005
CHU_0599 CHU_0452
CHU_0599 CHU_3648
CHU_0599 CHU_1786
CHU_0599 CHU_1400
CHU_0603 CHU_3339
CHU_0610 CHU_1812
CHU_0610 CHU_0073
CHU_0610 CHU_0274
CHU_0610 CHU_0207
CHU_0610 CHU_2004
CHU_0610 CHU_0074
CHU_0610 CHU_3320
CHU_0610 CHU_2639
CHU_0610 CHU_1434
CHU_0610 CHU_1433
CHU_0610 CHU_0684
CHU_0611 CHU_2466
CHU_0615 CHU_1804
CHU_0615 CHU_1391
CHU_0615 CHU_1038
CHU_0635 CHU_0560
CHU_0635 CHU_0561
CHU_0635 CHU_3649
CHU_0635 CHU_2395
CHU_0635 CHU_0637
CHU_0635 CHU_0638
CHU_0635 CHU_0636
CHU_0635 CHU_0559
CHU_0636 CHU_0561
CHU_0636 CHU_0638
CHU_0636 CHU_2395
CHU_0636 CHU_3649
CHU_0636 CHU_0637
CHU_0636 CHU_0635
CHU_0636 CHU_0559
CHU_0636 CHU_0560
CHU_0637 CHU_0638
CHU_0637 CHU_0257
CHU_0637 CHU_2395
CHU_0637 CHU_3649
CHU_0637 CHU_0636
CHU_0637 CHU_0635
CHU_0637 CHU_0957
CHU_0638 CHU_3649
CHU_0638 CHU_0637
CHU_0638 CHU_2395
CHU_0638 CHU_0635
CHU_0638 CHU_0636
CHU_0638 CHU_0957
CHU_0646 CHU_0492
CHU_0646 CHU_0936
CHU_0647 CHU_3637
CHU_0647 CHU_3081
CHU_0647 CHU_2022
CHU_0647 CHU_0703
CHU_0647 CHU_3087
CHU_0656 CHU_1875
CHU_0656 CHU_0657
CHU_0657 CHU_0656
CHU_0658 CHU_0833
CHU_0658 CHU_1978
CHU_0658 CHU_1552
CHU_0658 CHU_2775
CHU_0658 CHU_1036
CHU_0658 CHU_3484
CHU_0674 CHU_0087
CHU_0674 CHU_0461
CHU_0674 CHU_3311
CHU_0684 CHU_1433
CHU_0684 CHU_1812
CHU_0684 CHU_0784
CHU_0684 CHU_0274
CHU_0684 CHU_0257
CHU_0684 CHU_0163
CHU_0684 CHU_3320
CHU_0684 CHU_0685
CHU_0684 CHU_2637
CHU_0684 CHU_0610
CHU_0684 CHU_0576
CHU_0684 CHU_2639
CHU_0684 CHU_1434
CHU_0684 CHU_1442
CHU_0684 CHU_3015
CHU_0684 CHU_1816
CHU_0685 CHU_3296
CHU_0685 CHU_3633
CHU_0685 CHU_0207
CHU_0685 CHU_0074
CHU_0685 CHU_3297
CHU_0685 CHU_0073
CHU_0685 CHU_3236
CHU_0685 CHU_1816
CHU_0685 CHU_0684
CHU_0687 CHU_1716
CHU_0687 CHU_3310
CHU_0694 CHU_3380
CHU_0694 CHU_1409
CHU_0699 CHU_2745
CHU_0699 CHU_2742
CHU_0699 CHU_0924
CHU_0699 CHU_3724
CHU_0703 CHU_0720
CHU_0703 CHU_3360
CHU_0703 CHU_3373
CHU_0703 CHU_1086
CHU_0703 CHU_2502
CHU_0703 CHU_0647
CHU_0703 CHU_1734
CHU_0703 CHU_3776
CHU_0703 CHU_3463
CHU_0703 CHU_0937
CHU_0703 CHU_3062
CHU_0703 CHU_3777
CHU_0703 CHU_0030
CHU_0703 CHU_1741
CHU_0703 CHU_0784
CHU_0703 CHU_0053
CHU_0703 CHU_1021
CHU_0703 CHU_1735
CHU_0703 CHU_2824
CHU_0717 CHU_3226
CHU_0717 CHU_0369
CHU_0718 CHU_2703
CHU_0718 CHU_0719
CHU_0719 CHU_0718
CHU_0719 CHU_3291
CHU_0719 CHU_3290
CHU_0719 CHU_1758
CHU_0719 CHU_1274
CHU_0719 CHU_0369
CHU_0719 CHU_1808
CHU_0719 CHU_0764
CHU_0720 CHU_0937
CHU_0720 CHU_0703
CHU_0750 CHU_1164
CHU_0750 CHU_3416
CHU_0750 CHU_0470
CHU_0751 CHU_2986
CHU_0751 CHU_2985
CHU_0751 CHU_2194
CHU_0751 CHU_2984
CHU_0751 CHU_2195
CHU_0761 CHU_2468
CHU_0761 CHU_3223
CHU_0764 CHU_0784
CHU_0764 CHU_3025
CHU_0764 CHU_1269
CHU_0764 CHU_1274
CHU_0764 CHU_0719
CHU_0765 CHU_0127
CHU_0765 CHU_2563
CHU_0765 CHU_2022
CHU_0769 CHU_3236
CHU_0769 CHU_3764
CHU_0769 CHU_0357
CHU_0769 CHU_3762
CHU_0774 CHU_1918
CHU_0774 CHU_1144
CHU_0774 CHU_3263
CHU_0774 CHU_3061
CHU_0774 CHU_0169
CHU_0774 CHU_0165
CHU_0774 CHU_2636
CHU_0784 CHU_0684
CHU_0784 CHU_1758
CHU_0784 CHU_2474
CHU_0784 CHU_3834
CHU_0784 CHU_3776
CHU_0784 CHU_3362
CHU_0784 CHU_0764
CHU_0784 CHU_1442
CHU_0784 CHU_1701
CHU_0784 CHU_3025
CHU_0784 CHU_2472
CHU_0784 CHU_1269
CHU_0784 CHU_0163
CHU_0784 CHU_0073
CHU_0784 CHU_3062
CHU_0784 CHU_3777
CHU_0784 CHU_0703
CHU_0784 CHU_1275
CHU_0784 CHU_0058
CHU_0784 CHU_3285
CHU_0784 CHU_1274
CHU_0784 CHU_3020
CHU_0784 CHU_3080
CHU_0784 CHU_3664
CHU_0784 CHU_2473
CHU_0784 CHU_3721
CHU_0784 CHU_1228
CHU_0784 CHU_0576
CHU_0784 CHU_3015
CHU_0784 CHU_3607
CHU_0784 CHU_0084
CHU_0784 CHU_3693
CHU_0801 CHU_0308
CHU_0801 CHU_0959
CHU_0801 CHU_0399
CHU_0801 CHU_1345
CHU_0801 CHU_2409
CHU_0803 CHU_3577
CHU_0803 CHU_3811
CHU_0803 CHU_0399
CHU_0803 CHU_3784
CHU_0803 CHU_2290
CHU_0803 CHU_2273
CHU_0803 CHU_2268
CHU_0803 CHU_0308
CHU_0827 CHU_2512
CHU_0827 CHU_1576
CHU_0833 CHU_3392
CHU_0833 CHU_1552
CHU_0833 CHU_0658
CHU_0833 CHU_2775
CHU_0833 CHU_1036
CHU_0847 CHU_0848
CHU_0848 CHU_0847
CHU_0850 CHU_0020
CHU_0850 CHU_0494
CHU_0850 CHU_3390
CHU_0850 CHU_3843
CHU_0900 CHU_0020
CHU_0900 CHU_0494
CHU_0900 CHU_3390
CHU_0900 CHU_3843
CHU_0901 CHU_0400
CHU_0901 CHU_1581
CHU_0901 CHU_2411
CHU_0901 CHU_3394
CHU_0914 CHU_2982
CHU_0914 CHU_1246
CHU_0914 CHU_2429
CHU_0914 CHU_2836
CHU_0915 CHU_3598
CHU_0924 CHU_3724
CHU_0924 CHU_0699
CHU_0931 CHU_3720
CHU_0931 CHU_3169
CHU_0931 CHU_1704
CHU_0931 CHU_3168
CHU_0931 CHU_0203
CHU_0931 CHU_3136
CHU_0931 CHU_3648
CHU_0931 CHU_1400
CHU_0932 CHU_3729
CHU_0932 CHU_0086
CHU_0932 CHU_0116
CHU_0932 CHU_2005
CHU_0932 CHU_1998
CHU_0932 CHU_2424
CHU_0932 CHU_0246
CHU_0932 CHU_0488
CHU_0932 CHU_1563
CHU_0932 CHU_2101
CHU_0932 CHU_0577
CHU_0932 CHU_2698
CHU_0932 CHU_3483
CHU_0932 CHU_0598
CHU_0932 CHU_2215
CHU_0932 CHU_3309
CHU_0932 CHU_0599
CHU_0932 CHU_0083
CHU_0932 CHU_2526
CHU_0932 CHU_1289
CHU_0932 CHU_1701
CHU_0932 CHU_0019
CHU_0932 CHU_0196
CHU_0932 CHU_0934
CHU_0932 CHU_0242
CHU_0932 CHU_0068
CHU_0934 CHU_0599
CHU_0934 CHU_0932
CHU_0934 CHU_3483
CHU_0934 CHU_0196
CHU_0934 CHU_2005
CHU_0934 CHU_0116
CHU_0936 CHU_0333
CHU_0936 CHU_0646
CHU_0937 CHU_0720
CHU_0937 CHU_0703
CHU_0942 CHU_1146
CHU_0947 CHU_3720
CHU_0947 CHU_1926
CHU_0949 CHU_2742
CHU_0949 CHU_1919
CHU_0955 CHU_0956
CHU_0955 CHU_1400
CHU_0955 CHU_3169
CHU_0955 CHU_3648
CHU_0955 CHU_3136
CHU_0955 CHU_1333
CHU_0955 CHU_1390
CHU_0955 CHU_1704
CHU_0955 CHU_1059
CHU_0955 CHU_1322
CHU_0955 CHU_3168
CHU_0956 CHU_1059
CHU_0956 CHU_1390
CHU_0956 CHU_1333
CHU_0956 CHU_0955
CHU_0957 CHU_0638
CHU_0957 CHU_0257
CHU_0957 CHU_2637
CHU_0957 CHU_0637
CHU_0957 CHU_3649
CHU_0957 CHU_2395
CHU_0959 CHU_0801
CHU_0959 CHU_0399
CHU_0959 CHU_2409
CHU_0959 CHU_0308
CHU_0959 CHU_1345
CHU_0969 CHU_2123
CHU_0969 CHU_2110
CHU_0969 CHU_1037
CHU_0969 CHU_3672
CHU_0969 CHU_1071
CHU_0969 CHU_0327
CHU_0969 CHU_1085
CHU_0969 CHU_3011
CHU_0975 CHU_1778
CHU_0975 CHU_1815
CHU_0994 CHU_0053
