COPEUT_00079 COPEUT_01038
COPEUT_00314 COPEUT_02810
COPEUT_00351 COPEUT_00261
COPEUT_00351 COPEUT_01003
COPEUT_00352 COPEUT_00261
COPEUT_00352 COPEUT_01003
COPEUT_00380 COPEUT_01026
COPEUT_00417 COPEUT_01956
COPEUT_00417 COPEUT_01958
COPEUT_00417 COPEUT_01957
COPEUT_00430 COPEUT_02087
COPEUT_00431 COPEUT_03049
COPEUT_00431 COPEUT_02550
COPEUT_00431 COPEUT_00184
COPEUT_00431 COPEUT_00844
COPEUT_00460 COPEUT_01022
COPEUT_00460 COPEUT_01313
COPEUT_00534 COPEUT_00535
COPEUT_00535 COPEUT_00534
COPEUT_00577 COPEUT_00578
COPEUT_00577 COPEUT_02826
COPEUT_00578 COPEUT_00577
COPEUT_00580 COPEUT_02826
COPEUT_00590 COPEUT_00184
COPEUT_00590 COPEUT_00844
COPEUT_00590 COPEUT_03049
COPEUT_00590 COPEUT_02550
COPEUT_00590 COPEUT_00602
COPEUT_00596 COPEUT_00597
COPEUT_00596 COPEUT_00598
COPEUT_00597 COPEUT_00598
COPEUT_00597 COPEUT_00596
COPEUT_00598 COPEUT_00597
COPEUT_00598 COPEUT_00596
COPEUT_00602 COPEUT_00590
COPEUT_00602 COPEUT_02550
COPEUT_00602 COPEUT_00844
COPEUT_00602 COPEUT_00184
COPEUT_00621 COPEUT_03049
COPEUT_00621 COPEUT_02550
COPEUT_00621 COPEUT_00184
COPEUT_00621 COPEUT_00844
COPEUT_00626 COPEUT_00627
COPEUT_00626 COPEUT_00628
COPEUT_00627 COPEUT_00626
COPEUT_00628 COPEUT_00626
COPEUT_00630 COPEUT_00631
COPEUT_00631 COPEUT_00630
COPEUT_00638 COPEUT_01268
COPEUT_00638 COPEUT_00639
COPEUT_00638 COPEUT_02937
COPEUT_00639 COPEUT_01268
COPEUT_00639 COPEUT_02937
COPEUT_00639 COPEUT_00638
COPEUT_00652 COPEUT_00653
COPEUT_00653 COPEUT_00652
COPEUT_00758 COPEUT_00149
COPEUT_00758 COPEUT_00148
COPEUT_00758 COPEUT_01377
COPEUT_00758 COPEUT_00196
COPEUT_00759 COPEUT_02178
COPEUT_00760 COPEUT_02178
COPEUT_00761 COPEUT_02178
COPEUT_00762 COPEUT_02178
COPEUT_00765 COPEUT_02178
COPEUT_00766 COPEUT_02178
COPEUT_00801 COPEUT_00182
COPEUT_00822 COPEUT_00831
COPEUT_00831 COPEUT_00822
COPEUT_00839 COPEUT_01174
COPEUT_00839 COPEUT_01175
COPEUT_00844 COPEUT_01433
COPEUT_00844 COPEUT_01028
COPEUT_00844 COPEUT_00602
COPEUT_00844 COPEUT_00590
COPEUT_00844 COPEUT_00621
COPEUT_00844 COPEUT_00431
COPEUT_00858 COPEUT_00191
COPEUT_00858 COPEUT_00192
COPEUT_00861 COPEUT_02897
COPEUT_00861 COPEUT_01520
COPEUT_00879 COPEUT_00880
COPEUT_00879 COPEUT_00881
COPEUT_00880 COPEUT_00879
COPEUT_00880 COPEUT_00881
COPEUT_00881 COPEUT_00880
COPEUT_00881 COPEUT_00879
COPEUT_00900 COPEUT_02257
COPEUT_00926 COPEUT_01015
COPEUT_00936 COPEUT_01516
COPEUT_00936 COPEUT_00182
COPEUT_00941 COPEUT_02347
COPEUT_00941 COPEUT_02256
COPEUT_00952 COPEUT_01660
COPEUT_01003 COPEUT_00260
COPEUT_01003 COPEUT_00352
COPEUT_01003 COPEUT_00351
COPEUT_01007 COPEUT_01589
COPEUT_01015 COPEUT_01545
COPEUT_01015 COPEUT_00926
COPEUT_01022 COPEUT_01337
COPEUT_01022 COPEUT_01288
COPEUT_01022 COPEUT_01289
COPEUT_01022 COPEUT_00460
COPEUT_01022 COPEUT_02828
COPEUT_01023 COPEUT_01289
COPEUT_01023 COPEUT_02677
COPEUT_01023 COPEUT_01337
COPEUT_01023 COPEUT_01288
COPEUT_01024 COPEUT_01289
COPEUT_01024 COPEUT_01337
COPEUT_01024 COPEUT_01288
COPEUT_01024 COPEUT_02677
COPEUT_01025 COPEUT_01520
COPEUT_01026 COPEUT_00380
COPEUT_01026 COPEUT_02813
COPEUT_01028 COPEUT_02134
COPEUT_01028 COPEUT_00844
COPEUT_01028 COPEUT_02550
COPEUT_01028 COPEUT_00184
COPEUT_01038 COPEUT_00079
COPEUT_01040 COPEUT_00270
COPEUT_01040 COPEUT_02540
COPEUT_01041 COPEUT_00182
COPEUT_01075 COPEUT_01283
COPEUT_01084 COPEUT_02963
COPEUT_01084 COPEUT_00224
COPEUT_01101 COPEUT_01103
COPEUT_01101 COPEUT_01102
COPEUT_01102 COPEUT_01101
COPEUT_01102 COPEUT_01103
COPEUT_01103 COPEUT_01102
COPEUT_01103 COPEUT_01101
COPEUT_01174 COPEUT_00839
COPEUT_01174 COPEUT_01176
COPEUT_01175 COPEUT_01177
COPEUT_01175 COPEUT_00839
COPEUT_01175 COPEUT_01176
COPEUT_01176 COPEUT_01177
COPEUT_01176 COPEUT_01174
COPEUT_01176 COPEUT_01175
COPEUT_01177 COPEUT_01176
COPEUT_01177 COPEUT_01175
COPEUT_01196 COPEUT_01203
COPEUT_01203 COPEUT_01196
COPEUT_01233 COPEUT_02256
COPEUT_01233 COPEUT_02347
COPEUT_01233 COPEUT_01635
COPEUT_01265 COPEUT_03019
COPEUT_01268 COPEUT_02937
COPEUT_01268 COPEUT_00638
COPEUT_01268 COPEUT_00639
COPEUT_01282 COPEUT_02910
COPEUT_01283 COPEUT_00098
COPEUT_01283 COPEUT_01867
COPEUT_01283 COPEUT_01075
COPEUT_01288 COPEUT_01022
COPEUT_01288 COPEUT_01024
COPEUT_01288 COPEUT_01023
COPEUT_01289 COPEUT_01022
COPEUT_01289 COPEUT_01024
COPEUT_01289 COPEUT_01023
COPEUT_01313 COPEUT_00460
COPEUT_01313 COPEUT_02828
COPEUT_01337 COPEUT_01022
COPEUT_01337 COPEUT_01023
COPEUT_01337 COPEUT_01024
COPEUT_01377 COPEUT_00758
COPEUT_01380 COPEUT_02393
COPEUT_01380 COPEUT_02689
COPEUT_01390 COPEUT_02245
COPEUT_01390 COPEUT_02244
COPEUT_01399 COPEUT_01660
COPEUT_01399 COPEUT_02897
COPEUT_01401 COPEUT_02596
COPEUT_01414 COPEUT_00261
COPEUT_01433 COPEUT_02550
COPEUT_01433 COPEUT_00844
COPEUT_01433 COPEUT_01434
COPEUT_01434 COPEUT_02134
COPEUT_01434 COPEUT_01433
COPEUT_01451 COPEUT_01829
COPEUT_01451 COPEUT_00182
COPEUT_01508 COPEUT_01646
COPEUT_01508 COPEUT_02910
COPEUT_01516 COPEUT_00182
COPEUT_01516 COPEUT_01719
COPEUT_01516 COPEUT_00936
COPEUT_01520 COPEUT_00861
COPEUT_01520 COPEUT_01025
COPEUT_01535 COPEUT_01597
COPEUT_01539 COPEUT_00200
COPEUT_01540 COPEUT_01542
COPEUT_01540 COPEUT_01541
COPEUT_01541 COPEUT_01543
COPEUT_01541 COPEUT_01540
COPEUT_01542 COPEUT_01540
COPEUT_01543 COPEUT_01541
COPEUT_01545 COPEUT_01015
COPEUT_01545 COPEUT_01863
COPEUT_01547 COPEUT_01589
COPEUT_01549 COPEUT_02178
COPEUT_01549 COPEUT_01568
COPEUT_01549 COPEUT_02308
COPEUT_01549 COPEUT_00272
COPEUT_01568 COPEUT_01549
COPEUT_01589 COPEUT_01590
COPEUT_01589 COPEUT_01547
COPEUT_01589 COPEUT_02205
COPEUT_01589 COPEUT_01007
COPEUT_01590 COPEUT_01589
COPEUT_01590 COPEUT_02993
COPEUT_01590 COPEUT_00306
COPEUT_01591 COPEUT_02993
COPEUT_01597 COPEUT_01535
COPEUT_01597 COPEUT_01599
COPEUT_01598 COPEUT_01599
COPEUT_01599 COPEUT_01598
COPEUT_01599 COPEUT_01597
COPEUT_01600 COPEUT_02308
COPEUT_01635 COPEUT_01233
COPEUT_01637 COPEUT_02910
COPEUT_01646 COPEUT_03018
COPEUT_01646 COPEUT_01508
COPEUT_01660 COPEUT_01399
COPEUT_01660 COPEUT_02896
COPEUT_01660 COPEUT_00952
COPEUT_01660 COPEUT_02897
COPEUT_01713 COPEUT_01957
COPEUT_01719 COPEUT_02596
COPEUT_01719 COPEUT_01516
COPEUT_01731 COPEUT_02810
COPEUT_01731 COPEUT_02963
COPEUT_01775 COPEUT_02256
COPEUT_01775 COPEUT_02347
COPEUT_01818 COPEUT_02897
COPEUT_01829 COPEUT_01451
COPEUT_01829 COPEUT_00182
COPEUT_01863 COPEUT_01545
COPEUT_01864 COPEUT_01957
COPEUT_01867 COPEUT_00098
COPEUT_01867 COPEUT_02306
COPEUT_01867 COPEUT_01283
COPEUT_01867 COPEUT_01869
COPEUT_01869 COPEUT_00098
COPEUT_01869 COPEUT_01867
COPEUT_01956 COPEUT_00417
COPEUT_01957 COPEUT_01713
COPEUT_01957 COPEUT_01864
COPEUT_01957 COPEUT_00417
COPEUT_01958 COPEUT_00417
COPEUT_02027 COPEUT_00182
COPEUT_02041 COPEUT_02042
COPEUT_02042 COPEUT_02041
COPEUT_02087 COPEUT_00430
COPEUT_02093 COPEUT_00248
COPEUT_02134 COPEUT_01434
COPEUT_02134 COPEUT_01028
COPEUT_02136 COPEUT_02137
COPEUT_02136 COPEUT_02139
COPEUT_02137 COPEUT_02139
COPEUT_02137 COPEUT_02136
COPEUT_02139 COPEUT_02137
COPEUT_02139 COPEUT_02136
COPEUT_02178 COPEUT_00127
COPEUT_02178 COPEUT_00126
COPEUT_02178 COPEUT_00121
COPEUT_02178 COPEUT_00759
COPEUT_02178 COPEUT_00762
COPEUT_02178 COPEUT_00760
COPEUT_02178 COPEUT_00124
COPEUT_02178 COPEUT_00761
COPEUT_02178 COPEUT_00765
COPEUT_02178 COPEUT_00122
COPEUT_02178 COPEUT_00766
COPEUT_02178 COPEUT_01549
COPEUT_02178 COPEUT_00123
COPEUT_02205 COPEUT_01589
COPEUT_02239 COPEUT_00171
COPEUT_02244 COPEUT_01390
COPEUT_02244 COPEUT_00130
COPEUT_02245 COPEUT_01390
COPEUT_02245 COPEUT_00130
COPEUT_02255 COPEUT_03049
COPEUT_02255 COPEUT_03020
COPEUT_02256 COPEUT_03020
COPEUT_02256 COPEUT_00941
COPEUT_02256 COPEUT_01775
COPEUT_02256 COPEUT_01233
COPEUT_02257 COPEUT_00900
COPEUT_02306 COPEUT_01867
COPEUT_02306 COPEUT_00098
COPEUT_02308 COPEUT_01600
COPEUT_02308 COPEUT_01549
COPEUT_02309 COPEUT_00213
COPEUT_02347 COPEUT_00941
COPEUT_02347 COPEUT_01775
COPEUT_02347 COPEUT_03020
COPEUT_02347 COPEUT_01233
COPEUT_02366 COPEUT_02522
COPEUT_02393 COPEUT_01380
COPEUT_02393 COPEUT_00297
COPEUT_02460 COPEUT_02810
COPEUT_02511 COPEUT_03013
COPEUT_02511 COPEUT_03015
COPEUT_02511 COPEUT_03010
COPEUT_02522 COPEUT_02366
COPEUT_02540 COPEUT_01040
COPEUT_02550 COPEUT_00590
COPEUT_02550 COPEUT_01028
COPEUT_02550 COPEUT_01433
COPEUT_02550 COPEUT_00602
COPEUT_02550 COPEUT_00431
COPEUT_02550 COPEUT_00621
COPEUT_02554 COPEUT_03015
COPEUT_02596 COPEUT_01401
COPEUT_02596 COPEUT_01719
COPEUT_02630 COPEUT_02909
COPEUT_02630 COPEUT_02799
COPEUT_02668 COPEUT_02671
COPEUT_02669 COPEUT_00213
COPEUT_02669 COPEUT_02671
COPEUT_02671 COPEUT_02669
COPEUT_02671 COPEUT_02668
COPEUT_02677 COPEUT_01024
COPEUT_02677 COPEUT_02691
COPEUT_02677 COPEUT_01023
COPEUT_02689 COPEUT_01380
COPEUT_02689 COPEUT_00297
COPEUT_02689 COPEUT_02692
COPEUT_02689 COPEUT_00107
COPEUT_02691 COPEUT_02692
COPEUT_02691 COPEUT_00107
COPEUT_02691 COPEUT_02677
COPEUT_02692 COPEUT_02691
COPEUT_02692 COPEUT_02689
COPEUT_02788 COPEUT_00191
COPEUT_02799 COPEUT_02630
COPEUT_02810 COPEUT_02460
COPEUT_02810 COPEUT_01731
COPEUT_02810 COPEUT_00314
COPEUT_02813 COPEUT_01026
COPEUT_02826 COPEUT_00580
COPEUT_02826 COPEUT_00577
COPEUT_02828 COPEUT_01022
COPEUT_02828 COPEUT_01313
COPEUT_02830 COPEUT_02908
COPEUT_02830 COPEUT_02832
COPEUT_02832 COPEUT_02830
COPEUT_02896 COPEUT_01660
COPEUT_02897 COPEUT_01660
COPEUT_02897 COPEUT_01818
COPEUT_02897 COPEUT_00861
COPEUT_02897 COPEUT_01399
COPEUT_02908 COPEUT_02830
COPEUT_02909 COPEUT_02630
COPEUT_02910 COPEUT_00307
COPEUT_02910 COPEUT_01637
COPEUT_02910 COPEUT_01508
COPEUT_02910 COPEUT_01282
COPEUT_02937 COPEUT_01268
COPEUT_02937 COPEUT_00639
COPEUT_02937 COPEUT_00638
COPEUT_02963 COPEUT_01084
COPEUT_02963 COPEUT_01731
COPEUT_02993 COPEUT_01591
COPEUT_02993 COPEUT_01590
COPEUT_03010 COPEUT_02511
COPEUT_03010 COPEUT_03013
COPEUT_03010 COPEUT_03014
COPEUT_03013 COPEUT_03010
COPEUT_03013 COPEUT_02511
COPEUT_03013 COPEUT_03014
COPEUT_03014 COPEUT_03010
COPEUT_03014 COPEUT_03013
COPEUT_03015 COPEUT_02511
COPEUT_03015 COPEUT_00186
COPEUT_03015 COPEUT_02554
COPEUT_03017 COPEUT_00186
COPEUT_03017 COPEUT_00200
COPEUT_03018 COPEUT_01646
COPEUT_03018 COPEUT_03019
COPEUT_03019 COPEUT_03018
COPEUT_03019 COPEUT_01265
COPEUT_03020 COPEUT_02256
COPEUT_03020 COPEUT_02255
COPEUT_03020 COPEUT_02347
COPEUT_03049 COPEUT_00590
COPEUT_03049 COPEUT_00621
COPEUT_03049 COPEUT_00431
COPEUT_03049 COPEUT_02255
