CKO_00003 CKO_00004
CKO_00073 CKO_00076
CKO_00073 CKO_00071
CKO_00075 CKO_01458
CKO_00075 CKO_00077
CKO_00075 CKO_03604
CKO_00075 CKO_02675
CKO_00075 CKO_00070
CKO_00075 CKO_00069
CKO_00075 CKO_00078
CKO_00075 CKO_00076
CKO_00075 CKO_00073
CKO_00075 CKO_00071
CKO_00076 CKO_00069
CKO_00076 CKO_00075
CKO_00076 CKO_03604
CKO_00076 CKO_02675
CKO_00076 CKO_00070
CKO_00076 CKO_00077
CKO_00076 CKO_00073
CKO_00076 CKO_00078
CKO_00076 CKO_00071
CKO_00076 CKO_01458
CKO_00077 CKO_00075
CKO_00077 CKO_02675
CKO_00077 CKO_00070
CKO_00077 CKO_01458
CKO_00077 CKO_00078
CKO_00077 CKO_03604
CKO_00077 CKO_00069
CKO_00077 CKO_00076
CKO_00077 CKO_00073
CKO_00077 CKO_00071
CKO_00078 CKO_00075
CKO_00078 CKO_02675
CKO_00078 CKO_00070
CKO_00078 CKO_00077
CKO_00078 CKO_01458
CKO_00078 CKO_03604
CKO_00078 CKO_00069
CKO_00078 CKO_00071
CKO_00078 CKO_00076
CKO_00078 CKO_00073
CKO_00079 CKO_02675
CKO_00084 CKO_01796
CKO_00084 CKO_03230
CKO_00084 CKO_03385
CKO_00084 CKO_02490
CKO_00084 CKO_03657
CKO_00084 CKO_03562
CKO_00084 CKO_03696
CKO_00084 CKO_04332
CKO_00084 CKO_04574
CKO_00084 CKO_03894
CKO_00084 CKO_02139
CKO_00084 CKO_03054
CKO_00084 CKO_03563
CKO_00084 CKO_02076
CKO_00084 CKO_02359
CKO_00084 CKO_00208
CKO_00089 CKO_00091
CKO_00089 CKO_03794
CKO_00089 CKO_00090
CKO_00089 CKO_03793
CKO_00089 CKO_03792
CKO_00090 CKO_00091
CKO_00090 CKO_03794
CKO_00090 CKO_00089
CKO_00090 CKO_03793
CKO_00090 CKO_03792
CKO_00091 CKO_00090
CKO_00091 CKO_00089
CKO_00091 CKO_03793
CKO_00091 CKO_03792
CKO_00091 CKO_01456
CKO_00091 CKO_03794
CKO_00092 CKO_02471
CKO_00092 CKO_04280
CKO_00092 CKO_03782
CKO_00092 CKO_00492
CKO_00092 CKO_03408
CKO_00092 CKO_03396
CKO_00092 CKO_01271
CKO_00092 CKO_02990
CKO_00092 CKO_00329
CKO_00092 CKO_00493
CKO_00092 CKO_02517
CKO_00092 CKO_03410
CKO_00092 CKO_04309
CKO_00107 CKO_03043
CKO_00107 CKO_01725
CKO_00107 CKO_05061
CKO_00107 CKO_03305
CKO_00107 CKO_04517
CKO_00107 CKO_00108
CKO_00107 CKO_03259
CKO_00107 CKO_02287
CKO_00107 CKO_02168
CKO_00107 CKO_00332
CKO_00107 CKO_00111
CKO_00107 CKO_03304
CKO_00107 CKO_01517
CKO_00107 CKO_00113
CKO_00107 CKO_01547
CKO_00107 CKO_00661
CKO_00107 CKO_01448
CKO_00107 CKO_04514
CKO_00107 CKO_03848
CKO_00107 CKO_01429
CKO_00107 CKO_00011
CKO_00107 CKO_03300
CKO_00107 CKO_00013
CKO_00107 CKO_03301
CKO_00107 CKO_01709
CKO_00107 CKO_02209
CKO_00107 CKO_01178
CKO_00107 CKO_01425
CKO_00107 CKO_01110
CKO_00108 CKO_01709
CKO_00108 CKO_03043
CKO_00108 CKO_04514
CKO_00108 CKO_01178
CKO_00108 CKO_02209
CKO_00108 CKO_00111
CKO_00108 CKO_03304
CKO_00108 CKO_00013
CKO_00108 CKO_00661
CKO_00108 CKO_01725
CKO_00108 CKO_01448
CKO_00108 CKO_00107
CKO_00108 CKO_01517
CKO_00108 CKO_05061
CKO_00108 CKO_03301
CKO_00108 CKO_03848
CKO_00108 CKO_01547
CKO_00108 CKO_03259
CKO_00108 CKO_02168
CKO_00108 CKO_00332
CKO_00108 CKO_01425
CKO_00108 CKO_00011
CKO_00108 CKO_01110
CKO_00108 CKO_04517
CKO_00108 CKO_01429
CKO_00108 CKO_03305
CKO_00108 CKO_00113
CKO_00108 CKO_03300
CKO_00108 CKO_02287
CKO_00109 CKO_03043
CKO_00109 CKO_02287
CKO_00109 CKO_00110
CKO_00109 CKO_00111
CKO_00109 CKO_03304
CKO_00109 CKO_03384
CKO_00109 CKO_00409
CKO_00109 CKO_05030
CKO_00109 CKO_03228
CKO_00109 CKO_01547
CKO_00109 CKO_04038
CKO_00109 CKO_03385
CKO_00109 CKO_03256
CKO_00109 CKO_03055
CKO_00109 CKO_03848
CKO_00109 CKO_04514
CKO_00109 CKO_00505
CKO_00109 CKO_01707
CKO_00109 CKO_04517
CKO_00109 CKO_03054
CKO_00109 CKO_02168
CKO_00110 CKO_03304
CKO_00110 CKO_05030
CKO_00110 CKO_00113
CKO_00110 CKO_03228
CKO_00110 CKO_00109
CKO_00110 CKO_00505
CKO_00111 CKO_04036
CKO_00111 CKO_03400
CKO_00111 CKO_01448
CKO_00111 CKO_02211
CKO_00111 CKO_02036
CKO_00111 CKO_03848
CKO_00111 CKO_04514
CKO_00111 CKO_03055
CKO_00111 CKO_03300
CKO_00111 CKO_00011
CKO_00111 CKO_00109
CKO_00111 CKO_01707
CKO_00111 CKO_00021
CKO_00111 CKO_03902
CKO_00111 CKO_03301
CKO_00111 CKO_01706
CKO_00111 CKO_00237
CKO_00111 CKO_01336
CKO_00111 CKO_04517
CKO_00111 CKO_04539
CKO_00111 CKO_00108
CKO_00111 CKO_04402
CKO_00111 CKO_01166
CKO_00111 CKO_03305
CKO_00111 CKO_01629
CKO_00111 CKO_02287
CKO_00111 CKO_03043
CKO_00111 CKO_03383
CKO_00111 CKO_04154
CKO_00111 CKO_05064
CKO_00111 CKO_04512
CKO_00111 CKO_03454
CKO_00111 CKO_00633
CKO_00111 CKO_02941
CKO_00111 CKO_01563
CKO_00111 CKO_05076
CKO_00111 CKO_03907
CKO_00111 CKO_01547
CKO_00111 CKO_01663
CKO_00111 CKO_00171
CKO_00111 CKO_00199
CKO_00111 CKO_00107
CKO_00111 CKO_00013
CKO_00111 CKO_02168
CKO_00111 CKO_02822
CKO_00111 CKO_01337
CKO_00113 CKO_03301
CKO_00113 CKO_00108
CKO_00113 CKO_03300
CKO_00113 CKO_00011
CKO_00113 CKO_00110
CKO_00113 CKO_00013
CKO_00113 CKO_00107
CKO_00118 CKO_00715
CKO_00118 CKO_03418
CKO_00118 CKO_00173
CKO_00118 CKO_04105
CKO_00118 CKO_03407
CKO_00118 CKO_00293
CKO_00118 CKO_00646
CKO_00118 CKO_02669
CKO_00118 CKO_03616
CKO_00118 CKO_00504
CKO_00118 CKO_01317
CKO_00118 CKO_03409
CKO_00118 CKO_00617
CKO_00121 CKO_00286
CKO_00121 CKO_05107
CKO_00121 CKO_04137
CKO_00127 CKO_03185
CKO_00127 CKO_00067
CKO_00127 CKO_04592
CKO_00127 CKO_00128
CKO_00128 CKO_00127
CKO_00128 CKO_00136
CKO_00129 CKO_00132
CKO_00129 CKO_00130
CKO_00130 CKO_02471
CKO_00130 CKO_00745
CKO_00130 CKO_01314
CKO_00130 CKO_00129
CKO_00131 CKO_00134
CKO_00131 CKO_00132
CKO_00132 CKO_00131
CKO_00132 CKO_00129
CKO_00134 CKO_00136
CKO_00134 CKO_00131
CKO_00136 CKO_00134
CKO_00136 CKO_00128
CKO_00145 CKO_04792
CKO_00145 CKO_00814
CKO_00145 CKO_02989
CKO_00145 CKO_00146
CKO_00146 CKO_00147
CKO_00146 CKO_02989
CKO_00146 CKO_04792
CKO_00146 CKO_00145
CKO_00147 CKO_00944
CKO_00147 CKO_00146
CKO_00147 CKO_02807
CKO_00148 CKO_00265
CKO_00148 CKO_03580
CKO_00148 CKO_05106
CKO_00148 CKO_00933
CKO_00148 CKO_04137
CKO_00148 CKO_02345
CKO_00148 CKO_01110
CKO_00148 CKO_00638
CKO_00148 CKO_04708
CKO_00148 CKO_01360
CKO_00148 CKO_02343
CKO_00148 CKO_01709
CKO_00148 CKO_03002
CKO_00148 CKO_04136
CKO_00148 CKO_03001
CKO_00151 CKO_04214
CKO_00151 CKO_00316
CKO_00151 CKO_03290
CKO_00160 CKO_03674
CKO_00160 CKO_04208
CKO_00160 CKO_02584
CKO_00160 CKO_00166
CKO_00160 CKO_00199
CKO_00161 CKO_04559
CKO_00166 CKO_00538
CKO_00166 CKO_04208
CKO_00166 CKO_00160
CKO_00166 CKO_04870
CKO_00171 CKO_02941
CKO_00171 CKO_02713
CKO_00171 CKO_00671
CKO_00171 CKO_04317
CKO_00171 CKO_03384
CKO_00171 CKO_00369
CKO_00171 CKO_04984
CKO_00171 CKO_03454
CKO_00171 CKO_00111
CKO_00171 CKO_03385
CKO_00171 CKO_01563
CKO_00171 CKO_03055
CKO_00171 CKO_00379
CKO_00171 CKO_03902
CKO_00171 CKO_01706
CKO_00171 CKO_01707
CKO_00171 CKO_04036
CKO_00171 CKO_04539
CKO_00171 CKO_03855
CKO_00171 CKO_04517
CKO_00171 CKO_01629
CKO_00171 CKO_04402
CKO_00171 CKO_02822
CKO_00171 CKO_03054
CKO_00172 CKO_04395
CKO_00173 CKO_00715
CKO_00173 CKO_01317
CKO_00173 CKO_03409
CKO_00173 CKO_00118
CKO_00173 CKO_00617
CKO_00173 CKO_00504
CKO_00173 CKO_03418
CKO_00173 CKO_04105
CKO_00173 CKO_03408
CKO_00173 CKO_00293
CKO_00173 CKO_00646
CKO_00173 CKO_02669
CKO_00173 CKO_03407
CKO_00173 CKO_03616
CKO_00176 CKO_02501
CKO_00176 CKO_02047
CKO_00176 CKO_04272
CKO_00176 CKO_03618
CKO_00176 CKO_03064
CKO_00184 CKO_03875
CKO_00184 CKO_00475
CKO_00184 CKO_04271
CKO_00184 CKO_04098
CKO_00185 CKO_01677
CKO_00185 CKO_02126
CKO_00185 CKO_03367
CKO_00187 CKO_03851
CKO_00187 CKO_00448
CKO_00187 CKO_00497
CKO_00187 CKO_02429
CKO_00187 CKO_00785
CKO_00187 CKO_03816
CKO_00187 CKO_03258
CKO_00187 CKO_02829
CKO_00187 CKO_04514
CKO_00187 CKO_00188
CKO_00187 CKO_02827
CKO_00187 CKO_02287
CKO_00187 CKO_02433
CKO_00187 CKO_03994
CKO_00187 CKO_03850
CKO_00187 CKO_03853
CKO_00187 CKO_00789
CKO_00187 CKO_04661
CKO_00187 CKO_03043
CKO_00187 CKO_02965
CKO_00187 CKO_02431
CKO_00187 CKO_00545
CKO_00187 CKO_02439
CKO_00187 CKO_00449
CKO_00187 CKO_04222
CKO_00187 CKO_01425
CKO_00187 CKO_02168
CKO_00188 CKO_04661
CKO_00188 CKO_04514
CKO_00188 CKO_03994
CKO_00188 CKO_02287
CKO_00188 CKO_00548
CKO_00188 CKO_00862
CKO_00188 CKO_00448
CKO_00188 CKO_00497
CKO_00188 CKO_00789
CKO_00188 CKO_00547
CKO_00188 CKO_03043
CKO_00188 CKO_00187
CKO_00188 CKO_02168
CKO_00188 CKO_02827
CKO_00188 CKO_00449
CKO_00188 CKO_02965
CKO_00188 CKO_00545
CKO_00188 CKO_00785
CKO_00188 CKO_03816
CKO_00188 CKO_04009
CKO_00188 CKO_02829
CKO_00188 CKO_04222
CKO_00193 CKO_02674
CKO_00193 CKO_04331
CKO_00193 CKO_00350
CKO_00193 CKO_03145
CKO_00193 CKO_02656
CKO_00199 CKO_00160
CKO_00199 CKO_01336
CKO_00199 CKO_01166
CKO_00199 CKO_03400
CKO_00199 CKO_04517
CKO_00199 CKO_01033
CKO_00199 CKO_03081
CKO_00199 CKO_03191
CKO_00199 CKO_04208
CKO_00199 CKO_01706
CKO_00199 CKO_00237
CKO_00199 CKO_04154
CKO_00199 CKO_04512
CKO_00199 CKO_00111
CKO_00199 CKO_05064
CKO_00199 CKO_00633
CKO_00199 CKO_03907
CKO_00199 CKO_03674
CKO_00199 CKO_01337
CKO_00208 CKO_04574
CKO_00208 CKO_04825
CKO_00208 CKO_02390
CKO_00208 CKO_02359
CKO_00208 CKO_02490
CKO_00208 CKO_03657
CKO_00208 CKO_03385
CKO_00208 CKO_00565
CKO_00208 CKO_03230
CKO_00208 CKO_04332
CKO_00208 CKO_03563
CKO_00208 CKO_02439
CKO_00208 CKO_03562
CKO_00208 CKO_01796
CKO_00208 CKO_02139
CKO_00208 CKO_03854
CKO_00208 CKO_01835
CKO_00208 CKO_03054
CKO_00208 CKO_02434
CKO_00208 CKO_03696
CKO_00208 CKO_00084
CKO_00208 CKO_02076
CKO_00208 CKO_04641
CKO_00208 CKO_03894
CKO_00218 CKO_01650
CKO_00218 CKO_02741
CKO_00218 CKO_01648
CKO_00218 CKO_00372
CKO_00219 CKO_02757
CKO_00219 CKO_03273
CKO_00222 CKO_02487
CKO_00222 CKO_02485
CKO_00222 CKO_01652
CKO_00222 CKO_00375
CKO_00222 CKO_04626
CKO_00222 CKO_01932
CKO_00222 CKO_00359
CKO_00222 CKO_00358
CKO_00223 CKO_01326
CKO_00223 CKO_02338
CKO_00223 CKO_01361
CKO_00223 CKO_02743
CKO_00223 CKO_01033
CKO_00223 CKO_02021
CKO_00226 CKO_00291
CKO_00226 CKO_02984
CKO_00226 CKO_00289
CKO_00226 CKO_01117
CKO_00231 CKO_00233
CKO_00231 CKO_04605
CKO_00233 CKO_00231
CKO_00233 CKO_04605
CKO_00234 CKO_03202
CKO_00234 CKO_03143
CKO_00237 CKO_03539
CKO_00237 CKO_03256
CKO_00237 CKO_04194
CKO_00237 CKO_02211
CKO_00237 CKO_03902
CKO_00237 CKO_01117
CKO_00237 CKO_01706
CKO_00237 CKO_02129
CKO_00237 CKO_00471
CKO_00237 CKO_03333
CKO_00237 CKO_03051
CKO_00237 CKO_01615
CKO_00237 CKO_03400
CKO_00237 CKO_02629
CKO_00237 CKO_01310
CKO_00237 CKO_04517
CKO_00237 CKO_01336
CKO_00237 CKO_04268
CKO_00237 CKO_05077
CKO_00237 CKO_01166
CKO_00237 CKO_00111
CKO_00237 CKO_04154
CKO_00237 CKO_05064
CKO_00237 CKO_04512
CKO_00237 CKO_00633
CKO_00237 CKO_04322
CKO_00237 CKO_04269
CKO_00237 CKO_04266
CKO_00237 CKO_00258
CKO_00237 CKO_03907
CKO_00237 CKO_02959
CKO_00237 CKO_03852
CKO_00237 CKO_02983
CKO_00237 CKO_04700
CKO_00237 CKO_00296
CKO_00237 CKO_00199
CKO_00237 CKO_00289
CKO_00237 CKO_01337
CKO_00248 CKO_03991
CKO_00251 CKO_01713
CKO_00251 CKO_01715
CKO_00251 CKO_00261
CKO_00251 CKO_01783
CKO_00251 CKO_02738
CKO_00251 CKO_02283
CKO_00251 CKO_04900
CKO_00254 CKO_03373
CKO_00258 CKO_02139
CKO_00258 CKO_02129
CKO_00258 CKO_00379
CKO_00258 CKO_03539
CKO_00258 CKO_00237
CKO_00258 CKO_01707
CKO_00258 CKO_04539
CKO_00258 CKO_04402
CKO_00258 CKO_01629
CKO_00258 CKO_03454
CKO_00258 CKO_04868
CKO_00258 CKO_02713
CKO_00258 CKO_04322
CKO_00258 CKO_00296
CKO_00258 CKO_02959
CKO_00258 CKO_00369
CKO_00258 CKO_04038
CKO_00261 CKO_02713
CKO_00261 CKO_01707
CKO_00261 CKO_01695
CKO_00261 CKO_00251
CKO_00261 CKO_03848
CKO_00261 CKO_03055
CKO_00261 CKO_00379
CKO_00261 CKO_04119
CKO_00261 CKO_04539
CKO_00261 CKO_01026
CKO_00261 CKO_04116
CKO_00261 CKO_01629
CKO_00261 CKO_04402
CKO_00261 CKO_01783
CKO_00261 CKO_04844
CKO_00261 CKO_03454
CKO_00261 CKO_02124
CKO_00261 CKO_02283
CKO_00261 CKO_01547
CKO_00261 CKO_00369
CKO_00261 CKO_02139
CKO_00261 CKO_04117
CKO_00261 CKO_02809
CKO_00261 CKO_02126
CKO_00263 CKO_03285
CKO_00265 CKO_01110
CKO_00265 CKO_03580
CKO_00265 CKO_03001
CKO_00265 CKO_03002
CKO_00265 CKO_02679
CKO_00265 CKO_02968
CKO_00265 CKO_02163
CKO_00265 CKO_02516
CKO_00265 CKO_01360
CKO_00265 CKO_00716
CKO_00265 CKO_05106
CKO_00265 CKO_04137
CKO_00265 CKO_01959
CKO_00265 CKO_04330
CKO_00265 CKO_00541
CKO_00265 CKO_05107
CKO_00265 CKO_02343
CKO_00265 CKO_02675
CKO_00265 CKO_04562
CKO_00265 CKO_03196
CKO_00265 CKO_01709
CKO_00265 CKO_04025
CKO_00265 CKO_04135
CKO_00265 CKO_02345
CKO_00265 CKO_05097
CKO_00265 CKO_03151
CKO_00265 CKO_03207
CKO_00265 CKO_00638
CKO_00265 CKO_03182
CKO_00265 CKO_01124
CKO_00265 CKO_04708
CKO_00265 CKO_04136
CKO_00265 CKO_05105
CKO_00265 CKO_00148
CKO_00265 CKO_01960
CKO_00265 CKO_00933
CKO_00265 CKO_00047
CKO_00265 CKO_03541
CKO_00265 CKO_03421
CKO_00265 CKO_00540
CKO_00265 CKO_04024
CKO_00270 CKO_03363
CKO_00270 CKO_04107
CKO_00278 CKO_02739
CKO_00279 CKO_02669
CKO_00279 CKO_03242
CKO_00279 CKO_03657
CKO_00279 CKO_02672
CKO_00279 CKO_03418
CKO_00279 CKO_04105
CKO_00279 CKO_03271
CKO_00279 CKO_04136
CKO_00279 CKO_02983
CKO_00279 CKO_02958
CKO_00279 CKO_01339
CKO_00279 CKO_04330
CKO_00279 CKO_00280
CKO_00279 CKO_00370
CKO_00280 CKO_02672
CKO_00280 CKO_03418
CKO_00280 CKO_04136
CKO_00280 CKO_02958
CKO_00280 CKO_04330
CKO_00280 CKO_02680
CKO_00280 CKO_00370
CKO_00280 CKO_02669
CKO_00280 CKO_00279
CKO_00280 CKO_03242
CKO_00280 CKO_04105
CKO_00280 CKO_05105
CKO_00280 CKO_03271
CKO_00286 CKO_05107
CKO_00286 CKO_00121
CKO_00286 CKO_04137
CKO_00287 CKO_01458
CKO_00287 CKO_03604
CKO_00289 CKO_00237
CKO_00289 CKO_02984
CKO_00289 CKO_03333
CKO_00289 CKO_01615
CKO_00289 CKO_02629
CKO_00289 CKO_01310
CKO_00289 CKO_04269
CKO_00289 CKO_01117
CKO_00289 CKO_03902
CKO_00289 CKO_04277
CKO_00289 CKO_00226
CKO_00289 CKO_04700
CKO_00289 CKO_02983
CKO_00291 CKO_02992
CKO_00291 CKO_02636
CKO_00291 CKO_00226
CKO_00292 CKO_03893
CKO_00292 CKO_04070
CKO_00292 CKO_01801
CKO_00292 CKO_00375
CKO_00292 CKO_04265
CKO_00292 CKO_01759
CKO_00292 CKO_04071
CKO_00292 CKO_01758
CKO_00292 CKO_00412
CKO_00293 CKO_03196
CKO_00293 CKO_03409
CKO_00293 CKO_00118
CKO_00293 CKO_04136
CKO_00293 CKO_02163
CKO_00293 CKO_00617
CKO_00293 CKO_00715
CKO_00293 CKO_00173
CKO_00293 CKO_01365
CKO_00293 CKO_03418
CKO_00293 CKO_04105
CKO_00293 CKO_02669
CKO_00293 CKO_03407
CKO_00296 CKO_00379
CKO_00296 CKO_00237
CKO_00296 CKO_03539
CKO_00296 CKO_01707
CKO_00296 CKO_02129
CKO_00296 CKO_04539
CKO_00296 CKO_04402
CKO_00296 CKO_01629
CKO_00296 CKO_04868
CKO_00296 CKO_02139
CKO_00296 CKO_04322
CKO_00296 CKO_03454
CKO_00296 CKO_02713
CKO_00296 CKO_00258
CKO_00296 CKO_04038
CKO_00296 CKO_02959
CKO_00296 CKO_00369
CKO_00299 CKO_02999
CKO_00299 CKO_01762
CKO_00299 CKO_00377
CKO_00299 CKO_01761
CKO_00299 CKO_01763
CKO_00299 CKO_03000
CKO_00299 CKO_03430
CKO_00309 CKO_03385
CKO_00309 CKO_03091
CKO_00309 CKO_05139
CKO_00309 CKO_04853
CKO_00309 CKO_03054
CKO_00309 CKO_03354
CKO_00311 CKO_02635
CKO_00311 CKO_01840
CKO_00311 CKO_02636
CKO_00316 CKO_04780
CKO_00316 CKO_00151
CKO_00321 CKO_00584
CKO_00321 CKO_01296
CKO_00329 CKO_01547
CKO_00329 CKO_02381
CKO_00329 CKO_00330
CKO_00329 CKO_00412
CKO_00329 CKO_01535
CKO_00329 CKO_03408
CKO_00329 CKO_04280
CKO_00329 CKO_01450
CKO_00329 CKO_00492
CKO_00329 CKO_03782
CKO_00329 CKO_00435
CKO_00329 CKO_02471
CKO_00329 CKO_00375
CKO_00329 CKO_05070
CKO_00329 CKO_03598
CKO_00329 CKO_03079
CKO_00329 CKO_01709
CKO_00329 CKO_03797
CKO_00329 CKO_03893
CKO_00329 CKO_04295
CKO_00329 CKO_01957
CKO_00329 CKO_03075
CKO_00329 CKO_03085
CKO_00329 CKO_01800
CKO_00329 CKO_01271
CKO_00329 CKO_03391
CKO_00329 CKO_03259
CKO_00329 CKO_04134
CKO_00329 CKO_01425
CKO_00329 CKO_04309
CKO_00329 CKO_04538
CKO_00329 CKO_03848
CKO_00329 CKO_04807
CKO_00329 CKO_01110
CKO_00329 CKO_03410
CKO_00329 CKO_01748
CKO_00329 CKO_00693
CKO_00329 CKO_00092
CKO_00329 CKO_03378
CKO_00329 CKO_01801
CKO_00329 CKO_00687
CKO_00329 CKO_01628
CKO_00329 CKO_00493
CKO_00330 CKO_00493
CKO_00330 CKO_01628
CKO_00330 CKO_01748
CKO_00330 CKO_00329
CKO_00330 CKO_01801
CKO_00330 CKO_01450
CKO_00330 CKO_03797
CKO_00330 CKO_00435
CKO_00330 CKO_00375
CKO_00330 CKO_02471
CKO_00330 CKO_00492
CKO_00330 CKO_05070
CKO_00330 CKO_01709
CKO_00330 CKO_03598
CKO_00330 CKO_03079
CKO_00330 CKO_03893
CKO_00330 CKO_00412
CKO_00330 CKO_02381
CKO_00330 CKO_01957
CKO_00330 CKO_04295
CKO_00330 CKO_03075
CKO_00330 CKO_01800
CKO_00330 CKO_03085
CKO_00330 CKO_03391
CKO_00330 CKO_01535
CKO_00330 CKO_01547
CKO_00330 CKO_03259
CKO_00330 CKO_03378
CKO_00330 CKO_03410
CKO_00330 CKO_00687
CKO_00330 CKO_01110
CKO_00330 CKO_04134
CKO_00330 CKO_01425
CKO_00330 CKO_04538
CKO_00330 CKO_04309
CKO_00330 CKO_03848
CKO_00332 CKO_03304
CKO_00332 CKO_03803
CKO_00332 CKO_01517
CKO_00332 CKO_01547
CKO_00332 CKO_03749
CKO_00332 CKO_00013
CKO_00332 CKO_03307
CKO_00332 CKO_03906
CKO_00332 CKO_01623
CKO_00332 CKO_03259
CKO_00332 CKO_01821
CKO_00332 CKO_02439
CKO_00332 CKO_00107
CKO_00332 CKO_01110
CKO_00332 CKO_04451
CKO_00332 CKO_03306
CKO_00332 CKO_02168
