ACL_0010 ACL_0011
ACL_0062 ACL_1176
ACL_0082 ACL_0028
ACL_0082 ACL_1329
ACL_0108 ACL_0983
ACL_0108 ACL_1290
ACL_0108 ACL_0971
ACL_0108 ACL_0829
ACL_0108 ACL_0981
ACL_0108 ACL_1173
ACL_0108 ACL_1169
ACL_0108 ACL_0978
ACL_0108 ACL_0988
ACL_0108 ACL_0985
ACL_0108 ACL_1289
ACL_0108 ACL_0987
ACL_0108 ACL_0986
ACL_0108 ACL_0808
ACL_0108 ACL_0701
ACL_0108 ACL_1174
ACL_0108 ACL_0984
ACL_0108 ACL_0973
ACL_0108 ACL_1332
ACL_0108 ACL_0977
ACL_0108 ACL_1168
ACL_0108 ACL_0982
ACL_0108 ACL_0972
ACL_0108 ACL_1090
ACL_0108 ACL_1167
ACL_0114 ACL_1293
ACL_0114 ACL_0172
ACL_0114 ACL_0828
ACL_0114 ACL_0305
ACL_0114 ACL_0808
ACL_0114 ACL_1399
ACL_0114 ACL_1090
ACL_0114 ACL_1396
ACL_0114 ACL_1321
ACL_0114 ACL_0171
ACL_0121 ACL_1215
ACL_0121 ACL_1343
ACL_0121 ACL_0467
ACL_0123 ACL_0125
ACL_0123 ACL_0124
ACL_0123 ACL_0466
ACL_0124 ACL_0125
ACL_0124 ACL_0123
ACL_0124 ACL_0466
ACL_0125 ACL_0124
ACL_0125 ACL_0123
ACL_0125 ACL_0466
ACL_0126 ACL_1374
ACL_0127 ACL_0701
ACL_0127 ACL_0058
ACL_0127 ACL_1289
ACL_0127 ACL_1158
ACL_0127 ACL_0391
ACL_0127 ACL_0821
ACL_0127 ACL_0691
ACL_0127 ACL_1290
ACL_0128 ACL_1090
ACL_0128 ACL_0350
ACL_0128 ACL_0894
ACL_0128 ACL_1293
ACL_0128 ACL_1402
ACL_0128 ACL_0236
ACL_0128 ACL_0893
ACL_0128 ACL_0247
ACL_0132 ACL_0325
ACL_0139 ACL_1093
ACL_0149 ACL_0852
ACL_0171 ACL_1321
ACL_0171 ACL_1293
ACL_0171 ACL_0114
ACL_0171 ACL_0305
ACL_0171 ACL_0172
ACL_0171 ACL_0828
ACL_0171 ACL_0808
ACL_0171 ACL_1399
ACL_0171 ACL_1396
ACL_0171 ACL_1090
ACL_0172 ACL_0171
ACL_0172 ACL_1321
ACL_0172 ACL_1293
ACL_0172 ACL_0114
ACL_0172 ACL_1396
ACL_0172 ACL_0828
ACL_0172 ACL_0305
ACL_0172 ACL_0808
ACL_0172 ACL_1399
ACL_0172 ACL_1090
ACL_0177 ACL_0458
ACL_0177 ACL_0503
ACL_0177 ACL_1329
ACL_0177 ACL_0028
ACL_0177 ACL_0460
ACL_0177 ACL_0459
ACL_0177 ACL_0457
ACL_0177 ACL_1333
ACL_0177 ACL_1310
ACL_0192 ACL_0492
ACL_0192 ACL_0557
ACL_0192 ACL_0701
ACL_0194 ACL_0694
ACL_0205 ACL_0018
ACL_0205 ACL_0963
ACL_0205 ACL_0680
ACL_0205 ACL_0062
ACL_0205 ACL_0849
ACL_0205 ACL_0532
ACL_0205 ACL_1374
ACL_0205 ACL_0253
ACL_0206 ACL_0683
ACL_0206 ACL_1139
ACL_0206 ACL_0802
ACL_0206 ACL_1155
ACL_0206 ACL_0876
ACL_0206 ACL_0381
ACL_0206 ACL_0698
ACL_0206 ACL_0701
ACL_0215 ACL_0217
ACL_0216 ACL_0219
ACL_0216 ACL_0022
ACL_0217 ACL_0879
ACL_0217 ACL_0215
ACL_0218 ACL_0221
ACL_0218 ACL_0880
ACL_0219 ACL_0221
ACL_0219 ACL_0562
ACL_0219 ACL_0216
ACL_0220 ACL_0879
ACL_0220 ACL_0880
ACL_0221 ACL_0219
ACL_0221 ACL_0218
ACL_0223 ACL_0800
ACL_0223 ACL_0224
ACL_0224 ACL_0503
ACL_0224 ACL_1310
ACL_0224 ACL_0223
ACL_0224 ACL_0028
ACL_0227 ACL_0873
ACL_0227 ACL_0547
ACL_0227 ACL_0689
ACL_0236 ACL_1293
ACL_0236 ACL_1402
ACL_0236 ACL_0894
ACL_0236 ACL_0893
ACL_0236 ACL_0247
ACL_0236 ACL_0128
ACL_0236 ACL_1090
ACL_0236 ACL_0350
ACL_0240 ACL_0963
ACL_0240 ACL_0962
ACL_0243 ACL_0402
ACL_0243 ACL_1209
ACL_0247 ACL_0894
ACL_0247 ACL_0236
ACL_0247 ACL_0893
ACL_0247 ACL_0128
ACL_0247 ACL_1090
ACL_0247 ACL_0350
ACL_0247 ACL_1402
ACL_0247 ACL_1293
ACL_0249 ACL_0250
ACL_0250 ACL_0249
ACL_0253 ACL_0062
ACL_0253 ACL_0205
ACL_0253 ACL_0963
ACL_0254 ACL_0701
ACL_0263 ACL_0280
ACL_0264 ACL_1358
ACL_0268 ACL_0280
ACL_0280 ACL_1282
ACL_0280 ACL_0263
ACL_0280 ACL_0268
ACL_0282 ACL_1037
ACL_0282 ACL_1358
ACL_0284 ACL_0413
ACL_0284 ACL_1037
ACL_0284 ACL_1358
ACL_0288 ACL_0891
ACL_0288 ACL_0025
ACL_0288 ACL_0326
ACL_0304 ACL_0808
ACL_0304 ACL_0701
ACL_0304 ACL_1289
ACL_0304 ACL_1090
ACL_0304 ACL_0314
ACL_0304 ACL_1290
ACL_0304 ACL_1385
ACL_0304 ACL_0862
ACL_0304 ACL_0829
ACL_0304 ACL_0793
ACL_0305 ACL_0828
ACL_0305 ACL_1090
ACL_0305 ACL_1321
ACL_0305 ACL_0171
ACL_0305 ACL_1293
ACL_0305 ACL_0808
ACL_0305 ACL_1396
ACL_0305 ACL_0172
ACL_0305 ACL_1399
ACL_0305 ACL_0114
ACL_0309 ACL_0832
ACL_0311 ACL_0655
ACL_0314 ACL_0304
ACL_0315 ACL_0351
ACL_0315 ACL_0850
ACL_0325 ACL_0047
ACL_0325 ACL_0033
ACL_0325 ACL_0398
ACL_0325 ACL_0132
ACL_0325 ACL_0690
ACL_0326 ACL_0891
ACL_0326 ACL_0288
ACL_0326 ACL_0025
ACL_0328 ACL_0600
ACL_0350 ACL_1090
ACL_0350 ACL_1293
ACL_0350 ACL_0236
ACL_0350 ACL_1402
ACL_0350 ACL_0894
ACL_0350 ACL_0893
ACL_0350 ACL_0247
ACL_0350 ACL_0128
ACL_0351 ACL_0315
ACL_0371 ACL_0707
ACL_0381 ACL_0949
ACL_0381 ACL_1139
ACL_0381 ACL_1155
ACL_0381 ACL_0683
ACL_0381 ACL_0876
ACL_0381 ACL_0206
ACL_0391 ACL_0949
ACL_0391 ACL_0127
ACL_0391 ACL_0691
ACL_0395 ACL_1093
ACL_0395 ACL_0047
ACL_0395 ACL_0397
ACL_0395 ACL_0398
ACL_0395 ACL_0396
ACL_0395 ACL_1309
ACL_0396 ACL_0398
ACL_0396 ACL_0397
ACL_0396 ACL_0047
ACL_0396 ACL_1093
ACL_0396 ACL_1309
ACL_0396 ACL_0395
ACL_0397 ACL_0047
ACL_0397 ACL_0398
ACL_0397 ACL_0396
ACL_0397 ACL_1093
ACL_0397 ACL_1309
ACL_0397 ACL_0395
ACL_0398 ACL_0690
ACL_0398 ACL_0325
ACL_0398 ACL_0047
ACL_0398 ACL_0691
ACL_0398 ACL_0397
ACL_0398 ACL_0033
ACL_0398 ACL_0032
ACL_0398 ACL_0396
ACL_0398 ACL_0395
ACL_0398 ACL_1093
ACL_0398 ACL_1309
ACL_0400 ACL_0685
ACL_0400 ACL_0062
ACL_0400 ACL_0699
ACL_0400 ACL_0402
ACL_0400 ACL_1395
ACL_0400 ACL_1209
ACL_0400 ACL_0962
ACL_0400 ACL_1358
ACL_0402 ACL_0062
ACL_0402 ACL_0400
ACL_0402 ACL_0685
ACL_0402 ACL_1090
ACL_0402 ACL_0962
ACL_0402 ACL_0699
ACL_0402 ACL_0243
ACL_0402 ACL_1395
ACL_0402 ACL_1358
ACL_0403 ACL_1028
ACL_0413 ACL_1092
ACL_0413 ACL_0284
ACL_0413 ACL_1091
ACL_0413 ACL_0430
ACL_0413 ACL_1358
ACL_0422 ACL_0713
ACL_0430 ACL_1395
ACL_0430 ACL_0413
ACL_0457 ACL_0028
ACL_0457 ACL_0460
ACL_0457 ACL_0503
ACL_0457 ACL_0177
ACL_0457 ACL_0462
ACL_0457 ACL_0458
ACL_0457 ACL_0461
ACL_0457 ACL_0459
ACL_0457 ACL_0505
ACL_0457 ACL_1310
ACL_0458 ACL_0462
ACL_0458 ACL_0503
ACL_0458 ACL_0028
ACL_0458 ACL_0461
ACL_0458 ACL_0460
ACL_0458 ACL_0177
ACL_0458 ACL_0459
ACL_0458 ACL_0505
ACL_0458 ACL_0457
ACL_0458 ACL_1310
ACL_0459 ACL_1310
ACL_0459 ACL_0503
ACL_0459 ACL_0462
ACL_0459 ACL_0458
ACL_0459 ACL_0028
ACL_0459 ACL_0177
ACL_0459 ACL_0460
ACL_0459 ACL_0461
ACL_0459 ACL_0505
ACL_0459 ACL_0457
ACL_0460 ACL_0462
ACL_0460 ACL_0503
ACL_0460 ACL_0458
ACL_0460 ACL_0028
ACL_0460 ACL_0177
ACL_0460 ACL_0461
ACL_0460 ACL_0459
ACL_0460 ACL_0505
ACL_0460 ACL_0457
ACL_0460 ACL_1310
ACL_0461 ACL_0504
ACL_0461 ACL_0464
ACL_0461 ACL_0462
ACL_0461 ACL_0458
ACL_0461 ACL_0463
ACL_0461 ACL_0459
ACL_0461 ACL_0460
ACL_0461 ACL_0505
ACL_0461 ACL_0457
ACL_0461 ACL_1310
ACL_0462 ACL_0457
ACL_0462 ACL_0464
ACL_0462 ACL_0458
ACL_0462 ACL_0505
ACL_0462 ACL_0460
ACL_0462 ACL_0461
ACL_0462 ACL_0459
ACL_0463 ACL_0464
ACL_0463 ACL_0465
ACL_0463 ACL_0505
ACL_0463 ACL_0461
ACL_0463 ACL_0504
ACL_0464 ACL_0462
ACL_0464 ACL_0463
ACL_0464 ACL_0504
ACL_0464 ACL_0461
ACL_0464 ACL_0505
ACL_0464 ACL_0740
ACL_0465 ACL_0463
ACL_0465 ACL_0504
ACL_0465 ACL_0740
ACL_0466 ACL_0124
ACL_0466 ACL_0125
ACL_0466 ACL_0123
ACL_0467 ACL_1215
ACL_0467 ACL_0121
ACL_0467 ACL_1343
ACL_0471 ACL_0472
ACL_0471 ACL_1285
ACL_0471 ACL_0473
ACL_0471 ACL_1284
ACL_0471 ACL_1286
ACL_0471 ACL_0474
ACL_0471 ACL_1283
ACL_0472 ACL_1286
ACL_0472 ACL_1283
ACL_0472 ACL_0474
ACL_0472 ACL_1284
ACL_0472 ACL_1285
ACL_0472 ACL_0471
ACL_0472 ACL_0473
ACL_0473 ACL_0472
ACL_0473 ACL_0471
ACL_0473 ACL_1285
ACL_0473 ACL_1284
ACL_0473 ACL_1286
ACL_0473 ACL_0474
ACL_0473 ACL_1283
ACL_0474 ACL_0471
ACL_0474 ACL_0472
ACL_0474 ACL_1285
ACL_0474 ACL_0473
ACL_0474 ACL_1283
ACL_0474 ACL_1286
ACL_0474 ACL_1284
ACL_0476 ACL_0477
ACL_0477 ACL_0476
ACL_0487 ACL_0533
ACL_0492 ACL_0192
ACL_0492 ACL_0698
ACL_0492 ACL_0701
ACL_0492 ACL_0557
ACL_0496 ACL_1329
ACL_0497 ACL_0500
ACL_0497 ACL_0498
ACL_0497 ACL_0499
ACL_0498 ACL_0500
ACL_0498 ACL_0497
ACL_0498 ACL_0499
ACL_0499 ACL_0498
ACL_0499 ACL_0500
ACL_0499 ACL_0497
ACL_0500 ACL_0498
ACL_0500 ACL_0499
ACL_0500 ACL_0497
ACL_0503 ACL_1310
ACL_0503 ACL_0458
ACL_0503 ACL_0028
ACL_0503 ACL_0460
ACL_0503 ACL_0177
ACL_0503 ACL_0224
ACL_0503 ACL_0504
ACL_0503 ACL_0459
ACL_0503 ACL_0457
ACL_0504 ACL_0464
ACL_0504 ACL_0465
ACL_0504 ACL_0503
ACL_0504 ACL_0463
ACL_0504 ACL_0505
ACL_0504 ACL_0461
ACL_0505 ACL_0464
ACL_0505 ACL_0462
ACL_0505 ACL_0458
ACL_0505 ACL_0463
ACL_0505 ACL_0460
ACL_0505 ACL_0504
ACL_0505 ACL_0461
ACL_0505 ACL_0459
ACL_0505 ACL_0457
ACL_0505 ACL_1310
ACL_0509 ACL_0513
ACL_0513 ACL_0509
ACL_0518 ACL_0519
ACL_0518 ACL_0529
ACL_0518 ACL_0528
ACL_0519 ACL_1062
ACL_0519 ACL_0839
ACL_0519 ACL_0849
ACL_0519 ACL_0039
ACL_0519 ACL_0518
ACL_0519 ACL_0528
ACL_0528 ACL_1062
ACL_0528 ACL_0529
ACL_0528 ACL_0657
ACL_0528 ACL_0519
ACL_0528 ACL_0839
ACL_0528 ACL_0656
ACL_0528 ACL_0849
ACL_0528 ACL_0531
ACL_0528 ACL_0039
ACL_0528 ACL_0655
ACL_0528 ACL_0518
ACL_0529 ACL_0528
ACL_0529 ACL_0518
ACL_0531 ACL_0655
ACL_0531 ACL_0528
ACL_0532 ACL_0205
ACL_0533 ACL_0487
ACL_0542 ACL_0047
ACL_0542 ACL_0691
ACL_0542 ACL_0690
ACL_0542 ACL_0032
ACL_0547 ACL_0689
ACL_0547 ACL_0227
ACL_0547 ACL_0873
ACL_0552 ACL_1307
ACL_0556 ACL_1149
ACL_0557 ACL_0192
ACL_0557 ACL_0558
ACL_0557 ACL_0701
ACL_0557 ACL_1374
ACL_0557 ACL_0492
ACL_0558 ACL_0557
ACL_0562 ACL_0022
ACL_0562 ACL_0219
ACL_0600 ACL_0328
ACL_0655 ACL_0311
ACL_0655 ACL_0657
ACL_0655 ACL_0656
ACL_0655 ACL_1064
ACL_0655 ACL_0528
ACL_0655 ACL_0531
ACL_0656 ACL_0655
ACL_0656 ACL_0528
ACL_0657 ACL_0655
ACL_0657 ACL_0528
ACL_0659 ACL_0660
ACL_0659 ACL_1413
ACL_0659 ACL_0668
ACL_0659 ACL_0661
ACL_0660 ACL_0659
ACL_0660 ACL_0661
ACL_0660 ACL_0668
ACL_0660 ACL_1413
ACL_0661 ACL_0668
ACL_0661 ACL_1413
ACL_0661 ACL_0659
ACL_0661 ACL_0660
ACL_0668 ACL_0659
ACL_0668 ACL_0660
ACL_0668 ACL_0661
ACL_0668 ACL_1413
ACL_0670 ACL_0780
ACL_0670 ACL_1420
ACL_0680 ACL_0018
ACL_0680 ACL_0699
ACL_0680 ACL_0205
ACL_0680 ACL_0062
ACL_0680 ACL_0698
ACL_0680 ACL_1374
ACL_0680 ACL_0683
ACL_0683 ACL_0680
ACL_0683 ACL_0381
ACL_0683 ACL_0698
ACL_0683 ACL_0206
ACL_0683 ACL_0701
ACL_0683 ACL_0949
ACL_0683 ACL_1139
ACL_0683 ACL_0802
ACL_0683 ACL_0058
ACL_0685 ACL_0400
ACL_0685 ACL_0062
ACL_0685 ACL_1395
ACL_0685 ACL_0402
ACL_0685 ACL_0699
ACL_0685 ACL_1209
ACL_0685 ACL_0962
ACL_0685 ACL_1358
ACL_0689 ACL_0873
ACL_0689 ACL_0547
ACL_0689 ACL_1149
ACL_0689 ACL_0227
ACL_0690 ACL_0398
ACL_0690 ACL_0325
ACL_0690 ACL_0032
ACL_0690 ACL_0542
ACL_0690 ACL_0047
ACL_0690 ACL_0691
ACL_0691 ACL_0821
ACL_0691 ACL_0542
ACL_0691 ACL_0127
ACL_0691 ACL_0047
ACL_0691 ACL_0398
ACL_0691 ACL_0690
ACL_0691 ACL_0701
ACL_0691 ACL_0058
ACL_0691 ACL_0033
ACL_0691 ACL_0391
ACL_0691 ACL_1158
ACL_0694 ACL_0194
ACL_0698 ACL_0492
ACL_0698 ACL_0701
ACL_0698 ACL_0949
ACL_0698 ACL_0058
ACL_0698 ACL_0802
ACL_0698 ACL_0683
ACL_0698 ACL_0206
ACL_0698 ACL_0829
ACL_0698 ACL_1385
ACL_0698 ACL_0680
ACL_0699 ACL_1206
ACL_0699 ACL_1312
ACL_0699 ACL_0400
ACL_0699 ACL_0680
ACL_0699 ACL_0062
ACL_0699 ACL_1028
ACL_0699 ACL_1329
ACL_0699 ACL_0849
ACL_0699 ACL_0402
ACL_0699 ACL_1395
ACL_0699 ACL_1311
ACL_0699 ACL_1374
ACL_0699 ACL_1333
ACL_0699 ACL_0685
ACL_0699 ACL_1090
ACL_0699 ACL_1358
ACL_0699 ACL_1176
ACL_0701 ACL_0829
ACL_0701 ACL_0691
ACL_0701 ACL_0869
ACL_0701 ACL_0192
ACL_0701 ACL_0793
ACL_0701 ACL_0206
ACL_0701 ACL_0698
ACL_0701 ACL_0557
ACL_0701 ACL_0949
ACL_0701 ACL_0108
ACL_0701 ACL_0058
ACL_0701 ACL_1155
ACL_0701 ACL_0492
ACL_0701 ACL_0254
ACL_0701 ACL_0304
ACL_0701 ACL_1158
ACL_0701 ACL_0683
ACL_0701 ACL_0821
ACL_0701 ACL_1332
ACL_0701 ACL_0876
ACL_0701 ACL_0127
ACL_0701 ACL_1385
ACL_0707 ACL_0371
ACL_0713 ACL_0422
ACL_0715 ACL_0730
ACL_0730 ACL_0715
ACL_0740 ACL_0464
ACL_0740 ACL_0465
ACL_0763 ACL_0790
ACL_0773 ACL_0774
ACL_0773 ACL_0775
ACL_0774 ACL_0775
ACL_0774 ACL_0773
ACL_0775 ACL_0774
ACL_0775 ACL_0773
ACL_0777 ACL_0047
ACL_0780 ACL_1420
ACL_0780 ACL_0670
ACL_0786 ACL_0787
ACL_0787 ACL_0786
ACL_0787 ACL_0788
ACL_0788 ACL_0787
ACL_0788 ACL_0789
ACL_0789 ACL_1228
ACL_0789 ACL_0022
ACL_0789 ACL_0788
ACL_0790 ACL_1317
ACL_0790 ACL_0763
ACL_0793 ACL_1385
ACL_0793 ACL_0829
ACL_0793 ACL_0701
ACL_0793 ACL_0304
ACL_0797 ACL_0799
ACL_0797 ACL_1327
ACL_0798 ACL_0800
ACL_0798 ACL_0799
ACL_0799 ACL_0798
ACL_0799 ACL_1327
ACL_0799 ACL_0797
ACL_0800 ACL_0798
ACL_0800 ACL_0223
ACL_0802 ACL_0698
ACL_0802 ACL_0683
ACL_0802 ACL_0206
ACL_0808 ACL_0114
ACL_0808 ACL_0172
ACL_0808 ACL_0305
ACL_0808 ACL_1289
ACL_0808 ACL_1399
ACL_0808 ACL_1155
ACL_0808 ACL_0108
ACL_0808 ACL_0304
ACL_0808 ACL_0171
ACL_0808 ACL_1090
ACL_0808 ACL_0876
ACL_0808 ACL_1432
ACL_0808 ACL_1290
ACL_0814 ACL_0883
ACL_0821 ACL_0701
ACL_0821 ACL_0127
ACL_0821 ACL_0691
ACL_0821 ACL_1158
ACL_0821 ACL_0058
ACL_0821 ACL_0876
ACL_0828 ACL_0305
ACL_0828 ACL_1399
ACL_0828 ACL_0171
ACL_0828 ACL_1321
ACL_0828 ACL_1090
ACL_0828 ACL_1125
ACL_0828 ACL_1293
ACL_0828 ACL_0114
ACL_0828 ACL_0172
ACL_0829 ACL_1385
ACL_0829 ACL_1373
ACL_0829 ACL_0793
ACL_0829 ACL_0698
ACL_0829 ACL_0701
ACL_0829 ACL_0108
ACL_0829 ACL_0304
ACL_0829 ACL_1332
ACL_0832 ACL_0309
ACL_0839 ACL_1045
ACL_0839 ACL_1062
ACL_0839 ACL_0519
ACL_0839 ACL_0849
ACL_0839 ACL_0039
ACL_0839 ACL_0528
ACL_0839 ACL_1052
ACL_0849 ACL_1374
ACL_0849 ACL_1064
ACL_0849 ACL_0528
ACL_0849 ACL_0962
ACL_0849 ACL_1358
ACL_0849 ACL_0018
ACL_0849 ACL_0205
ACL_0849 ACL_0062
ACL_0849 ACL_0839
ACL_0849 ACL_0519
ACL_0849 ACL_0699
ACL_0849 ACL_1395
ACL_0849 ACL_0039
ACL_0850 ACL_0315
ACL_0852 ACL_0149
ACL_0862 ACL_0304
ACL_0869 ACL_1385
ACL_0869 ACL_0701
ACL_0873 ACL_0227
ACL_0873 ACL_0547
ACL_0873 ACL_0689
ACL_0876 ACL_1290
ACL_0876 ACL_0381
ACL_0876 ACL_0206
ACL_0876 ACL_0808
ACL_0876 ACL_0701
ACL_0876 ACL_1289
ACL_0876 ACL_1139
ACL_0876 ACL_1155
ACL_0876 ACL_0821
ACL_0877 ACL_1374
ACL_0879 ACL_0220
ACL_0879 ACL_0217
ACL_0880 ACL_0220
ACL_0880 ACL_0218
ACL_0883 ACL_0814
ACL_0891 ACL_0326
ACL_0891 ACL_0288
ACL_0891 ACL_1149
ACL_0893 ACL_0236
ACL_0893 ACL_0894
ACL_0893 ACL_0247
ACL_0893 ACL_1293
ACL_0893 ACL_1402
ACL_0893 ACL_0128
ACL_0893 ACL_1090
ACL_0893 ACL_0350
ACL_0894 ACL_0893
ACL_0894 ACL_1293
ACL_0894 ACL_0128
ACL_0894 ACL_0236
ACL_0894 ACL_1402
ACL_0894 ACL_0247
ACL_0894 ACL_1090
ACL_0894 ACL_0350
ACL_0949 ACL_0381
ACL_0949 ACL_0698
ACL_0949 ACL_0701
ACL_0949 ACL_1139
ACL_0949 ACL_0058
ACL_0949 ACL_0391
ACL_0949 ACL_0683
ACL_0955 ACL_0956
ACL_0955 ACL_0958
ACL_0955 ACL_0957
ACL_0956 ACL_0958
ACL_0956 ACL_0957
ACL_0956 ACL_0955
ACL_0957 ACL_0955
ACL_0957 ACL_0958
ACL_0957 ACL_0956
ACL_0958 ACL_0956
ACL_0958 ACL_0957
ACL_0958 ACL_0955
ACL_0962 ACL_1028
ACL_0962 ACL_0400
ACL_0962 ACL_0240
ACL_0962 ACL_1312
ACL_0962 ACL_0849
ACL_0962 ACL_0402
ACL_0962 ACL_1395
ACL_0962 ACL_1311
ACL_0962 ACL_1206
ACL_0962 ACL_0685
ACL_0962 ACL_1090
ACL_0962 ACL_1176
ACL_0962 ACL_1358
ACL_0963 ACL_0240
ACL_0963 ACL_0205
ACL_0963 ACL_0253
ACL_0971 ACL_0043
ACL_0971 ACL_0108
ACL_0971 ACL_1167
ACL_0972 ACL_0043
ACL_0972 ACL_0108
ACL_0972 ACL_1168
ACL_0973 ACL_1169
ACL_0973 ACL_0043
ACL_0973 ACL_0108
ACL_0975 ACL_0976
ACL_0976 ACL_0043
ACL_0976 ACL_0975
ACL_0977 ACL_1172
ACL_0977 ACL_0043
ACL_0977 ACL_0108
ACL_0978 ACL_0108
ACL_0978 ACL_1173
ACL_0978 ACL_0043
ACL_0981 ACL_0983
ACL_0981 ACL_0988
ACL_0981 ACL_0043
ACL_0981 ACL_0987
ACL_0981 ACL_0986
ACL_0981 ACL_0984
ACL_0981 ACL_0108
ACL_0981 ACL_0985
ACL_0981 ACL_0982
ACL_0982 ACL_0987
ACL_0982 ACL_0983
ACL_0982 ACL_0981
ACL_0982 ACL_0988
ACL_0982 ACL_0043
ACL_0982 ACL_0986
ACL_0982 ACL_0984
ACL_0982 ACL_0108
ACL_0982 ACL_0985
ACL_0983 ACL_0984
ACL_0983 ACL_0981
ACL_0983 ACL_0108
ACL_0983 ACL_0985
ACL_0983 ACL_0982
ACL_0983 ACL_0988
ACL_0983 ACL_0043
ACL_0983 ACL_0986
ACL_0983 ACL_0987
ACL_0984 ACL_0981
ACL_0984 ACL_0983
ACL_0984 ACL_0988
ACL_0984 ACL_0987
ACL_0984 ACL_0986
ACL_0984 ACL_0043
ACL_0984 ACL_0108
ACL_0984 ACL_0985
ACL_0984 ACL_0982
ACL_0985 ACL_0983
ACL_0985 ACL_0984
ACL_0985 ACL_0988
ACL_0985 ACL_0043
ACL_0985 ACL_0982
ACL_0985 ACL_0986
ACL_0985 ACL_0981
ACL_0985 ACL_0987
ACL_0985 ACL_0108
ACL_0986 ACL_0988
ACL_0986 ACL_0983
ACL_0986 ACL_0981
ACL_0986 ACL_0987
ACL_0986 ACL_0043
ACL_0986 ACL_0985
ACL_0986 ACL_0984
ACL_0986 ACL_0108
ACL_0986 ACL_0982
ACL_0987 ACL_0984
ACL_0987 ACL_0108
ACL_0987 ACL_0985
ACL_0987 ACL_0982
ACL_0987 ACL_0983
ACL_0987 ACL_0986
ACL_0987 ACL_0981
ACL_0987 ACL_0043
ACL_0987 ACL_0988
ACL_0988 ACL_0983
ACL_0988 ACL_0981
ACL_0988 ACL_0987
ACL_0988 ACL_0043
ACL_0988 ACL_0986
ACL_0988 ACL_0984
ACL_0988 ACL_0108
ACL_0988 ACL_0985
ACL_0988 ACL_0982
ACL_1001 ACL_1002
ACL_1001 ACL_1003
ACL_1002 ACL_1001
ACL_1002 ACL_1003
ACL_1003 ACL_1001
ACL_1003 ACL_1002
ACL_1007 ACL_1010
ACL_1010 ACL_1007
ACL_1028 ACL_1151
ACL_1028 ACL_0028
ACL_1028 ACL_1312
ACL_1028 ACL_0062
ACL_1028 ACL_0403
