Htur_0003 Htur_3509
Htur_0084 Htur_2165
Htur_0084 Htur_0569
Htur_0084 Htur_1357
Htur_0084 Htur_0853
Htur_0084 Htur_0435
Htur_0084 Htur_0722
Htur_0084 Htur_1143
Htur_0084 Htur_2945
Htur_0084 Htur_1202
Htur_0084 Htur_0751
Htur_0084 Htur_1166
Htur_0084 Htur_3069
Htur_0084 Htur_2645
Htur_0084 Htur_3758
Htur_0084 Htur_0087
Htur_0084 Htur_1224
Htur_0087 Htur_2658
Htur_0087 Htur_3582
Htur_0087 Htur_2583
Htur_0087 Htur_0569
Htur_0087 Htur_0135
Htur_0087 Htur_3758
Htur_0087 Htur_0084
Htur_0087 Htur_2783
Htur_0087 Htur_0722
Htur_0092 Htur_2962
Htur_0092 Htur_2960
Htur_0092 Htur_3498
Htur_0092 Htur_1744
Htur_0092 Htur_2961
Htur_0105 Htur_0079
Htur_0105 Htur_0107
Htur_0105 Htur_1791
Htur_0105 Htur_3153
Htur_0107 Htur_1900
Htur_0107 Htur_1869
Htur_0107 Htur_0105
Htur_0107 Htur_3153
Htur_0107 Htur_1791
Htur_0119 Htur_2464
Htur_0119 Htur_3479
Htur_0119 Htur_1945
Htur_0119 Htur_0567
Htur_0119 Htur_2540
Htur_0119 Htur_2255
Htur_0119 Htur_2203
Htur_0119 Htur_1422
Htur_0119 Htur_1478
Htur_0135 Htur_3547
Htur_0135 Htur_0087
Htur_0147 Htur_2395
Htur_0147 Htur_3310
Htur_0147 Htur_0066
Htur_0147 Htur_1674
Htur_0147 Htur_2937
Htur_0147 Htur_0783
Htur_0147 Htur_2396
Htur_0147 Htur_0818
Htur_0147 Htur_3034
Htur_0147 Htur_0628
Htur_0147 Htur_1013
Htur_0167 Htur_0168
Htur_0168 Htur_0167
Htur_0169 Htur_0241
Htur_0169 Htur_3087
Htur_0169 Htur_0170
Htur_0169 Htur_1649
Htur_0169 Htur_2855
Htur_0169 Htur_3626
Htur_0169 Htur_3039
Htur_0169 Htur_1650
Htur_0169 Htur_2452
Htur_0169 Htur_0174
Htur_0170 Htur_3087
Htur_0170 Htur_0241
Htur_0170 Htur_1649
Htur_0170 Htur_0169
Htur_0170 Htur_2855
Htur_0170 Htur_3039
Htur_0170 Htur_3626
Htur_0170 Htur_1650
Htur_0170 Htur_2452
Htur_0170 Htur_0174
Htur_0174 Htur_3087
Htur_0174 Htur_2811
Htur_0174 Htur_1074
Htur_0174 Htur_1649
Htur_0174 Htur_0170
Htur_0174 Htur_1158
Htur_0174 Htur_1153
Htur_0174 Htur_0169
Htur_0174 Htur_3626
Htur_0174 Htur_2942
Htur_0174 Htur_1650
Htur_0174 Htur_2452
Htur_0174 Htur_3015
Htur_0182 Htur_3087
Htur_0182 Htur_0873
Htur_0185 Htur_0188
Htur_0185 Htur_3246
Htur_0188 Htur_0185
Htur_0188 Htur_3675
Htur_0196 Htur_0498
Htur_0196 Htur_1200
Htur_0196 Htur_1907
Htur_0196 Htur_0525
Htur_0205 Htur_0910
Htur_0213 Htur_0214
Htur_0213 Htur_0818
Htur_0213 Htur_2930
Htur_0213 Htur_1886
Htur_0214 Htur_0213
Htur_0214 Htur_2930
Htur_0217 Htur_0324
Htur_0217 Htur_0791
Htur_0222 Htur_1121
Htur_0222 Htur_2942
Htur_0222 Htur_2811
Htur_0222 Htur_1170
Htur_0222 Htur_1983
Htur_0222 Htur_1074
Htur_0222 Htur_1153
Htur_0222 Htur_1158
Htur_0224 Htur_2437
Htur_0224 Htur_3112
Htur_0241 Htur_3087
Htur_0241 Htur_2811
Htur_0241 Htur_1649
Htur_0241 Htur_0170
Htur_0241 Htur_1158
Htur_0241 Htur_1153
Htur_0241 Htur_0169
Htur_0241 Htur_3626
Htur_0241 Htur_1074
Htur_0241 Htur_2942
Htur_0241 Htur_1650
Htur_0241 Htur_2452
Htur_0241 Htur_3015
Htur_0242 Htur_3038
Htur_0242 Htur_3573
Htur_0246 Htur_3232
Htur_0246 Htur_0247
Htur_0246 Htur_3484
Htur_0246 Htur_1469
Htur_0247 Htur_2707
Htur_0247 Htur_0246
Htur_0252 Htur_1121
Htur_0252 Htur_0783
Htur_0252 Htur_1170
Htur_0252 Htur_1013
Htur_0252 Htur_1983
Htur_0252 Htur_0253
Htur_0252 Htur_1674
Htur_0252 Htur_2045
Htur_0252 Htur_3491
Htur_0253 Htur_1121
Htur_0253 Htur_0783
Htur_0253 Htur_1170
Htur_0253 Htur_1013
Htur_0253 Htur_1983
Htur_0253 Htur_0252
Htur_0253 Htur_1674
Htur_0253 Htur_2045
Htur_0253 Htur_3491
Htur_0254 Htur_0805
Htur_0254 Htur_1121
Htur_0254 Htur_0016
Htur_0254 Htur_1664
Htur_0254 Htur_1170
Htur_0254 Htur_1057
Htur_0254 Htur_3198
Htur_0254 Htur_1754
Htur_0254 Htur_0331
Htur_0254 Htur_1663
Htur_0254 Htur_1983
Htur_0254 Htur_0529
Htur_0254 Htur_0029
Htur_0254 Htur_3570
Htur_0256 Htur_1443
Htur_0256 Htur_3594
Htur_0256 Htur_3015
Htur_0256 Htur_3469
Htur_0256 Htur_1607
Htur_0256 Htur_3008
Htur_0256 Htur_2314
Htur_0256 Htur_1862
Htur_0256 Htur_2055
Htur_0256 Htur_2811
Htur_0256 Htur_1440
Htur_0256 Htur_1153
Htur_0256 Htur_1158
Htur_0256 Htur_1985
Htur_0256 Htur_3212
Htur_0256 Htur_1701
Htur_0256 Htur_1438
Htur_0256 Htur_3597
Htur_0256 Htur_2942
Htur_0256 Htur_1986
Htur_0256 Htur_2793
Htur_0256 Htur_3596
Htur_0256 Htur_2738
Htur_0256 Htur_1074
Htur_0256 Htur_1437
Htur_0256 Htur_2313
Htur_0256 Htur_3198
Htur_0256 Htur_3595
Htur_0256 Htur_1605
Htur_0256 Htur_1442
Htur_0256 Htur_2054
Htur_0256 Htur_1604
Htur_0282 Htur_1004
Htur_0282 Htur_1005
Htur_0284 Htur_0572
Htur_0284 Htur_1629
Htur_0284 Htur_0853
Htur_0284 Htur_1600
Htur_0284 Htur_0435
Htur_0284 Htur_0751
Htur_0284 Htur_1904
Htur_0284 Htur_1166
Htur_0284 Htur_2645
Htur_0295 Htur_2494
Htur_0304 Htur_3494
Htur_0304 Htur_1831
Htur_0304 Htur_0306
Htur_0304 Htur_0780
Htur_0304 Htur_1832
Htur_0304 Htur_0305
Htur_0304 Htur_1830
Htur_0305 Htur_3494
Htur_0305 Htur_0304
Htur_0305 Htur_1831
Htur_0305 Htur_0306
Htur_0305 Htur_0780
Htur_0305 Htur_1832
Htur_0305 Htur_1830
Htur_0306 Htur_0780
Htur_0306 Htur_1830
Htur_0306 Htur_1832
Htur_0306 Htur_0304
Htur_0306 Htur_0305
Htur_0306 Htur_3494
Htur_0306 Htur_1831
Htur_0319 Htur_3034
Htur_0319 Htur_3310
Htur_0319 Htur_2927
Htur_0319 Htur_2937
Htur_0319 Htur_3169
Htur_0323 Htur_1664
Htur_0323 Htur_0789
Htur_0323 Htur_0779
Htur_0323 Htur_3515
Htur_0323 Htur_2266
Htur_0323 Htur_0331
Htur_0323 Htur_1663
Htur_0323 Htur_0324
Htur_0323 Htur_1729
Htur_0323 Htur_3296
Htur_0323 Htur_1073
Htur_0324 Htur_0789
Htur_0324 Htur_0323
Htur_0324 Htur_1073
Htur_0324 Htur_0791
Htur_0324 Htur_3515
Htur_0324 Htur_2266
Htur_0324 Htur_0217
Htur_0324 Htur_0325
Htur_0325 Htur_0327
Htur_0325 Htur_0324
Htur_0326 Htur_0328
Htur_0326 Htur_0327
Htur_0326 Htur_0330
Htur_0327 Htur_0326
Htur_0327 Htur_0325
Htur_0328 Htur_0326
Htur_0330 Htur_0326
Htur_0330 Htur_3361
Htur_0330 Htur_0935
Htur_0330 Htur_3036
Htur_0330 Htur_1510
Htur_0330 Htur_0933
Htur_0330 Htur_1985
Htur_0330 Htur_2266
Htur_0330 Htur_0547
Htur_0330 Htur_1986
Htur_0330 Htur_0331
Htur_0330 Htur_0936
Htur_0330 Htur_3728
Htur_0330 Htur_0786
Htur_0330 Htur_1073
Htur_0330 Htur_0934
Htur_0330 Htur_1812
Htur_0330 Htur_3133
Htur_0330 Htur_0924
Htur_0331 Htur_1121
Htur_0331 Htur_0016
Htur_0331 Htur_0805
Htur_0331 Htur_0789
Htur_0331 Htur_1664
Htur_0331 Htur_0323
Htur_0331 Htur_0330
Htur_0331 Htur_0779
Htur_0331 Htur_3515
Htur_0331 Htur_1170
Htur_0331 Htur_1057
Htur_0331 Htur_1754
Htur_0331 Htur_1663
Htur_0331 Htur_0254
Htur_0331 Htur_0529
Htur_0331 Htur_3296
Htur_0331 Htur_1983
Htur_0331 Htur_0029
Htur_0331 Htur_3570
Htur_0335 Htur_3766
Htur_0350 Htur_2451
Htur_0350 Htur_1668
Htur_0350 Htur_2557
Htur_0350 Htur_1470
Htur_0350 Htur_2524
Htur_0350 Htur_0844
Htur_0350 Htur_0760
Htur_0351 Htur_2524
Htur_0351 Htur_0760
Htur_0351 Htur_1470
Htur_0351 Htur_1668
Htur_0351 Htur_2557
Htur_0351 Htur_0844
Htur_0351 Htur_0352
Htur_0351 Htur_2451
Htur_0352 Htur_0760
Htur_0352 Htur_1470
Htur_0352 Htur_1668
Htur_0352 Htur_2557
Htur_0352 Htur_0844
Htur_0352 Htur_2451
Htur_0352 Htur_0351
Htur_0352 Htur_2524
Htur_0353 Htur_0354
Htur_0353 Htur_2524
Htur_0353 Htur_0760
Htur_0353 Htur_1470
Htur_0353 Htur_1668
Htur_0353 Htur_2557
Htur_0353 Htur_0844
Htur_0353 Htur_2451
Htur_0354 Htur_2524
Htur_0354 Htur_0353
Htur_0354 Htur_0760
Htur_0354 Htur_1470
Htur_0354 Htur_1668
Htur_0354 Htur_2557
Htur_0354 Htur_0844
Htur_0354 Htur_2451
Htur_0356 Htur_1099
Htur_0356 Htur_0978
Htur_0356 Htur_1877
Htur_0356 Htur_0976
Htur_0356 Htur_2666
Htur_0356 Htur_0927
Htur_0356 Htur_1719
Htur_0377 Htur_1609
Htur_0389 Htur_0503
Htur_0389 Htur_0978
Htur_0389 Htur_2345
Htur_0389 Htur_2061
Htur_0389 Htur_2346
Htur_0389 Htur_1440
Htur_0389 Htur_3036
Htur_0389 Htur_0896
Htur_0389 Htur_1328
Htur_0389 Htur_1985
Htur_0389 Htur_0944
Htur_0389 Htur_1946
Htur_0389 Htur_3595
Htur_0389 Htur_2310
Htur_0389 Htur_0976
Htur_0389 Htur_0011
Htur_0389 Htur_1442
Htur_0389 Htur_1735
Htur_0389 Htur_1986
Htur_0389 Htur_1729
Htur_0389 Htur_1711
Htur_0389 Htur_0502
Htur_0389 Htur_1926
Htur_0389 Htur_1443
Htur_0389 Htur_1607
Htur_0389 Htur_0010
Htur_0389 Htur_1099
Htur_0389 Htur_2062
Htur_0402 Htur_0528
Htur_0402 Htur_0861
Htur_0402 Htur_1422
Htur_0402 Htur_1478
Htur_0402 Htur_2617
Htur_0415 Htur_0459
Htur_0435 Htur_1443
Htur_0435 Htur_0284
Htur_0435 Htur_3596
Htur_0435 Htur_0751
Htur_0435 Htur_1904
Htur_0435 Htur_1437
Htur_0435 Htur_1166
Htur_0435 Htur_3069
Htur_0435 Htur_1605
Htur_0435 Htur_1442
Htur_0435 Htur_1604
Htur_0435 Htur_2545
Htur_0435 Htur_0622
Htur_0435 Htur_1985
Htur_0435 Htur_1629
Htur_0435 Htur_3597
Htur_0435 Htur_1438
Htur_0435 Htur_1986
Htur_0435 Htur_0084
Htur_0435 Htur_0853
Htur_0435 Htur_0844
Htur_0435 Htur_3008
Htur_0459 Htur_0415
Htur_0463 Htur_2093
Htur_0463 Htur_0464
Htur_0463 Htur_2248
Htur_0463 Htur_2249
Htur_0463 Htur_3105
Htur_0463 Htur_1880
Htur_0463 Htur_1181
Htur_0463 Htur_1875
Htur_0463 Htur_1874
Htur_0464 Htur_2249
Htur_0464 Htur_3105
Htur_0464 Htur_0463
Htur_0464 Htur_1880
Htur_0464 Htur_1875
Htur_0464 Htur_1181
Htur_0464 Htur_1874
Htur_0464 Htur_2093
Htur_0464 Htur_2248
Htur_0474 Htur_2343
Htur_0474 Htur_0918
Htur_0474 Htur_2902
Htur_0476 Htur_0861
Htur_0476 Htur_1092
Htur_0476 Htur_3513
Htur_0476 Htur_0484
Htur_0484 Htur_0476
Htur_0484 Htur_0861
Htur_0484 Htur_1092
Htur_0484 Htur_3513
Htur_0496 Htur_2207
Htur_0496 Htur_2929
Htur_0498 Htur_1719
Htur_0498 Htur_0805
Htur_0498 Htur_1153
Htur_0498 Htur_1158
Htur_0498 Htur_1946
Htur_0498 Htur_2867
Htur_0498 Htur_2935
Htur_0498 Htur_0927
Htur_0498 Htur_1443
Htur_0498 Htur_2363
Htur_0498 Htur_3015
Htur_0498 Htur_0503
Htur_0498 Htur_2346
Htur_0498 Htur_0978
Htur_0498 Htur_2675
Htur_0498 Htur_2811
Htur_0498 Htur_2447
Htur_0498 Htur_1328
Htur_0498 Htur_1877
Htur_0498 Htur_0944
Htur_0498 Htur_0011
Htur_0498 Htur_2942
Htur_0498 Htur_1729
Htur_0498 Htur_2198
Htur_0498 Htur_1072
Htur_0498 Htur_0010
Htur_0498 Htur_1099
Htur_0498 Htur_1200
Htur_0498 Htur_0196
Htur_0498 Htur_0525
Htur_0498 Htur_3198
Htur_0498 Htur_1690
Htur_0498 Htur_0976
Htur_0498 Htur_1074
Htur_0498 Htur_2666
Htur_0498 Htur_1442
Htur_0498 Htur_1735
Htur_0498 Htur_3740
Htur_0502 Htur_0010
Htur_0502 Htur_0503
Htur_0502 Htur_0389
Htur_0502 Htur_2346
Htur_0502 Htur_0944
Htur_0503 Htur_0502
Htur_0503 Htur_0978
Htur_0503 Htur_2345
Htur_0503 Htur_2346
Htur_0503 Htur_0896
Htur_0503 Htur_1328
Htur_0503 Htur_0389
Htur_0503 Htur_1946
Htur_0503 Htur_0498
Htur_0503 Htur_0525
Htur_0503 Htur_0944
Htur_0503 Htur_0011
Htur_0503 Htur_1590
Htur_0503 Htur_0976
Htur_0503 Htur_1442
Htur_0503 Htur_1735
Htur_0503 Htur_1729
Htur_0503 Htur_1711
Htur_0503 Htur_1926
Htur_0503 Htur_1443
Htur_0503 Htur_0010
Htur_0503 Htur_1099
Htur_0503 Htur_1200
Htur_0504 Htur_2345
Htur_0504 Htur_0896
Htur_0504 Htur_1169
Htur_0504 Htur_2310
Htur_0504 Htur_1926
Htur_0504 Htur_1711
Htur_0513 Htur_2142
Htur_0513 Htur_2140
Htur_0513 Htur_2141
Htur_0513 Htur_2139
Htur_0513 Htur_1365
Htur_0513 Htur_1366
Htur_0525 Htur_1072
Htur_0525 Htur_0010
Htur_0525 Htur_1200
Htur_0525 Htur_1099
Htur_0525 Htur_0196
Htur_0525 Htur_1328
Htur_0525 Htur_3198
Htur_0525 Htur_2867
Htur_0525 Htur_2935
Htur_0525 Htur_0976
Htur_0525 Htur_1074
Htur_0525 Htur_1442
Htur_0525 Htur_1690
Htur_0525 Htur_2666
Htur_0525 Htur_3015
Htur_0525 Htur_1443
Htur_0525 Htur_0927
Htur_0525 Htur_2363
Htur_0525 Htur_1719
Htur_0525 Htur_0503
Htur_0525 Htur_0805
Htur_0525 Htur_0978
Htur_0525 Htur_2675
Htur_0525 Htur_2447
Htur_0525 Htur_2811
Htur_0525 Htur_2346
Htur_0525 Htur_1153
Htur_0525 Htur_1158
Htur_0525 Htur_1946
Htur_0525 Htur_0011
Htur_0525 Htur_0944
Htur_0525 Htur_1877
Htur_0525 Htur_2942
Htur_0525 Htur_1735
Htur_0525 Htur_3740
Htur_0525 Htur_1729
Htur_0525 Htur_0498
Htur_0525 Htur_2198
Htur_0528 Htur_0861
Htur_0528 Htur_1422
Htur_0528 Htur_0530
Htur_0528 Htur_1478
Htur_0528 Htur_0402
Htur_0528 Htur_2617
Htur_0529 Htur_1121
Htur_0529 Htur_0016
Htur_0529 Htur_3036
Htur_0529 Htur_1510
Htur_0529 Htur_0805
Htur_0529 Htur_1664
Htur_0529 Htur_1985
Htur_0529 Htur_1057
Htur_0529 Htur_1170
Htur_0529 Htur_1663
Htur_0529 Htur_0547
Htur_0529 Htur_1754
Htur_0529 Htur_0331
Htur_0529 Htur_0530
Htur_0529 Htur_1986
Htur_0529 Htur_0254
Htur_0529 Htur_3728
Htur_0529 Htur_1983
Htur_0529 Htur_0029
Htur_0529 Htur_3570
Htur_0529 Htur_1812
Htur_0529 Htur_3133
Htur_0530 Htur_0528
Htur_0530 Htur_0529
Htur_0537 Htur_2310
Htur_0537 Htur_2541
Htur_0547 Htur_1121
Htur_0547 Htur_2811
Htur_0547 Htur_1159
Htur_0547 Htur_1158
Htur_0547 Htur_1153
Htur_0547 Htur_0330
Htur_0547 Htur_1170
Htur_0547 Htur_1985
Htur_0547 Htur_3383
Htur_0547 Htur_3198
Htur_0547 Htur_1074
Htur_0547 Htur_2942
Htur_0547 Htur_0786
Htur_0547 Htur_1986
Htur_0547 Htur_1983
Htur_0547 Htur_0529
Htur_0547 Htur_3594
Htur_0547 Htur_1679
Htur_0567 Htur_2461
Htur_0567 Htur_2004
Htur_0567 Htur_2464
Htur_0567 Htur_1422
Htur_0567 Htur_1478
Htur_0567 Htur_0119
Htur_0569 Htur_0572
Htur_0569 Htur_0084
Htur_0569 Htur_3758
Htur_0569 Htur_0087
Htur_0572 Htur_0751
Htur_0572 Htur_1437
Htur_0572 Htur_1166
Htur_0572 Htur_1904
Htur_0572 Htur_3069
Htur_0572 Htur_0622
Htur_0572 Htur_1985
Htur_0572 Htur_1629
Htur_0572 Htur_1605
Htur_0572 Htur_1604
Htur_0572 Htur_1442
Htur_0572 Htur_3597
Htur_0572 Htur_1438
Htur_0572 Htur_0569
Htur_0572 Htur_1986
Htur_0572 Htur_2545
Htur_0572 Htur_0084
Htur_0572 Htur_0853
Htur_0572 Htur_0844
Htur_0572 Htur_1443
Htur_0572 Htur_0284
Htur_0572 Htur_3596
Htur_0572 Htur_3008
Htur_0580 Htur_2451
Htur_0580 Htur_0699
Htur_0580 Htur_2557
Htur_0580 Htur_3481
Htur_0584 Htur_1768
Htur_0584 Htur_1837
Htur_0584 Htur_1472
Htur_0584 Htur_1769
Htur_0584 Htur_2681
Htur_0584 Htur_1323
Htur_0622 Htur_0751
Htur_0622 Htur_0572
Htur_0622 Htur_1166
Htur_0622 Htur_0077
Htur_0622 Htur_1629
Htur_0622 Htur_2645
Htur_0622 Htur_1600
Htur_0622 Htur_2545
Htur_0622 Htur_0853
Htur_0622 Htur_0435
Htur_0628 Htur_0783
Htur_0628 Htur_0818
Htur_0628 Htur_2396
Htur_0628 Htur_3034
Htur_0628 Htur_0067
Htur_0628 Htur_1013
Htur_0628 Htur_2395
Htur_0628 Htur_3310
Htur_0628 Htur_0147
Htur_0628 Htur_0066
Htur_0628 Htur_1674
Htur_0628 Htur_2937
Htur_0637 Htur_1682
Htur_0637 Htur_2524
Htur_0637 Htur_3384
Htur_0637 Htur_2137
Htur_0637 Htur_1422
Htur_0637 Htur_1478
Htur_0638 Htur_2265
Htur_0638 Htur_1084
Htur_0640 Htur_1894
Htur_0642 Htur_1894
Htur_0642 Htur_0645
Htur_0645 Htur_0642
Htur_0645 Htur_1894
Htur_0648 Htur_0786
Htur_0648 Htur_1118
Htur_0654 Htur_1038
Htur_0654 Htur_1510
Htur_0654 Htur_2494
Htur_0654 Htur_2352
Htur_0654 Htur_0685
Htur_0654 Htur_1701
Htur_0654 Htur_1681
Htur_0654 Htur_2054
Htur_0654 Htur_3728
Htur_0654 Htur_1699
Htur_0654 Htur_2471
Htur_0654 Htur_1812
Htur_0654 Htur_2351
Htur_0654 Htur_3133
Htur_0654 Htur_3469
Htur_0655 Htur_0656
Htur_0655 Htur_1625
Htur_0655 Htur_1539
Htur_0655 Htur_0785
Htur_0656 Htur_1625
Htur_0656 Htur_1539
Htur_0656 Htur_0655
Htur_0656 Htur_0785
Htur_0685 Htur_2494
Htur_0685 Htur_1038
Htur_0685 Htur_1510
Htur_0685 Htur_2352
Htur_0685 Htur_0654
Htur_0685 Htur_3728
Htur_0685 Htur_2471
Htur_0685 Htur_1812
Htur_0685 Htur_2351
Htur_0685 Htur_3133
Htur_0699 Htur_0580
Htur_0699 Htur_2557
Htur_0699 Htur_2451
Htur_0699 Htur_3481
Htur_0713 Htur_2573
Htur_0713 Htur_2679
Htur_0713 Htur_3687
Htur_0722 Htur_0087
Htur_0722 Htur_3582
Htur_0722 Htur_0084
Htur_0734 Htur_0801
Htur_0734 Htur_1437
Htur_0734 Htur_3034
Htur_0734 Htur_1975
Htur_0734 Htur_1985
Htur_0734 Htur_2489
Htur_0734 Htur_2769
Htur_0734 Htur_2770
Htur_0734 Htur_2762
Htur_0734 Htur_1605
Htur_0734 Htur_1442
Htur_0734 Htur_2767
Htur_0734 Htur_1604
Htur_0734 Htur_1986
Htur_0734 Htur_3597
Htur_0734 Htur_1438
Htur_0734 Htur_2877
Htur_0734 Htur_1443
Htur_0734 Htur_2937
Htur_0734 Htur_3596
Htur_0734 Htur_3008
Htur_0734 Htur_2471
Htur_0734 Htur_2768
Htur_0734 Htur_0844
Htur_0744 Htur_0745
Htur_0745 Htur_0744
Htur_0751 Htur_1630
Htur_0751 Htur_0572
Htur_0751 Htur_1904
Htur_0751 Htur_1166
Htur_0751 Htur_1437
Htur_0751 Htur_1165
Htur_0751 Htur_3069
Htur_0751 Htur_1985
Htur_0751 Htur_0622
Htur_0751 Htur_3597
Htur_0751 Htur_1629
Htur_0751 Htur_1605
Htur_0751 Htur_3749
Htur_0751 Htur_1442
Htur_0751 Htur_2645
Htur_0751 Htur_1604
Htur_0751 Htur_1438
Htur_0751 Htur_1986
Htur_0751 Htur_2165
Htur_0751 Htur_0084
Htur_0751 Htur_2545
Htur_0751 Htur_0853
Htur_0751 Htur_0435
Htur_0751 Htur_0844
Htur_0751 Htur_1143
Htur_0751 Htur_1224
Htur_0751 Htur_1443
Htur_0751 Htur_0284
Htur_0751 Htur_3596
Htur_0751 Htur_3008
Htur_0760 Htur_2524
Htur_0760 Htur_2389
Htur_0760 Htur_0353
Htur_0760 Htur_2551
Htur_0760 Htur_3455
Htur_0760 Htur_0350
Htur_0760 Htur_2546
Htur_0760 Htur_1793
Htur_0760 Htur_1482
Htur_0760 Htur_0352
Htur_0760 Htur_3454
Htur_0760 Htur_2547
Htur_0760 Htur_0354
Htur_0760 Htur_0351
Htur_0761 Htur_0884
Htur_0761 Htur_3045
Htur_0761 Htur_1489
Htur_0761 Htur_3149
Htur_0761 Htur_2490
Htur_0761 Htur_1105
Htur_0761 Htur_2790
Htur_0761 Htur_2004
Htur_0761 Htur_3627
Htur_0761 Htur_1422
Htur_0761 Htur_1478
Htur_0761 Htur_3048
Htur_0761 Htur_1947
Htur_0761 Htur_0041
Htur_0763 Htur_1699
Htur_0774 Htur_2540
Htur_0774 Htur_2538
Htur_0774 Htur_1087
Htur_0774 Htur_3335
Htur_0779 Htur_1664
Htur_0779 Htur_2658
Htur_0779 Htur_0323
Htur_0779 Htur_3198
Htur_0779 Htur_0331
Htur_0779 Htur_1663
Htur_0779 Htur_2165
Htur_0779 Htur_3296
Htur_0779 Htur_1143
Htur_0779 Htur_1224
Htur_0779 Htur_3015
Htur_0780 Htur_1831
Htur_0780 Htur_0306
Htur_0780 Htur_1832
Htur_0780 Htur_3494
Htur_0780 Htur_1830
Htur_0780 Htur_0305
Htur_0780 Htur_0304
Htur_0783 Htur_2395
