GCWU000342_00025 GCWU000342_01467
GCWU000342_00894 GCWU000342_01396
GCWU000342_00895 GCWU000342_01399
GCWU000342_00895 GCWU000342_00893
GCWU000342_00898 GCWU000342_00900
GCWU000342_00898 GCWU000342_00222
GCWU000342_00898 GCWU000342_01655
GCWU000342_00899 GCWU000342_00900
GCWU000342_00899 GCWU000342_02105
GCWU000342_00900 GCWU000342_00898
GCWU000342_00900 GCWU000342_00899
GCWU000342_00900 GCWU000342_00222
GCWU000342_00900 GCWU000342_00221
GCWU000342_00900 GCWU000342_01655
GCWU000342_00906 GCWU000342_00487
GCWU000342_00906 GCWU000342_00929
GCWU000342_00906 GCWU000342_00930
GCWU000342_00915 GCWU000342_00601
GCWU000342_00915 GCWU000342_00602
GCWU000342_00915 GCWU000342_01812
GCWU000342_00916 GCWU000342_00601
GCWU000342_00916 GCWU000342_00602
GCWU000342_00916 GCWU000342_01812
GCWU000342_00917 GCWU000342_01398
GCWU000342_00917 GCWU000342_01397
GCWU000342_00929 GCWU000342_00930
GCWU000342_00929 GCWU000342_00906
GCWU000342_00929 GCWU000342_00487
GCWU000342_00930 GCWU000342_00929
GCWU000342_00930 GCWU000342_00906
GCWU000342_00930 GCWU000342_00487
GCWU000342_00936 GCWU000342_01087
GCWU000342_00937 GCWU000342_00566
GCWU000342_00937 GCWU000342_00938
GCWU000342_00937 GCWU000342_00812
GCWU000342_00938 GCWU000342_00812
GCWU000342_00938 GCWU000342_00566
GCWU000342_00938 GCWU000342_00937
GCWU000342_00943 GCWU000342_00565
GCWU000342_00943 GCWU000342_01431
GCWU000342_00943 GCWU000342_00564
GCWU000342_00943 GCWU000342_00944
GCWU000342_00943 GCWU000342_01700
GCWU000342_00943 GCWU000342_01432
GCWU000342_00944 GCWU000342_00943
GCWU000342_00944 GCWU000342_01087
GCWU000342_00946 GCWU000342_00364
GCWU000342_00988 GCWU000342_00992
GCWU000342_00988 GCWU000342_00989
GCWU000342_00989 GCWU000342_00992
GCWU000342_00989 GCWU000342_00988
GCWU000342_00992 GCWU000342_00988
GCWU000342_00992 GCWU000342_00989
GCWU000342_00993 GCWU000342_00408
GCWU000342_00996 GCWU000342_00136
GCWU000342_00999 GCWU000342_01002
GCWU000342_00999 GCWU000342_00637
GCWU000342_01001 GCWU000342_02164
GCWU000342_01002 GCWU000342_00999
GCWU000342_01079 GCWU000342_01392
GCWU000342_01087 GCWU000342_00564
GCWU000342_01087 GCWU000342_00944
GCWU000342_01087 GCWU000342_01700
GCWU000342_01087 GCWU000342_01432
GCWU000342_01087 GCWU000342_00936
GCWU000342_01087 GCWU000342_01431
GCWU000342_01108 GCWU000342_01434
GCWU000342_01108 GCWU000342_00119
GCWU000342_01115 GCWU000342_00893
GCWU000342_01119 GCWU000342_00539
GCWU000342_01121 GCWU000342_00026
GCWU000342_01121 GCWU000342_00296
GCWU000342_01134 GCWU000342_01135
GCWU000342_01135 GCWU000342_01134
GCWU000342_01135 GCWU000342_01397
GCWU000342_01160 GCWU000342_00429
GCWU000342_01160 GCWU000342_00324
GCWU000342_01183 GCWU000342_00465
GCWU000342_01183 GCWU000342_01187
GCWU000342_01185 GCWU000342_01186
GCWU000342_01185 GCWU000342_00884
GCWU000342_01185 GCWU000342_01383
GCWU000342_01185 GCWU000342_01315
GCWU000342_01185 GCWU000342_00885
GCWU000342_01186 GCWU000342_01185
GCWU000342_01187 GCWU000342_01183
GCWU000342_01199 GCWU000342_00867
GCWU000342_01199 GCWU000342_00293
GCWU000342_01237 GCWU000342_00297
GCWU000342_01237 GCWU000342_01408
GCWU000342_01239 GCWU000342_00761
GCWU000342_01239 GCWU000342_00767
GCWU000342_01251 GCWU000342_01608
GCWU000342_01251 GCWU000342_01290
GCWU000342_01266 GCWU000342_01269
GCWU000342_01266 GCWU000342_01271
GCWU000342_01267 GCWU000342_01269
GCWU000342_01269 GCWU000342_01267
GCWU000342_01269 GCWU000342_00453
GCWU000342_01269 GCWU000342_01266
GCWU000342_01271 GCWU000342_01266
GCWU000342_01271 GCWU000342_01776
GCWU000342_01283 GCWU000342_01719
GCWU000342_01290 GCWU000342_01251
GCWU000342_01290 GCWU000342_01608
GCWU000342_01297 GCWU000342_01408
GCWU000342_01297 GCWU000342_00297
GCWU000342_01315 GCWU000342_01185
GCWU000342_01360 GCWU000342_02086
GCWU000342_01360 GCWU000342_00721
GCWU000342_01360 GCWU000342_00464
GCWU000342_01363 GCWU000342_01365
GCWU000342_01363 GCWU000342_01729
GCWU000342_01364 GCWU000342_01365
GCWU000342_01364 GCWU000342_02149
GCWU000342_01365 GCWU000342_01363
GCWU000342_01365 GCWU000342_01364
GCWU000342_01376 GCWU000342_01694
GCWU000342_01376 GCWU000342_02105
GCWU000342_01383 GCWU000342_01185
GCWU000342_01392 GCWU000342_02234
GCWU000342_01392 GCWU000342_00656
GCWU000342_01392 GCWU000342_01079
GCWU000342_01396 GCWU000342_00894
GCWU000342_01396 GCWU000342_01397
GCWU000342_01397 GCWU000342_00917
GCWU000342_01397 GCWU000342_01396
GCWU000342_01397 GCWU000342_01135
GCWU000342_01398 GCWU000342_00917
GCWU000342_01399 GCWU000342_00895
GCWU000342_01405 GCWU000342_01408
GCWU000342_01405 GCWU000342_01406
GCWU000342_01406 GCWU000342_01405
GCWU000342_01406 GCWU000342_00108
GCWU000342_01408 GCWU000342_01405
GCWU000342_01408 GCWU000342_00817
GCWU000342_01408 GCWU000342_01237
GCWU000342_01408 GCWU000342_00301
GCWU000342_01408 GCWU000342_01297
GCWU000342_01412 GCWU000342_00029
GCWU000342_01431 GCWU000342_00943
GCWU000342_01431 GCWU000342_01087
GCWU000342_01432 GCWU000342_00943
GCWU000342_01432 GCWU000342_01087
GCWU000342_01434 GCWU000342_01108
GCWU000342_01454 GCWU000342_00807
GCWU000342_01454 GCWU000342_02250
GCWU000342_01454 GCWU000342_02301
GCWU000342_01455 GCWU000342_01815
GCWU000342_01455 GCWU000342_01750
GCWU000342_01467 GCWU000342_00025
GCWU000342_01498 GCWU000342_01881
GCWU000342_01498 GCWU000342_00893
GCWU000342_01498 GCWU000342_01839
GCWU000342_01498 GCWU000342_01882
GCWU000342_01498 GCWU000342_01878
GCWU000342_01498 GCWU000342_01836
GCWU000342_01498 GCWU000342_01838
GCWU000342_01498 GCWU000342_01876
GCWU000342_01498 GCWU000342_01837
GCWU000342_01498 GCWU000342_01877
GCWU000342_01498 GCWU000342_01879
GCWU000342_01530 GCWU000342_00459
GCWU000342_01570 GCWU000342_00293
GCWU000342_01570 GCWU000342_00867
GCWU000342_01608 GCWU000342_01251
GCWU000342_01608 GCWU000342_01632
GCWU000342_01608 GCWU000342_01290
GCWU000342_01632 GCWU000342_01608
GCWU000342_01638 GCWU000342_00408
GCWU000342_01638 GCWU000342_00721
GCWU000342_01650 GCWU000342_00539
GCWU000342_01650 GCWU000342_00853
GCWU000342_01655 GCWU000342_02174
GCWU000342_01655 GCWU000342_00221
GCWU000342_01655 GCWU000342_00900
GCWU000342_01655 GCWU000342_00898
GCWU000342_01661 GCWU000342_02250
GCWU000342_01661 GCWU000342_01867
GCWU000342_01694 GCWU000342_01376
GCWU000342_01695 GCWU000342_01812
GCWU000342_01700 GCWU000342_00943
GCWU000342_01700 GCWU000342_01087
GCWU000342_01719 GCWU000342_01283
GCWU000342_01729 GCWU000342_01363
GCWU000342_01740 GCWU000342_00462
GCWU000342_01750 GCWU000342_01751
GCWU000342_01750 GCWU000342_00807
GCWU000342_01750 GCWU000342_01455
GCWU000342_01751 GCWU000342_01750
GCWU000342_01772 GCWU000342_02190
GCWU000342_01772 GCWU000342_00364
GCWU000342_01776 GCWU000342_01271
GCWU000342_01776 GCWU000342_00673
GCWU000342_01812 GCWU000342_00915
GCWU000342_01812 GCWU000342_00916
GCWU000342_01812 GCWU000342_00376
GCWU000342_01812 GCWU000342_01695
GCWU000342_01815 GCWU000342_01455
GCWU000342_01836 GCWU000342_01498
GCWU000342_01837 GCWU000342_01498
GCWU000342_01838 GCWU000342_01498
GCWU000342_01839 GCWU000342_01498
GCWU000342_01854 GCWU000342_00539
GCWU000342_01866 GCWU000342_00029
GCWU000342_01866 GCWU000342_02058
GCWU000342_01867 GCWU000342_01661
GCWU000342_01876 GCWU000342_01498
GCWU000342_01877 GCWU000342_01498
GCWU000342_01878 GCWU000342_01498
GCWU000342_01879 GCWU000342_01498
GCWU000342_01881 GCWU000342_01498
GCWU000342_01882 GCWU000342_01498
GCWU000342_02026 GCWU000342_00408
GCWU000342_02026 GCWU000342_02058
GCWU000342_02038 GCWU000342_00459
GCWU000342_02050 GCWU000342_00459
GCWU000342_02058 GCWU000342_02026
GCWU000342_02058 GCWU000342_01866
GCWU000342_02086 GCWU000342_01360
GCWU000342_02105 GCWU000342_00899
GCWU000342_02105 GCWU000342_01376
GCWU000342_02109 GCWU000342_02157
GCWU000342_02109 GCWU000342_02114
GCWU000342_02111 GCWU000342_02112
GCWU000342_02112 GCWU000342_02111
GCWU000342_02113 GCWU000342_02114
GCWU000342_02113 GCWU000342_02157
GCWU000342_02114 GCWU000342_02109
GCWU000342_02114 GCWU000342_02113
GCWU000342_02149 GCWU000342_01364
GCWU000342_02157 GCWU000342_02190
GCWU000342_02157 GCWU000342_02109
GCWU000342_02157 GCWU000342_02113
GCWU000342_02160 GCWU000342_02162
GCWU000342_02160 GCWU000342_02161
GCWU000342_02161 GCWU000342_02162
GCWU000342_02161 GCWU000342_02160
GCWU000342_02162 GCWU000342_02161
GCWU000342_02162 GCWU000342_02160
GCWU000342_02164 GCWU000342_01001
GCWU000342_02174 GCWU000342_02190
GCWU000342_02174 GCWU000342_00222
GCWU000342_02174 GCWU000342_01655
GCWU000342_02190 GCWU000342_02174
GCWU000342_02190 GCWU000342_01772
GCWU000342_02190 GCWU000342_02157
GCWU000342_02227 GCWU000342_00462
GCWU000342_02234 GCWU000342_01392
GCWU000342_02240 GCWU000342_00591
GCWU000342_02240 GCWU000342_02296
GCWU000342_02240 GCWU000342_00577
GCWU000342_02241 GCWU000342_00577
GCWU000342_02241 GCWU000342_02296
GCWU000342_02241 GCWU000342_00591
GCWU000342_02250 GCWU000342_01661
GCWU000342_02250 GCWU000342_01454
GCWU000342_02288 GCWU000342_00782
GCWU000342_02296 GCWU000342_02240
GCWU000342_02296 GCWU000342_02241
GCWU000342_02301 GCWU000342_01454
